name	LWR	fract	aLWR	afract	taxopath
Query3250	0	0	0.398	0.8237	Archaea
Query3250	0	0	0.398	0.8237	Archaea;TACK_group
Query3250	0	0	0.398	0.8237	Archaea;TACK_group;Crenarchaeota
Query3250	0.398	0.8237	0.398	0.8237	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query3250	0.0852	0.1763	0.0852	0.1763	DISTANT
Query1345	0.1519	0.1519	0.902	0.902	Bacteria
Query1345	0	0	0.7501	0.7501	Bacteria;Planctomycetes
Query1345	0.6211	0.6211	0.7501	0.7501	Bacteria;Planctomycetes;Planctomycetia
Query1345	0	0	0.129	0.129	Bacteria;Planctomycetes;Planctomycetia;Pirellulales
Query1345	0.129	0.129	0.129	0.129	Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae
Query1345	1.196e-06	1.196e-06	1.196e-06	1.196e-06	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales
Query1345	0.09798	0.09798	0.09798	0.09798	DISTANT
Query980	0	0	1	1	Archaea
Query980	0	0	1	1	Archaea;Euryarchaeota
Query980	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query980	0.5395	0.5395	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query980	0.4605	0.4605	0.4605	0.4605	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2553	0	0	0.8483	0.8483	Archaea
Query2553	0	0	0.8483	0.8483	Archaea;Euryarchaeota
Query2553	0	0	0.8483	0.8483	Archaea;Euryarchaeota;environmental_samples
Query2553	0.5634	0.5634	0.8483	0.8483	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2553	0.2849	0.2849	0.2849	0.2849	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2553	0.1517	0.1517	0.1517	0.1517	DISTANT
Query207	0	0	0.1111	0.1111	Archaea
Query207	0	0	0.1111	0.1111	Archaea;Euryarchaeota
Query207	0	0	0.1111	0.1111	Archaea;Euryarchaeota;environmental_samples
Query207	0.1111	0.1111	0.1111	0.1111	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query207	2.177e-07	2.177e-07	2.177e-07	2.177e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query207	0.7393	0.7393	0.7393	0.7393	DISTANT
Query207	0.002479	0.002479	0.1496	0.1496	Eukaryota
Query207	0	0	0.1471	0.1471	Eukaryota;Ciliophora
Query207	0.1471	0.1471	0.1471	0.1471	Eukaryota;Ciliophora;Spirotrichea
Query207	5.698e-07	5.698e-07	5.698e-07	5.698e-07	Eukaryota;Ciliophora;Spirotrichea;Urostylida
Query207	4.563e-07	4.563e-07	4.563e-07	4.563e-07	Eukaryota;Ciliophora;Spirotrichea;Tintinnida
Query207	7.895e-07	7.895e-07	7.895e-07	7.895e-07	Eukaryota;Ciliophora;Spirotrichea;Euplotida
Query207	0	0	6.252e-09	6.252e-09	Eukaryota;Ascomycota
Query207	0	0	6.252e-09	6.252e-09	Eukaryota;Ascomycota;Leotiomycetes
Query207	6.252e-09	6.252e-09	6.252e-09	6.252e-09	Eukaryota;Ascomycota;Leotiomycetes;Helotiales
Query3314	0	0	1	1	Archaea
Query3314	0	0	1	1	Archaea;Euryarchaeota
Query3314	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query3314	0.7576	0.7576	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
