LWR	fract	aLWR	afract	taxopath
32.49	0.00621	1189	0.2272	Bacteria
1.518	0.0002902	21.91	0.004187	Bacteria;Actinobacteria
0	0	0.9998	0.0001911	Bacteria;Actinobacteria;Acidimicrobiia
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales
0	0	1	0.0001911	Bacteria;Actinobacteria;Actinomycetales
0	0	1	0.0001911	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae
1	0.0001911	1	0.0001911	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
0	0	0.9994	0.000191	Bacteria;Actinobacteria;Micromonosporales
0.9994	0.000191	0.9994	0.000191	Bacteria;Actinobacteria;Micromonosporales;Micromonosporaceae
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Kineosporiales
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus
0.9996	0.000191	0.9996	0.000191	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA149
0	0	1.053	0.0002012	Bacteria;Actinobacteria;Actinobacteria
1.053	0.0002012	1.053	0.0002012	Bacteria;Actinobacteria;Actinobacteria;incertae_sedis_Thermobispora_Thermobispora_bispora_Thermobispora_bispora_DSM_43833
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Actinobacteria;Acidothermales_Acidothermaceae_Acidothermus_Acidothermus_cellulolyticus_11B
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Geodermatophilales
0.9996	0.000191	0.9996	0.000191	Bacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae
0	0	0.9994	0.000191	Bacteria;Actinobacteria;Catenulisporales
0	0	0.9994	0.000191	Bacteria;Actinobacteria;Catenulisporales;Catenulisporaceae
0	0	0.9994	0.000191	Bacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora
0.9994	0.000191	0.9994	0.000191	Bacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora_acidiphila_DSM_44928
0.9997	0.000191	0.9997	0.000191	Bacteria;Actinobacteria;Corynebacteriales
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Cryptosporangiales
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium
0.9996	0.000191	0.9996	0.000191	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium_arvum_DSM_44712
0	0	0.9997	0.000191	Bacteria;Actinobacteria;Frankiales
0	0	0.9997	0.000191	Bacteria;Actinobacteria;Frankiales;Frankiaceae
0.9997	0.000191	0.9997	0.000191	Bacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Nakamurellales
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella
0.9996	0.000191	0.9996	0.000191	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella_multipartita_DSM_44233
0.9989	0.0001909	0.9989	0.0001909	Bacteria;Actinobacteria;Micrococcales
0	0	0.9993	0.000191	Bacteria;Actinobacteria;Pseudonocardiales
0.9993	0.000191	0.9993	0.000191	Bacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae
0	0	1.345	0.0002571	Bacteria;Actinobacteria;c_Actinobacteria
0	0	1.345	0.0002571	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria
0	0	1.345	0.0002571	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria;c_o_f_Actinobacteria
1.345	0.0002571	1.345	0.0002571	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria;c_o_f_Actinobacteria;actinobacterium_acMicro4
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Actinobacteria;Propionibacteriales
0	0	0.9998	0.0001911	Bacteria;Actinobacteria;Thermoleophilia
0	0	0.9998	0.0001911	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
0	0	0.9998	0.0001911	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae
0	0	0.9998	0.0001911	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter_woesei_DSM_14684
0	0	0.9993	0.000191	Bacteria;Actinobacteria;Streptomycetales
0.9993	0.000191	0.9993	0.000191	Bacteria;Actinobacteria;Streptomycetales;Streptomycetaceae
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Glycomycetales
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Glycomycetales;Glycomycetaceae
0	0	0.9996	0.000191	Bacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Stackebrandtia
0.9996	0.000191	0.9996	0.000191	Bacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Stackebrandtia;Stackebrandtia_nassauensis_DSM_44728
0.9991	0.0001909	0.9991	0.0001909	Bacteria;Actinobacteria;Streptosporangiales
0	0	12.24	0.00234	Bacteria;Planctomycetes
5.89	0.001126	11.24	0.002149	Bacteria;Planctomycetes;Planctomycetia
0	0	3.355	0.0006411	Bacteria;Planctomycetes;Planctomycetia;Pirellulales
3.355	0.0006411	3.355	0.0006411	Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae
0.9999	0.0001911	0.9999	0.0001911	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales
0	0	0.9999	0.0001911	Bacteria;Planctomycetes;Planctomycetia;Isosphaerales
0.9999	0.0001911	0.9999	0.0001911	Bacteria;Planctomycetes;Planctomycetia;Isosphaerales;Isosphaeraceae
0	0	0.9999	0.0001911	Bacteria;Planctomycetes;Phycisphaerae
0	0	0.9999	0.0001911	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales
0	0	0.9999	0.0001911	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
0	0	0.9999	0.0001911	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera
0.9999	0.0001911	0.9999	0.0001911	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;Phycisphaera_mikurensis_NBRC_102666
0.0009285	1.774e-07	9.362	0.001789	Bacteria;Bacteroidetes
0	0	2.362	0.0004514	Bacteria;Bacteroidetes;Bacteroidia
1.362	0.0002604	1.362	0.0002604	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
0	0	0.9999	0.0001911	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales
0	0	0.9999	0.0001911	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
0	0	0.9999	0.0001911	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium
0.9999	0.0001911	0.9999	0.0001911	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium;Draconibacterium_orientale
0.0007571	1.447e-07	2	0.0003822	Bacteria;Bacteroidetes;Flavobacteriia
0	0	0.9997	0.0001911	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia
0	0	0.9997	0.0001911	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia
0	0	0.9997	0.0001911	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia
0.9997	0.0001911	0.9997	0.0001911	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia;Flavobacteria_bacterium_MS0243C
0.9995	0.000191	0.9995	0.000191	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
0	0	0.9997	0.000191	Bacteria;Bacteroidetes;Cytophagia
0.9997	0.000191	0.9997	0.000191	Bacteria;Bacteroidetes;Cytophagia;Cytophagales
0	0	0.9998	0.0001911	Bacteria;Bacteroidetes;Saprospiria
0	0	0.9998	0.0001911	Bacteria;Bacteroidetes;Saprospiria;Saprospirales
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae
0	0	0.9997	0.0001911	Bacteria;Bacteroidetes;Chitinophagia
0	0	0.9997	0.0001911	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales
0.9997	0.0001911	0.9997	0.0001911	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
0	0	0.9998	0.0001911	Bacteria;Bacteroidetes;Sphingobacteriia
0	0	0.9998	0.0001911	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
0	0	0.9998	0.0001911	Bacteria;Bacteroidetes;p_Bacteroidetes
0	0	0.9998	0.0001911	Bacteria;Bacteroidetes;p_Bacteroidetes;Bacteroidetes_Order_II._Incertae_sedis
0.9998	0.0001911	0.9998	0.0001911	Bacteria;Bacteroidetes;p_Bacteroidetes;Bacteroidetes_Order_II._Incertae_sedis;Rhodothermaceae
2.384	0.0004555	1067	0.2039	Bacteria;Proteobacteria
27.04	0.005167	60.32	0.01153	Bacteria;Proteobacteria;Gammaproteobacteria
0	0	1.278	0.0002443	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales
0	0	1.278	0.0002443	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae
0	0	1.278	0.0002443	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium
1.278	0.0002443	1.278	0.0002443	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium_valvarum_F0432
