LWR	fract	aLWR	afract	taxopath
48.72	0.007522	2256	0.3483	Bacteria
0.00059	9.108e-08	7.209	0.001113	Bacteria;Chloroflexi
0.000461	7.117e-08	2	0.0003088	Bacteria;Chloroflexi;Thermomicrobia
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium
0.9998	0.0001544	0.9998	0.0001544	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium;Thermomicrobium_roseum_DSM_5159
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter
0.9997	0.0001543	0.9997	0.0001543	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter_thermophilus_DSM_20745
0	0	1.209	0.0001867	Bacteria;Chloroflexi;Chloroflexia
1.209	0.0001867	1.209	0.0001867	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;p_Chloroflexi
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi
0	0	0.9997	0.0001543	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi
0.9997	0.0001543	0.9997	0.0001543	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi;uncultured_Chloroflexi_bacterium
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Anaerolineae
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea
0.9999	0.0001544	0.9999	0.0001544	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;Anaerolinea_thermophila_UNI1
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Ktedonobacteria
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae
0	0	0.9999	0.0001544	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter
0.9999	0.0001544	0.9999	0.0001544	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;Ktedonobacter_racemifer_DSM_44963
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Caldilineae
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Caldilineae;Caldilineales
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae
0	0	0.9998	0.0001544	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea
0.9998	0.0001544	0.9998	0.0001544	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Caldilinea_aerophila_DSM_14535_=_NBRC_104270
2.302	0.0003554	2129	0.3287	Bacteria;Proteobacteria
5.757	0.0008887	92.53	0.01428	Bacteria;Proteobacteria;Betaproteobacteria
80.83	0.01248	80.83	0.01248	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
0	0	1.871	0.0002889	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis
1.871	0.0002889	1.871	0.0002889	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_incertae_sedis;Candidatus_Accumulibacter
1.06	0.0001637	1.06	0.0001637	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales
