name	LWR	fract	aLWR	afract	taxopath
Query60	0.8955	0.8955	0.9976	0.9976	Bacteria
Query48	0.1239	0.8647	0.1239	0.8647	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query51	0.9083	0.9092	0.9504	0.9513	Eukaryota
Query15	0.8933	0.8934	0.8933	0.8934	Eukaryota
Query26	0.7944	0.8034	0.7944	0.8034	Eukaryota;Euglenozoa;Euglenida
Query3	0.379	1	0.379	1	DISTANT
Query46	0.7146	0.7146	1	1	Eukaryota
Query16	0.8526	0.8526	0.8526	0.8526	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
Query66	0.5421	0.8272	0.6096	0.9301	Bacteria;Proteobacteria;Gammaproteobacteria
Query54	1	1	1	1	Bacteria
Query36	0.5728	0.5729	0.9642	0.9645	Bacteria
Query33	0.7356	0.7388	0.87	0.8738	Eukaryota;Haptista;Haptophyta
Query10	0.4633	0.6297	0.4633	0.6297	Eukaryota;Cryptophyceae;Cryptophyceae;Cyathomonadacea
Query40	0.6071	0.6129	0.8204	0.8282	Eukaryota
Query2	0.8762	0.8762	0.8762	0.8762	DISTANT
Query22	0.7396	0.7421	0.9963	0.9997	Eukaryota;Chlorophyta
Query45	0.2757	1	0.2757	1	DISTANT
Query20	0.9635	0.9904	0.9635	0.9904	Bacteria
Query49	0.5504	0.5504	0.9674	0.9675	Bacteria
Query63	0.8954	0.8954	0.9542	0.9542	Bacteria;Proteobacteria;Betaproteobacteria
Query58	0.8348	0.9729	0.8348	0.9729	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
Query64	0.5207	0.9267	0.5207	0.9267	Bacteria
Query56	0.9834	0.9837	0.9834	0.9837	Bacteria
Query6	0.7685	0.7685	0.7685	0.7685	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
Query31	0.4751	0.9191	0.4751	0.9191	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query57	0.798	0.798	0.798	0.798	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
Query37	0.3552	0.8684	0.3552	0.8684	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
