name	LWR	fract	aLWR	afract	taxopath
Query2437	0.6541	0.6541	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query92	0.502	0.502	0.8283	0.8283	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3241	0.6485	0.6485	0.6485	0.6485	DISTANT
Query1221	0.8634	0.8634	0.8634	0.8634	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2166	0.6043	0.6043	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query132	0.4145	0.4145	0.8184	0.8184	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3462	0.6835	0.6835	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1900	0.7479	0.7479	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1071	0.5152	0.5601	0.7935	0.8625	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query619	0.6445	0.6445	0.6445	0.6445	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query708	0.8095	0.8095	0.8095	0.8095	DISTANT
Query1225	0.9507	0.9507	0.9507	0.9507	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1728	0.887	0.9388	0.887	0.9388	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query1993	0.942	0.942	0.942	0.942	Bacteria
Query2957	0.8399	0.8399	0.942	0.942	Bacteria
Query234	1	1	1	1	Bacteria
Query2069	0.7136	0.7153	0.8891	0.8911	Bacteria
Query3167	0.9072	0.9072	0.9072	0.9072	Bacteria
Query1325	0.6967	0.7022	0.8939	0.901	Bacteria
Query958	0.9081	0.9174	0.9081	0.9174	Bacteria
Query329	0.7124	0.9157	0.7124	0.9157	Bacteria
Query227	0.08388	0.4678	0.08388	0.4678	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query2168	0.08294	0.472	0.08294	0.472	Bacteria
Query3284	0.8983	0.8987	0.8983	0.8987	Bacteria
Query2933	0.3254	0.8176	0.3254	0.8176	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query1544	0.1099	0.4598	0.1099	0.4598	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query3275	0.2568	0.7123	0.2568	0.7123	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query2101	0.1247	1	0.1247	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query2992	0.5229	0.851	0.5229	0.851	Bacteria
Query1391	0.291	0.8028	0.291	0.8028	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query1645	0.5896	0.8799	0.5896	0.8799	Bacteria
Query1727	0.1137	0.5749	0.1137	0.5749	Bacteria
Query10	0.06032	0.9987	0.06032	0.9987	DISTANT
Query959	0.07213	0.616	0.07213	0.616	DISTANT
Query866	0.9293	0.9324	0.9293	0.9324	Bacteria
Query417	0.8666	0.8666	0.9351	0.9352	Bacteria;Proteobacteria;Gammaproteobacteria
Query666	0.4593	0.804	0.5622	0.9841	Bacteria
Query3254	0.7495	0.7495	0.9419	0.9419	Bacteria;Proteobacteria;Gammaproteobacteria
Query2516	0.964	0.964	0.964	0.964	Bacteria;Proteobacteria;Gammaproteobacteria
Query1129	0.9468	0.9468	0.9468	0.9468	Bacteria;Proteobacteria;Gammaproteobacteria
Query1642	0.7359	0.7361	0.9698	0.9702	Bacteria;Proteobacteria;Gammaproteobacteria
Query2022	0.9553	0.9553	0.9553	0.9553	Bacteria;Proteobacteria;Gammaproteobacteria
Query337	0.9166	0.9166	0.9834	0.9834	Bacteria;Proteobacteria;Gammaproteobacteria
Query3072	0.8969	0.8969	0.9477	0.9477	Bacteria;Proteobacteria;Gammaproteobacteria
Query1234	0.7098	0.7098	0.9703	0.9703	Bacteria;Proteobacteria;Gammaproteobacteria
Query1178	0.9163	0.9165	0.9163	0.9165	Bacteria;Proteobacteria;Gammaproteobacteria
Query2996	0.8001	0.8001	0.9319	0.9319	Bacteria;Proteobacteria;Gammaproteobacteria
Query1534	0.9446	0.9465	0.9446	0.9465	Bacteria;Proteobacteria;Gammaproteobacteria
Query2359	0.9642	0.968	0.9642	0.968	Bacteria;Proteobacteria;Gammaproteobacteria
Query34	0.9294	0.9294	0.9294	0.9294	Bacteria;Proteobacteria;Gammaproteobacteria
Query1029	0.9524	0.9524	0.9524	0.9524	Bacteria;Proteobacteria;Gammaproteobacteria
Query2702	0.9444	0.9444	0.9444	0.9444	Bacteria;Proteobacteria;Gammaproteobacteria
Query2230	0.9502	0.9502	0.9502	0.9502	Bacteria;Proteobacteria;Gammaproteobacteria
Query3702	0.9432	0.9432	0.9432	0.9432	Bacteria;Proteobacteria;Gammaproteobacteria
Query3394	0.9385	0.9385	0.9385	0.9385	Bacteria;Proteobacteria;Gammaproteobacteria
Query89	0.9471	0.9471	0.9471	0.9471	Bacteria;Proteobacteria;Gammaproteobacteria
Query410	0.8996	0.9146	0.8996	0.9146	Bacteria;Proteobacteria;Gammaproteobacteria
Query367	0.7704	0.7704	0.9724	0.9724	Bacteria;Proteobacteria;Gammaproteobacteria
Query1773	0.7517	0.7517	0.9637	0.9637	Bacteria;Proteobacteria;Gammaproteobacteria
Query3698	0.8692	0.9342	0.8692	0.9342	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query834	0.9527	0.9527	0.9527	0.9527	Bacteria;Proteobacteria;Betaproteobacteria
Query2915	0.5089	0.5089	0.9671	0.9671	Bacteria;Proteobacteria;Betaproteobacteria
Query2770	1	1	1	1	Bacteria;Proteobacteria;Betaproteobacteria
Query2301	0.9187	0.9187	0.9187	0.9187	Bacteria;Proteobacteria;Betaproteobacteria
Query1732	0.9805	0.9805	0.9805	0.9805	Bacteria;Proteobacteria;Betaproteobacteria
Query3633	0.963	0.963	0.963	0.963	Bacteria;Proteobacteria;Betaproteobacteria
Query169	0.9675	0.9675	0.9702	0.9702	Bacteria;Proteobacteria;Betaproteobacteria
Query2180	0.883	0.883	0.9367	0.9367	Bacteria;Proteobacteria;Betaproteobacteria
Query617	0.9155	0.9272	0.9155	0.9272	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query1254	0.06241	0.5303	0.06241	0.5303	DISTANT
Query897	0.5	0.5	0.5	0.5	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query914	0.8939	0.8939	0.8939	0.8939	Eukaryota;Cnidaria;Myxozoa
Query884	0.9498	0.9498	0.9499	0.9499	Bacteria;Proteobacteria;Betaproteobacteria
Query966	0.9573	0.9573	0.9573	0.9573	Eukaryota;Cnidaria;Myxozoa
Query3623	0.01164	0.9995	0.01164	0.9995	DISTANT
Query2000	0.9464	0.9464	0.9464	0.9464	Eukaryota;Cnidaria;Myxozoa
Query1036	0.4938	0.4938	0.4938	0.4938	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query1873	0.9171	0.9171	0.9171	0.9171	Eukaryota;Cnidaria;Myxozoa
Query2621	0.8703	0.8703	0.8703	0.8703	Eukaryota;Cnidaria;Myxozoa
Query599	0.7722	0.7722	0.7722	0.7722	Eukaryota;Cnidaria;Myxozoa
Query3160	0.9401	0.9401	0.9401	0.9401	Eukaryota;Cnidaria;Myxozoa
Query2184	0.97	0.97	0.97	0.97	Bacteria;Proteobacteria;Betaproteobacteria
Query2622	0.9012	0.9012	0.9012	0.9012	Eukaryota;Cnidaria;Myxozoa
