name	LWR	fract	aLWR	afract	taxopath
Query17	0.4914	0.4968	0.8536	0.863	Eukaryota;Arthropoda;Hexanauplia
Query41	0.3308	0.3367	0.9664	0.9837	Eukaryota
Query30	0.82	0.8541	0.9571	0.997	Eukaryota;Chordata;Actinopteri
Query52	0.7414	0.7952	0.7595	0.8147	Eukaryota;Chordata;Aves
Query49	0.7699	0.784	0.7699	0.784	Eukaryota;Annelida;Polychaeta
Query59	0.5634	0.6238	0.6174	0.6836	Eukaryota;Annelida;Polychaeta
Query5	0.7778	0.7912	0.7778	0.7912	Eukaryota;Annelida;Polychaeta
Query39	0.7648	0.7803	0.7648	0.7803	Eukaryota;Annelida;Polychaeta
Query48	0.8256	0.973	0.8256	0.9731	Eukaryota;Annelida
Query19	0.9089	0.9334	0.9706	0.9968	Eukaryota;Annelida;Polychaeta
Query21	0.529	0.5368	0.9437	0.9575	Eukaryota;Arthropoda;Hexanauplia
Query43	0.7446	0.7447	0.9832	0.9833	Eukaryota;Arthropoda;Hexanauplia
Query60	0.4909	0.4926	0.9718	0.9752	Eukaryota;Arthropoda;Hexanauplia
Query1	0.6412	0.6492	0.9766	0.9888	Eukaryota;Mollusca;Gastropoda
Query27	0.411	0.4158	0.411	0.4158	Eukaryota;Nematoda;Enoplea
Query45	0.7344	0.7361	0.7344	0.7361	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
Query4	0.9005	0.9301	0.9659	0.9977	Eukaryota;Annelida;Polychaeta
Query13	0.5156	0.53	0.9505	0.9769	Eukaryota;Annelida
Query46	0.7152	0.7217	0.9859	0.9948	Eukaryota;Arthropoda;Malacostraca
Query57	0.3499	0.3583	0.9635	0.9865	Eukaryota
Query26	0.6699	0.6699	0.9918	0.9918	Eukaryota
Query56	0.5442	0.545	0.5442	0.545	Eukaryota;Mollusca;Bivalvia;Arcoida
Query63	0.5465	0.5515	0.9763	0.9851	Eukaryota;Arthropoda;Hexanauplia
Query68	0.7824	0.7921	0.7824	0.7921	Eukaryota;Annelida;Polychaeta
Query34	0.7699	0.7839	0.7699	0.7839	Eukaryota;Annelida;Polychaeta
Query53	0.7446	0.7447	0.9832	0.9833	Eukaryota;Arthropoda;Hexanauplia
Query38	0.6222	0.6224	0.9997	1	Eukaryota
Query42	0.754	0.7568	0.754	0.7568	DISTANT
Query44	0.8779	0.8783	0.9588	0.9592	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query32	0.753	0.7543	0.753	0.7543	Eukaryota
Query28	0.7709	0.7746	0.9934	0.9982	Eukaryota;Mollusca;Gastropoda
Query2	0.3287	0.3384	0.6076	0.6254	Eukaryota;Mollusca;Gastropoda
Query36	0.7432	0.7447	0.7432	0.7447	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
Query15	0.5336	0.5426	0.941	0.957	Eukaryota;Arthropoda;Hexanauplia
Query14	0.6143	0.6143	0.6143	0.6143	Eukaryota;Echinodermata;Ophiuroidea;Ophiurida
Query22	0.7702	0.7816	0.7702	0.7816	Eukaryota;Annelida;Polychaeta
Query23	0.5128	0.5149	0.9717	0.9757	Eukaryota;Arthropoda;Hexanauplia
Query29	0.8496	0.8795	0.9648	0.9987	Eukaryota;Mollusca;Gastropoda
Query37	0.5133	0.515	0.9477	0.9508	Eukaryota
Query71	0.521	0.5302	0.9136	0.9298	Eukaryota;Arthropoda;Hexanauplia
Query65	0.5362	0.5414	0.9368	0.946	Eukaryota;Arthropoda;Hexanauplia
Query3	0.7699	0.7859	0.7699	0.7859	Eukaryota;Annelida;Polychaeta
Query67	0.7698	0.7838	0.7698	0.7838	Eukaryota;Annelida;Polychaeta
Query58	0.7152	0.7178	0.9964	1	Eukaryota;Annelida;Polychaeta
Query69	0.8754	0.876	0.8754	0.876	Eukaryota;Mollusca;Bivalvia;Nuculoida;Nuculidae
Query66	0.3931	0.3948	0.4817	0.4839	Eukaryota;Nematoda;Chromadorea
Query25	0.8818	0.8818	0.9867	0.9867	Eukaryota;Chordata
Query62	0.7695	0.7819	0.7695	0.7819	Eukaryota;Annelida;Polychaeta
Query6	0.5444	0.551	0.9871	0.999	Eukaryota;Mollusca;Gastropoda
Query10	0.8066	0.8067	0.9946	0.9947	Eukaryota
Query35	0.6685	0.6685	0.6685	0.6685	DISTANT
Query8	0.5502	0.5502	0.9941	0.9941	Eukaryota;Annelida;Polychaeta
Query54	0.6743	0.6778	0.6743	0.6778	Eukaryota;Arthropoda;Hexanauplia;Sessilia
Query70	0.7801	0.7855	0.9815	0.9883	Eukaryota;Arthropoda;Hexanauplia
Query47	0.5232	0.5254	0.9703	0.9745	Eukaryota;Arthropoda;Hexanauplia
Query12	0.5651	0.5651	1	1	Eukaryota
Query64	0.5549	0.558	0.7695	0.7737	Bacteria;Proteobacteria;Gammaproteobacteria
Query20	0.9955	1	0.9955	1	DISTANT
Query18	0.7011	0.7011	0.7011	0.7011	Eukaryota;Porifera;Demospongiae;Suberitida
Query31	0.5328	0.5419	0.9408	0.9569	Eukaryota;Arthropoda;Hexanauplia
Query61	0.6177	0.622	0.7771	0.7824	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query7	0.7016	0.7016	0.7016	0.7016	Eukaryota;Porifera;Demospongiae;Suberitida
Query11	0.4536	1	0.4536	1	Bacteria
Query16	0.883	0.883	0.9852	0.9852	Eukaryota;Echinodermata;Ophiuroidea
Query24	0.8902	0.8902	0.9856	0.9856	Eukaryota;Chordata
Query33	0.5332	0.5332	0.9874	0.9874	Eukaryota;Chordata;Ascidiacea
Query40	0.5692	1	0.5692	1	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus_composti_DSM_18527_=_JCM_14202
Query50	0.7028	0.7028	0.7028	0.7028	Eukaryota;Basidiomycota;Agaricomycetes;Geastrales;Sphaerobolaceae;Sphaerobolus;Sphaerobolus_stellatus
Query51	0.5278	0.5278	1	1	Eukaryota;Porifera;Demospongiae
Query9	0.5403	0.5403	0.9884	0.9884	Eukaryota;Chordata;Ascidiacea
Query55	0.5548	0.5548	0.9957	0.9957	Eukaryota;Annelida;Polychaeta
