name	LWR	fract	aLWR	afract	taxopath
Query60	0.2577	0.2607	0.9597	0.9707	Bacteria
Query60	0	0	0.702	0.7101	Bacteria;Proteobacteria
Query60	0.385	0.3894	0.702	0.7101	Bacteria;Proteobacteria;Gammaproteobacteria
Query60	0.317	0.3207	0.317	0.3207	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales
Query60	0.02892	0.02926	0.02892	0.02926	DISTANT
Query101	0.5953	0.5957	0.9993	1	Bacteria
Query101	0	0	0.404	0.4043	Bacteria;Proteobacteria
Query101	0	0	0.404	0.4043	Bacteria;Proteobacteria;Gammaproteobacteria
Query101	0.404	0.4043	0.404	0.4043	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query142	0.4165	0.4197	0.9498	0.957	Bacteria
Query142	0	0	0.5333	0.5374	Bacteria;Proteobacteria
Query142	0.4224	0.4256	0.5333	0.5374	Bacteria;Proteobacteria;Gammaproteobacteria
Query142	0.06681	0.06732	0.06681	0.06732	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales
Query142	2.208e-06	2.225e-06	2.208e-06	2.225e-06	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query142	0.04413	0.04447	0.04413	0.04447	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
Query142	0.04265	0.04297	0.04265	0.04297	DISTANT
Query114	0.5588	0.5674	0.9301	0.9445	Bacteria
Query114	0	0	0.3714	0.3771	Bacteria;Proteobacteria
Query114	0.00914	0.009281	0.3714	0.3771	Bacteria;Proteobacteria;Gammaproteobacteria
Query114	0.3622	0.3678	0.3622	0.3678	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
Query114	0.0547	0.05554	0.0547	0.05554	DISTANT
Query129	0.9567	0.9806	0.9663	0.9904	Bacteria
Query129	0	0	0.009614	0.009854	Bacteria;Proteobacteria
Query129	0	0	0.009614	0.009854	Bacteria;Proteobacteria;Gammaproteobacteria
