LWR	fract	aLWR	afract	taxopath
287.3	0.02399	1291	0.1078	Eukaryota
16.88	0.001409	46.03	0.003843	Eukaryota;Annelida
18.32	0.00153	29.15	0.002434	Eukaryota;Annelida;Polychaeta
1.31	0.0001093	1.31	0.0001093	Eukaryota;Annelida;Polychaeta;Terebellida
0.6692	5.587e-05	0.6692	5.587e-05	Eukaryota;Annelida;Polychaeta;Spionida
0	0	0.4751	3.967e-05	Eukaryota;Annelida;Polychaeta;Saccocirridae
0.4751	3.967e-05	0.4751	3.967e-05	Eukaryota;Annelida;Polychaeta;Saccocirridae;Saccocirridae
0	0	0.1672	1.396e-05	Eukaryota;Annelida;Polychaeta;Parergodrilidae
0.1672	1.396e-05	0.1672	1.396e-05	Eukaryota;Annelida;Polychaeta;Parergodrilidae;Parergodrilidae
0	0	0.03447	2.878e-06	Eukaryota;Annelida;Polychaeta;Dinophilidae
0.03447	2.878e-06	0.03447	2.878e-06	Eukaryota;Annelida;Polychaeta;Dinophilidae;Dinophilidae
0	0	5.743	0.0004795	Eukaryota;Annelida;Polychaeta;Opheliidae
5.743	0.0004795	5.743	0.0004795	Eukaryota;Annelida;Polychaeta;Opheliidae;Opheliidae
0.07516	6.276e-06	0.07516	6.276e-06	Eukaryota;Annelida;Polychaeta;Phyllodocida
0	0	0.004702	3.926e-07	Eukaryota;Annelida;Polychaeta;Psammodrilidae
0	0	0.004702	3.926e-07	Eukaryota;Annelida;Polychaeta;Psammodrilidae;Psammodrilidae
0.004702	3.926e-07	0.004702	3.926e-07	Eukaryota;Annelida;Polychaeta;Psammodrilidae;Psammodrilidae;Psammodrilus
0	0	0.2493	2.081e-05	Eukaryota;Annelida;Polychaeta;Xenopneusta
0	0	0.2493	2.081e-05	Eukaryota;Annelida;Polychaeta;Xenopneusta;Urechidae
0.2493	2.081e-05	0.2493	2.081e-05	Eukaryota;Annelida;Polychaeta;Xenopneusta;Urechidae;Urechis
0	0	1.173	9.793e-05	Eukaryota;Annelida;Polychaeta;Protodrilidae
1.173	9.793e-05	1.173	9.793e-05	Eukaryota;Annelida;Polychaeta;Protodrilidae;Protodrilidae
0	0	0.05876	4.906e-06	Eukaryota;Annelida;Polychaeta;Flabelligerida
0.05876	4.906e-06	0.05876	4.906e-06	Eukaryota;Annelida;Polychaeta;Flabelligerida;Flabelligeridae
0	0	0.2041	1.704e-05	Eukaryota;Annelida;Polychaeta;Nerillidae
0.2041	1.704e-05	0.2041	1.704e-05	Eukaryota;Annelida;Polychaeta;Nerillidae;Nerillidae
0	0	0.00579	4.834e-07	Eukaryota;Annelida;Polychaeta;Potamodrilidae
0	0	0.00579	4.834e-07	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus
0	0	0.00579	4.834e-07	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus;Potamodrilus
0.00579	4.834e-07	0.00579	4.834e-07	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus;Potamodrilus;Potamodrilus_fluviatilis
3.481e-05	2.906e-09	3.481e-05	2.906e-09	Eukaryota;Annelida;Polychaeta;Echiuroidea
1.706e-05	1.425e-09	1.706e-05	1.425e-09	Eukaryota;Annelida;Polychaeta;Capitellida
0	0	0.6551	5.47e-05	Eukaryota;Annelida;Polychaeta;Paraonidae
0.6551	5.47e-05	0.6551	5.47e-05	Eukaryota;Annelida;Polychaeta;Paraonidae;Paraonidae
1.38e-05	1.153e-09	1.38e-05	1.153e-09	Eukaryota;Annelida;Clitellata
0	0	9.945e-07	8.304e-11	Eukaryota;Annelida;Hrabeiella
0	0	9.945e-07	8.304e-11	Eukaryota;Annelida;Hrabeiella;Hrabeiella
0	0	9.945e-07	8.304e-11	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella
0	0	9.945e-07	8.304e-11	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella
0	0	9.945e-07	8.304e-11	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella
9.945e-07	8.304e-11	9.945e-07	8.304e-11	Eukaryota;Annelida;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;Hrabeiella;periglandulata
0.1014	8.467e-06	13.82	0.001154	Eukaryota;Mollusca
6.444	0.000538	9.364	0.0007819	Eukaryota;Mollusca;Gastropoda
0	0	0.553	4.617e-05	Eukaryota;Mollusca;Gastropoda;Thiaridae
0.553	4.617e-05	0.553	4.617e-05	Eukaryota;Mollusca;Gastropoda;Thiaridae;Thiaridae
0	0	0.01898	1.584e-06	Eukaryota;Mollusca;Gastropoda;Cocculinidae
0.01898	1.584e-06	0.01898	1.584e-06	Eukaryota;Mollusca;Gastropoda;Cocculinidae;Cocculinidae
0	0	0.3556	2.969e-05	Eukaryota;Mollusca;Gastropoda;Hermaeidae
0	0	0.3556	2.969e-05	Eukaryota;Mollusca;Gastropoda;Hermaeidae;Hermaeidae
0.3556	2.969e-05	0.3556	2.969e-05	Eukaryota;Mollusca;Gastropoda;Hermaeidae;Hermaeidae;Hermaea
0	0	0.08809	7.355e-06	Eukaryota;Mollusca;Gastropoda;Caliphyllidae
0.08809	7.355e-06	0.08809	7.355e-06	Eukaryota;Mollusca;Gastropoda;Caliphyllidae;Caliphyllidae
0	0	0.01755	1.466e-06	Eukaryota;Mollusca;Gastropoda;Limapontiidae
0.01755	1.466e-06	0.01755	1.466e-06	Eukaryota;Mollusca;Gastropoda;Limapontiidae;Limapontiidae
0	0	0.00468	3.908e-07	Eukaryota;Mollusca;Gastropoda;Costasiellidae
0	0	0.00468	3.908e-07	Eukaryota;Mollusca;Gastropoda;Costasiellidae;Costasiellidae
0.00468	3.908e-07	0.00468	3.908e-07	Eukaryota;Mollusca;Gastropoda;Costasiellidae;Costasiellidae;Costasiella
0	0	0.3204	2.675e-05	Eukaryota;Mollusca;Gastropoda;Batillariidae
0	0	0.3204	2.675e-05	Eukaryota;Mollusca;Gastropoda;Batillariidae;Batillariidae
0.3204	2.675e-05	0.3204	2.675e-05	Eukaryota;Mollusca;Gastropoda;Batillariidae;Batillariidae;Batillaria
0	0	0.5146	4.297e-05	Eukaryota;Mollusca;Gastropoda;Pachychilidae
0.5146	4.297e-05	0.5146	4.297e-05	Eukaryota;Mollusca;Gastropoda;Pachychilidae;Pachychilidae
0.009158	7.647e-07	0.009158	7.647e-07	Eukaryota;Mollusca;Gastropoda;Seguenziida
0	0	0.4897	4.089e-05	Eukaryota;Mollusca;Gastropoda;Paludomidae
0.4897	4.089e-05	0.4897	4.089e-05	Eukaryota;Mollusca;Gastropoda;Paludomidae;Paludomidae
0	0	0.01598	1.335e-06	Eukaryota;Mollusca;Gastropoda;Modulidae
0	0	0.01598	1.335e-06	Eukaryota;Mollusca;Gastropoda;Modulidae;Modulidae
0	0	0.01598	1.335e-06	Eukaryota;Mollusca;Gastropoda;Modulidae;Modulidae;Modulus
0.01598	1.335e-06	0.01598	1.335e-06	Eukaryota;Mollusca;Gastropoda;Modulidae;Modulidae;Modulus;Modulus_modulus
0	0	0.003401	2.84e-07	Eukaryota;Mollusca;Gastropoda;Campanilidae
0	0	0.003401	2.84e-07	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae
0	0	0.003401	2.84e-07	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile
0.003401	2.84e-07	0.003401	2.84e-07	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile;Campanile_symbolicum
0	0	0.5165	4.313e-05	Eukaryota;Mollusca;Gastropoda;Boselliidae
0	0	0.5165	4.313e-05	Eukaryota;Mollusca;Gastropoda;Boselliidae;Boselliidae
0	0	0.5165	4.313e-05	Eukaryota;Mollusca;Gastropoda;Boselliidae;Boselliidae;Bosellia
0.5165	4.313e-05	0.5165	4.313e-05	Eukaryota;Mollusca;Gastropoda;Boselliidae;Boselliidae;Bosellia;Bosellia_mimetica
0	0	0.01291	1.078e-06	Eukaryota;Mollusca;Gastropoda;Siphonariida
0.01291	1.078e-06	0.01291	1.078e-06	Eukaryota;Mollusca;Gastropoda;Siphonariida;Siphonariidae
0	0	0.07065	5.899e-06	Eukaryota;Mollusca;Cephalopoda
0	0	0.07065	5.899e-06	Eukaryota;Mollusca;Cephalopoda;Nautilida
0.07065	5.899e-06	0.07065	5.899e-06	Eukaryota;Mollusca;Cephalopoda;Nautilida;Nautilidae
1.061	8.856e-05	4.077	0.0003404	Eukaryota;Mollusca;Bivalvia
0	0	0.314	2.622e-05	Eukaryota;Mollusca;Bivalvia;Limoida
0.314	2.622e-05	0.314	2.622e-05	Eukaryota;Mollusca;Bivalvia;Limoida;Limidae
0	0	0.07393	6.173e-06	Eukaryota;Mollusca;Bivalvia;Trigoniida
0	0	0.07393	6.173e-06	Eukaryota;Mollusca;Bivalvia;Trigoniida;Trigoniidae
0.07393	6.173e-06	0.07393	6.173e-06	Eukaryota;Mollusca;Bivalvia;Trigoniida;Trigoniidae;Neotrigonia
0.5342	4.46e-05	0.5342	4.46e-05	Eukaryota;Mollusca;Bivalvia;Pectinoida
0.3349	2.796e-05	0.3349	2.796e-05	Eukaryota;Mollusca;Bivalvia;Veneroida
0.8763	7.317e-05	0.8763	7.317e-05	Eukaryota;Mollusca;Bivalvia;Pholadomyoida
0	0	0.8828	7.371e-05	Eukaryota;Mollusca;Bivalvia;Nuculoida
0.8828	7.371e-05	0.8828	7.371e-05	Eukaryota;Mollusca;Bivalvia;Nuculoida;Nuculidae
0	0	0.196	1.636e-05	Eukaryota;Mollusca;Scaphopoda
0.196	1.636e-05	0.196	1.636e-05	Eukaryota;Mollusca;Scaphopoda;Gadilida
0	0	0.01344	1.122e-06	Eukaryota;Mollusca;Polyplacophora
0.01344	1.122e-06	0.01344	1.122e-06	Eukaryota;Mollusca;Polyplacophora;Lepidopleurida
0.2872	2.398e-05	23.24	0.00194	Eukaryota;Arthropoda
8.684	0.0007251	21.37	0.001785	Eukaryota;Arthropoda;Hexanauplia
0	0	0.8724	7.284e-05	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida
0.8724	7.284e-05	0.8724	7.284e-05	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida;Mormonillidae
7.977	0.000666	7.977	0.000666	Eukaryota;Arthropoda;Hexanauplia;Sessilia
1.994	0.0001665	1.994	0.0001665	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
1.061	8.861e-05	1.061	8.861e-05	Eukaryota;Arthropoda;Hexanauplia;Calanoida
