name	LWR	fract	aLWR	afract	taxopath
Query17	0	0	0.9727	0.9834	Eukaryota
Query17	0	0	0.9727	0.9834	Eukaryota;Arthropoda
Query17	0.4914	0.4968	0.8536	0.863	Eukaryota;Arthropoda;Hexanauplia
Query17	0.3454	0.3492	0.3454	0.3492	Eukaryota;Arthropoda;Hexanauplia;Sessilia
Query17	0.01687	0.01706	0.01687	0.01706	Eukaryota;Arthropoda;Hexanauplia;Pedunculata
Query17	0.04219	0.04266	0.1191	0.1204	Eukaryota;Arthropoda;Diplopoda
Query17	0.02653	0.02682	0.02653	0.02682	Eukaryota;Arthropoda;Diplopoda;Sphaerotheriida
Query17	0.05041	0.05096	0.05041	0.05096	Eukaryota;Arthropoda;Diplopoda;Spirobolida
Query17	0.01639	0.01657	0.01639	0.01657	DISTANT
Query41	0.3308	0.3367	0.9664	0.9837	Eukaryota
Query41	0	0	0.3002	0.3056	Eukaryota;Bryozoa
Query41	0.3002	0.3056	0.3002	0.3056	Eukaryota;Bryozoa;Phylactolaemata
Query41	0.01113	0.01133	0.3099	0.3154	Eukaryota;Mollusca
Query41	0.1815	0.1847	0.2988	0.3041	Eukaryota;Mollusca;Gastropoda
Query41	0	0	0.1173	0.1194	Eukaryota;Mollusca;Gastropoda;Pachychilidae
Query41	0.1173	0.1194	0.1173	0.1194	Eukaryota;Mollusca;Gastropoda;Pachychilidae;Pachychilidae
Query41	0.02253	0.02294	0.02545	0.0259	Eukaryota;Entoprocta
Query41	0	0	0.002916	0.002968	Eukaryota;Entoprocta;Barentsiidae
Query41	0	0	0.002916	0.002968	Eukaryota;Entoprocta;Barentsiidae;Barentsiidae
Query41	0	0	0.002916	0.002968	Eukaryota;Entoprocta;Barentsiidae;Barentsiidae;Barentsiidae
Query41	0.002916	0.002968	0.002916	0.002968	Eukaryota;Entoprocta;Barentsiidae;Barentsiidae;Barentsiidae;Barentsia
Query41	0.01603	0.01632	0.01603	0.01632	DISTANT
Query30	0	0	0.9571	0.997	Eukaryota
Query30	0	0	0.9571	0.997	Eukaryota;Chordata
Query30	0.82	0.8541	0.9571	0.997	Eukaryota;Chordata;Actinopteri
Query30	0.09051	0.09428	0.09051	0.09428	Eukaryota;Chordata;Actinopteri;Istiophoriformes
Query30	0	0	7.269e-06	7.571e-06	Eukaryota;Chordata;Actinopteri;Lactariidae
Query30	0	0	7.269e-06	7.571e-06	Eukaryota;Chordata;Actinopteri;Lactariidae;Lactariidae
Query30	0	0	7.269e-06	7.571e-06	Eukaryota;Chordata;Actinopteri;Lactariidae;Lactariidae;Lactarius
Query30	7.269e-06	7.571e-06	7.269e-06	7.571e-06	Eukaryota;Chordata;Actinopteri;Lactariidae;Lactariidae;Lactarius;Lactarius_lactarius
Query30	0.03089	0.03218	0.03089	0.03218	Eukaryota;Chordata;Actinopteri;Gadiformes
Query30	2.719e-06	2.832e-06	2.719e-06	2.832e-06	Eukaryota;Chordata;Actinopteri;Myctophiformes
Query30	0	0	0.01578	0.01643	Eukaryota;Chordata;Actinopteri;Embiotocidae
Query30	0.01578	0.01643	0.01578	0.01643	Eukaryota;Chordata;Actinopteri;Embiotocidae;Embiotocidae
Query30	0.002904	0.003025	0.002904	0.003025	DISTANT
Query52	0	0	0.9046	0.9703	Eukaryota
Query52	0.145	0.1556	0.9046	0.9703	Eukaryota;Chordata
Query52	0.7414	0.7952	0.7595	0.8147	Eukaryota;Chordata;Aves
Query52	0.01271	0.01363	0.01271	0.01363	Eukaryota;Chordata;Aves;Anseriformes
Query52	0.005481	0.005879	0.005481	0.005879	Eukaryota;Chordata;Aves;Apodiformes
Query52	0.02769	0.02971	0.02769	0.02971	DISTANT
Query49	0	0	0.9581	0.9758	Eukaryota
Query49	0.1883	0.1917	0.9581	0.9758	Eukaryota;Annelida
Query49	0.7699	0.784	0.7699	0.784	Eukaryota;Annelida;Polychaeta
Query49	0.0238	0.02423	0.0238	0.02423	DISTANT
Query59	0	0	0.8838	0.9786	Eukaryota
Query59	0.2664	0.295	0.8838	0.9786	Eukaryota;Annelida
Query59	0.5634	0.6238	0.6174	0.6836	Eukaryota;Annelida;Polychaeta
Query59	0	0	0.02163	0.02395	Eukaryota;Annelida;Polychaeta;Saccocirridae
Query59	0.02163	0.02395	0.02163	0.02395	Eukaryota;Annelida;Polychaeta;Saccocirridae;Saccocirridae
Query59	0.03235	0.03582	0.03235	0.03582	Eukaryota;Annelida;Polychaeta;Capitellida
Query59	0.01935	0.02142	0.01935	0.02142	DISTANT
Query5	0	0	0.9578	0.9743	Eukaryota
Query5	0.18	0.1831	0.9578	0.9743	Eukaryota;Annelida
Query5	0.7778	0.7912	0.7778	0.7912	Eukaryota;Annelida;Polychaeta
Query5	0.02525	0.02568	0.02525	0.02568	DISTANT
Query39	0	0	0.9579	0.9773	Eukaryota
Query39	0.1931	0.197	0.9579	0.9773	Eukaryota;Annelida
Query39	0.7648	0.7803	0.7648	0.7803	Eukaryota;Annelida;Polychaeta
Query39	0.02222	0.02267	0.02222	0.02267	DISTANT
Query48	0	0	0.8256	0.9731	Eukaryota
Query48	0.8256	0.973	0.8256	0.9731	Eukaryota;Annelida
Query48	3.407e-05	4.015e-05	4.028e-05	4.748e-05	Eukaryota;Annelida;Polychaeta
Query48	6.214e-06	7.324e-06	6.214e-06	7.324e-06	Eukaryota;Annelida;Polychaeta;Eunicida
Query48	0.02283	0.02691	0.02283	0.02691	DISTANT
Query19	0	0	0.9706	0.9968	Eukaryota
Query19	0	0	0.9706	0.9968	Eukaryota;Annelida
Query19	0.9089	0.9334	0.9706	0.9968	Eukaryota;Annelida;Polychaeta
Query19	0	0	0.06178	0.06345	Eukaryota;Annelida;Polychaeta;Opheliidae
Query19	0.06178	0.06345	0.06178	0.06345	Eukaryota;Annelida;Polychaeta;Opheliidae;Opheliidae
Query19	2.81e-06	2.886e-06	2.81e-06	2.886e-06	Eukaryota;Annelida;Polychaeta;Spionida
Query19	0.003085	0.003169	0.003085	0.003169	DISTANT
Query21	0	0	0.9713	0.9855	Eukaryota
Query21	0	0	0.9713	0.9855	Eukaryota;Arthropoda
Query21	0.529	0.5368	0.9437	0.9575	Eukaryota;Arthropoda;Hexanauplia
Query21	0.4021	0.4079	0.4021	0.4079	Eukaryota;Arthropoda;Hexanauplia;Sessilia
Query21	0.01262	0.0128	0.01262	0.0128	Eukaryota;Arthropoda;Hexanauplia;Pedunculata
Query21	0.01514	0.01536	0.02759	0.02799	Eukaryota;Arthropoda;Diplopoda
Query21	0.01245	0.01263	0.01245	0.01263	Eukaryota;Arthropoda;Diplopoda;Sphaerotheriida
Query21	0.01429	0.01449	0.01429	0.01449	DISTANT
Query43	0	0	0.9832	0.9833	Eukaryota
Query43	0	0	0.9832	0.9833	Eukaryota;Arthropoda
Query43	0.7446	0.7447	0.9832	0.9833	Eukaryota;Arthropoda;Hexanauplia
Query43	0.2038	0.2038	0.2038	0.2038	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
Query43	0	0	0.0348	0.03481	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida
Query43	0.0348	0.03481	0.0348	0.03481	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida;Mormonillidae
Query43	0.01666	0.01666	0.01666	0.01666	DISTANT
Query60	5.775e-06	5.795e-06	0.9718	0.9752	Eukaryota
Query60	0	0	0.9718	0.9752	Eukaryota;Arthropoda
Query60	0.4909	0.4926	0.9718	0.9752	Eukaryota;Arthropoda;Hexanauplia
Query60	0.4701	0.4717	0.4701	0.4717	Eukaryota;Arthropoda;Hexanauplia;Calanoida
Query60	0	0	0.006011	0.006032	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida
Query60	0.006011	0.006032	0.006011	0.006032	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida;Mormonillidae
Query60	0.004854	0.00487	0.004854	0.00487	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
Query60	0.02474	0.02482	0.02474	0.02482	DISTANT
Query1	0	0	0.9766	0.9888	Eukaryota
Query1	0	0	0.9766	0.9888	Eukaryota;Mollusca
Query1	0.6412	0.6492	0.9766	0.9888	Eukaryota;Mollusca;Gastropoda
Query1	0	0	0.2033	0.2058	Eukaryota;Mollusca;Gastropoda;Pachychilidae
Query1	0.2033	0.2058	0.2033	0.2058	Eukaryota;Mollusca;Gastropoda;Pachychilidae;Pachychilidae
Query1	0	0	0.1147	0.1161	Eukaryota;Mollusca;Gastropoda;Campanilidae
Query1	0	0	0.1147	0.1161	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae
Query1	0	0	0.1147	0.1161	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile
Query1	0.1147	0.1161	0.1147	0.1161	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile;Campanile_symbolicum
Query1	0	0	0.01738	0.0176	Eukaryota;Mollusca;Gastropoda;Paludomidae
Query1	0.01738	0.0176	0.01738	0.0176	Eukaryota;Mollusca;Gastropoda;Paludomidae;Paludomidae
Query1	0.01111	0.01125	0.01111	0.01125	DISTANT
Query27	0	0	0.9633	0.9745	Eukaryota
Query27	0.212	0.2144	0.9633	0.9745	Eukaryota;Nematoda
Query27	0.2736	0.2768	0.3403	0.3443	Eukaryota;Nematoda;Chromadorea
