name	LWR	fract	aLWR	afract	taxopath
Query60	0.385	0.3894	0.702	0.7101	Bacteria;Proteobacteria;Gammaproteobacteria
Query101	0.5953	0.5957	0.9993	1	Bacteria
Query142	0.4224	0.4256	0.5333	0.5374	Bacteria;Proteobacteria;Gammaproteobacteria
Query114	0.5588	0.5674	0.9301	0.9445	Bacteria
Query129	0.9567	0.9806	0.9663	0.9904	Bacteria
Query137	0.4962	1	0.4962	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query81	0.6189	0.6223	0.9944	1	Bacteria
Query65	0.6835	0.6938	0.9852	1	Eukaryota;Chlorophyta
Query6	0.5959	0.5969	0.9982	1	Eukaryota;Chlorophyta
Query98	0.8064	0.8088	0.9968	0.9998	Eukaryota;Chlorophyta
Query75	0.4928	0.4933	0.4928	0.4933	Eukaryota;Chlorophyta
Query127	0.5756	0.5952	0.9549	0.9875	Eukaryota;Chlorophyta
Query63	0.4164	0.4357	0.8824	0.9234	Eukaryota;Cnidaria
Query164	0.5214	0.5275	0.5214	0.5275	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
Query18	0.9665	0.9665	0.9748	0.9748	Eukaryota
Query39	0.8607	0.9451	0.8607	0.9451	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
Query92	0.8632	0.8673	0.9728	0.9774	Eukaryota
Query170	0.915	0.915	0.9972	0.9973	Bacteria;Proteobacteria;Alphaproteobacteria
Query186	0.6639	0.6639	0.6639	0.6639	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
Query194	0.7741	0.7741	1	1	Bacteria;Proteobacteria;Alphaproteobacteria
Query184	0.6051	0.6056	0.9991	1	Eukaryota;Chlorophyta
Query49	0.5907	0.5909	0.9998	1	Eukaryota;Chlorophyta
Query102	0.688	0.9571	0.688	0.9571	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
Query143	0.9439	1	0.9439	1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
Query73	0.6776	0.9472	0.6776	0.9472	Bacteria
Query41	0.7008	0.735	0.9058	0.95	Bacteria
Query58	0.4997	0.5014	0.9767	0.98	Bacteria
Query55	0.1718	1	0.1718	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query97	0.1609	0.5416	0.1609	0.5416	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query38	0.2719	0.8329	0.2719	0.8329	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query139	0.9016	0.9095	0.9016	0.9095	Bacteria;Proteobacteria;Alphaproteobacteria
Query158	0.3443	0.3447	0.3443	0.3447	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;SAR116_cluster_alpha_proteobacterium_HIMB100
Query163	0.5804	0.5804	0.5804	0.5804	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;SAR116_cluster_alpha_proteobacterium_HIMB100
Query190	0.6138	0.6172	0.6138	0.6172	Eukaryota;Pinguiophyceae;Pinguiophyceae;Pinguiochrysidales;Pinguiochrysidaceae
Query176	0.9672	0.9674	0.9672	0.9674	Bacteria;Proteobacteria;Alphaproteobacteria
Query141	0.7825	0.7825	0.98	0.98	Bacteria;Proteobacteria;Alphaproteobacteria
Query35	0.8875	0.9148	0.9551	0.9845	Eukaryota
Query59	0.8722	0.8851	0.9738	0.9882	Eukaryota;Bacillariophyta
