name	LWR	fract	aLWR	afract	taxopath
Query1764	0.1147	1	0.1147	1	DISTANT
Query1451	0.7616	0.964	0.7616	0.964	DISTANT
Query535	0.1535	1	0.1535	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query2009	0.03759	1	0.03759	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query1215	0.9421	0.9421	0.9421	0.9421	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1064	0.6397	0.6397	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2796	0.7818	0.7818	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2596	0.997	1	0.997	1	DISTANT
Query123	0.5547	0.5547	0.9316	0.9316	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2777	0.7584	0.7584	0.7584	0.7584	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2142	0.5268	0.5268	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1069	0.7412	0.7414	0.7412	0.7414	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query265	0.9301	0.9301	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1293	0.7451	0.7451	0.7451	0.7451	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query709	0.7975	0.7975	0.7975	0.7975	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1703	0.8606	0.8607	0.9984	0.9985	Bacteria;Proteobacteria;Betaproteobacteria
Query2598	0.3247	0.5259	0.4443	0.7197	Bacteria;Proteobacteria;Gammaproteobacteria
Query2156	0.7719	0.9015	0.8417	0.9831	Bacteria;Proteobacteria;Gammaproteobacteria
Query290	0.9584	0.9715	0.9618	0.975	Bacteria;Proteobacteria;Betaproteobacteria
Query2898	0.6911	0.9465	0.6911	0.9465	Bacteria;Proteobacteria;Gammaproteobacteria
Query384	0.8104	0.8138	0.972	0.976	Bacteria;Proteobacteria;Gammaproteobacteria
Query1309	0.8813	0.8991	0.9583	0.9777	Bacteria;Proteobacteria;Gammaproteobacteria
Query630	0.7869	0.7906	0.9954	1	Bacteria
Query1430	0.2861	0.5683	0.2861	0.5683	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query2542	0.1884	1	0.1884	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query2873	0.9674	0.9674	0.9674	0.9674	Bacteria
Query2289	0.9776	0.9847	0.9776	0.9847	Bacteria
Query1384	0.2958	0.6861	0.2958	0.6861	Bacteria
Query2132	0.9969	1	0.9969	1	Bacteria
Query804	0.7047	0.7106	0.9516	0.9595	Bacteria
Query23	0.7417	0.9147	0.7786	0.9603	Bacteria;Proteobacteria;Gammaproteobacteria
Query2774	0.4308	0.4308	0.7847	0.7847	Bacteria;Proteobacteria;Gammaproteobacteria
Query1862	0.4027	0.4048	0.6279	0.6311	Bacteria;Proteobacteria;Gammaproteobacteria
Query2558	0.9258	0.9258	0.994	0.994	Bacteria
Query69	0.8788	0.9047	0.95	0.9779	Bacteria
Query1928	0.6608	0.673	0.8235	0.8387	Bacteria;Proteobacteria;Gammaproteobacteria
Query647	0.9923	0.9986	0.9923	0.9986	Bacteria
Query1459	0.8185	0.8185	0.9856	0.9856	Bacteria;Proteobacteria;Gammaproteobacteria
Query559	0.967	0.9826	0.9718	0.9874	Bacteria
Query2672	0.2146	0.8682	0.2146	0.8682	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query1054	0.5412	0.5413	0.9652	0.9654	Bacteria
Query1538	0.5391	0.555	0.9595	0.9879	Bacteria
Query1023	0.5088	0.5134	0.96	0.9686	Bacteria;Proteobacteria;Gammaproteobacteria
Query207	0.6046	0.6051	0.9691	0.97	Bacteria
Query695	0.3401	0.9193	0.3401	0.9193	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1846	0.4288	0.429	0.8182	0.8187	Bacteria;Proteobacteria;Gammaproteobacteria
Query1678	0.6235	0.6298	0.9825	0.9923	Bacteria
Query1980	0.8562	0.8773	0.9502	0.9736	Bacteria
Query873	0.5121	0.5575	0.6928	0.7542	Bacteria;Proteobacteria;Gammaproteobacteria
Query2781	0.6536	0.6628	0.9455	0.9588	Bacteria
Query869	0.4516	0.8756	0.4516	0.8758	Bacteria
Query1135	0.2496	0.5917	0.3555	0.8428	Bacteria
Query1170	0.4286	0.4656	0.8785	0.9545	Bacteria
Query1604	0.5828	0.6257	0.7319	0.7858	Bacteria;Proteobacteria;Gammaproteobacteria
Query2062	0.2344	0.6904	0.2344	0.6904	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1706	0.4245	0.9466	0.4245	0.9466	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query2081	0.8164	0.8511	0.8712	0.9082	Bacteria;Proteobacteria;Gammaproteobacteria
Query392	0.2818	1	0.2818	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1743	0.2287	1	0.2287	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1851	0.04641	0.5531	0.04641	0.5531	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query1035	0.7227	0.9337	0.7293	0.9422	Bacteria;Proteobacteria;Gammaproteobacteria
Query569	0.4165	0.4167	0.5706	0.571	Bacteria;Proteobacteria;Gammaproteobacteria
Query2826	0.333	0.9449	0.333	0.9449	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query2803	0.5	1	0.5	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query828	0.459	0.976	0.459	0.976	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1231	0.2522	0.6899	0.2522	0.6899	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1927	0.8392	0.9535	0.8454	0.9605	Bacteria
Query1380	0.158	0.5861	0.158	0.5861	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query2648	0.7403	0.7403	0.9647	0.9647	Bacteria;Proteobacteria;Gammaproteobacteria
Query2264	0.4634	0.9407	0.4634	0.9407	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query1687	0.6219	0.6473	0.9568	0.9959	Bacteria;Proteobacteria;Gammaproteobacteria
Query2233	0.9322	0.9441	0.9323	0.9442	Bacteria;Proteobacteria;Betaproteobacteria
Query803	0.2946	0.9541	0.2946	0.9541	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query2680	0.1767	0.8966	0.1767	0.8966	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query1296	0.8638	0.9223	0.8638	0.9223	Bacteria
Query1280	0.07391	0.4813	0.07391	0.4813	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales
Query434	0.1434	0.853	0.1434	0.853	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
Query349	0.7699	0.955	0.7699	0.955	Bacteria
Query2206	0.827	0.9679	0.827	0.9679	Bacteria;Proteobacteria;Gammaproteobacteria
Query1315	0.2986	0.7138	0.2986	0.7138	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1297	0.6053	0.6086	0.9432	0.9484	Bacteria;Proteobacteria;Gammaproteobacteria
Query2401	0.5676	0.7282	0.7166	0.9193	Bacteria;Proteobacteria;Gammaproteobacteria
Query1048	0.5521	0.5939	0.7649	0.8228	Bacteria;Proteobacteria;Gammaproteobacteria
