name	LWR	fract	aLWR	afract	taxopath
Query698	0.4382	0.4382	0.7812	0.7812	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query720	0.7632	0.7632	0.8378	0.8378	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2517	0.6324	0.6324	0.6324	0.6324	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query5188	0.6491	0.6491	0.9346	0.9346	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1999	0.7757	0.7757	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2906	0.8704	0.8704	0.8704	0.8704	DISTANT
Query1128	0.8101	0.8101	0.8101	0.8101	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2460	0.861	0.861	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3701	0.8399	0.8399	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1439	0.6377	0.6377	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2833	0.9704	0.9704	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query5048	0.6171	0.6172	0.8709	0.871	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1756	0.5938	0.5938	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2908	0.8964	0.8964	0.8964	0.8964	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query557	0.8969	0.8969	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2126	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3273	0.7162	0.7162	0.7162	0.7162	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1642	0.5828	0.5828	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2211	0.6732	0.6732	0.881	0.881	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3486	0.5993	0.5993	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query706	0.717	0.717	0.972	0.972	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2201	0.9582	0.9582	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3715	0.7046	0.7046	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1260	0.4796	0.4796	0.7904	0.7905	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2921	0.5845	0.5845	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query4260	0.5529	0.5529	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1108	0.692	0.692	0.692	0.692	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2334	0.6716	0.6716	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3492	0.5653	0.5653	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1053	0.5855	0.5855	0.5855	0.5855	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2331	0.7088	0.7088	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3267	0.5123	0.5123	0.5123	0.5123	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1209	0.6581	0.6581	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2491	0.6176	0.6176	0.6176	0.6176	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3664	0.6626	0.6626	0.6626	0.6626	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2061	0.6411	0.6411	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2944	0.6067	0.6067	0.6067	0.6067	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query730	0.7982	0.7982	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2110	0.5851	0.5851	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2919	0.9044	0.9044	0.9044	0.9044	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1269	0.6682	0.6682	0.8929	0.8929	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2535	0.5923	0.5923	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3713	0.5286	0.5286	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1137	0.8836	0.8836	0.8836	0.8836	DISTANT
Query2485	0.8552	0.8552	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3482	0.8522	0.8522	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query906	0.6529	0.6529	0.6529	0.6529	DISTANT
Query2205	0.5816	0.5816	0.7656	0.7656	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3702	0.5773	0.5773	0.5773	0.5773	DISTANT
Query2025	0.6241	0.6241	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3218	0.6966	0.6966	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
