name	LWR	fract	aLWR	afract	taxopath
Query4397	0.9327	0.957	0.949	0.9738	Eukaryota;Annelida
Query1815	0.9357	0.9568	0.9522	0.9737	Eukaryota;Annelida
Query4037	0.9195	0.9503	0.9388	0.9702	Eukaryota;Annelida
Query4538	0.553	0.5599	0.553	0.5599	Eukaryota;Mollusca;Gastropoda;Thiaridae;Thiaridae
Query4279	0.7384	0.7385	0.9556	0.9557	Eukaryota;Arthropoda;Hexanauplia
Query3092	0.8088	0.8424	0.863	0.8989	Eukaryota;Annelida;Polychaeta
Query4291	0.8464	0.9131	0.8641	0.9322	Eukaryota;Annelida
Query3758	0.5622	0.5855	0.5622	0.5855	Eukaryota;Bryozoa;Phylactolaemata
Query649	0.3537	0.4283	0.3537	0.4284	Eukaryota;Chordata;Aves
Query1507	0.5654	0.6356	0.8158	0.9171	Eukaryota;Chordata;Aves
Query2033	0.4619	0.5246	0.4619	0.5246	Eukaryota;Chordata;Lepidosauria;Squamata
Query2836	0.324	0.3847	0.324	0.3847	Eukaryota;Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;Thecamonas;Thecamonas_trahens
Query3522	0.7966	0.9764	0.7966	0.9764	Eukaryota;Cryptophyceae;Cryptophyceae;Cyathomonadacea
Query4066	0.449	0.5876	0.4613	0.6037	Eukaryota;Chlorophyta
Query3708	0.8326	0.8478	0.967	0.9846	Eukaryota
Query1232	0.3318	0.481	0.4471	0.6482	Eukaryota;Chlorophyta
Query2601	0.3782	0.3885	0.5727	0.5883	Eukaryota;Haptista;Haptophyta
Query2725	0.7493	0.9079	0.7493	0.9079	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query1204	0.7623	0.9948	0.7623	0.9948	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query3521	0.8701	0.9473	0.8701	0.9473	Eukaryota
Query1996	0.6012	0.7014	0.6012	0.7014	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
