name	LWR	fract	aLWR	afract	taxopath
Query60	0.8955	0.8955	0.9976	0.9976	Bacteria
Query60	0	0	0.1021	0.1021	Bacteria;Proteobacteria
Query60	0	0	0.1021	0.1021	Bacteria;Proteobacteria;Gammaproteobacteria
Query60	0.1021	0.1021	0.1021	0.1021	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales
Query60	0.002382	0.002382	0.002382	0.002382	DISTANT
Query48	0	0	0.1239	0.8647	Eukaryota
Query48	0	0	0.1239	0.8647	Eukaryota;Chordata
Query48	0	0	0.1239	0.8647	Eukaryota;Chordata;Thaliacea
Query48	0	0	0.1239	0.8647	Eukaryota;Chordata;Thaliacea;Pyrosomata
Query48	0	0	0.1239	0.8647	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
Query48	0	0	0.1239	0.8647	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
Query48	0.1239	0.8647	0.1239	0.8647	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query48	0.003656	0.02552	0.003656	0.02552	DISTANT
Query48	0.01572	0.1098	0.01572	0.1098	Bacteria
Query51	0.9083	0.9092	0.9504	0.9513	Eukaryota
Query51	0	0	0.04214	0.04218	Eukaryota;Phaeophyceae
Query51	0.03028	0.03031	0.04214	0.04218	Eukaryota;Phaeophyceae;Phaeophyceae
Query51	0	0	0.01186	0.01187	Eukaryota;Phaeophyceae;Phaeophyceae;Syringodermatales
Query51	0	0	0.01186	0.01187	Eukaryota;Phaeophyceae;Phaeophyceae;Syringodermatales;Syringodermataceae
Query51	0.01186	0.01187	0.01186	0.01187	Eukaryota;Phaeophyceae;Phaeophyceae;Syringodermatales;Syringodermataceae;Syringoderma
Query51	0.0486	0.04865	0.0486	0.04865	DISTANT
Query15	0.8933	0.8934	0.8933	0.8934	Eukaryota
Query15	0	0	1.253e-07	1.253e-07	Eukaryota;Chytridiomycota
Query15	0	0	1.253e-07	1.253e-07	Eukaryota;Chytridiomycota;Chytridiomycetes
Query15	1.253e-07	1.253e-07	1.253e-07	1.253e-07	Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales
Query15	0	0	6.383e-08	6.384e-08	Eukaryota;Mucoromycota
Query15	6.383e-08	6.384e-08	6.383e-08	6.384e-08	Eukaryota;Mucoromycota;Glomeromycetes
Query15	0.1066	0.1066	0.1066	0.1066	DISTANT
Query26	0	0	0.7944	0.8034	Eukaryota
Query26	0	0	0.7944	0.8034	Eukaryota;Euglenozoa
Query26	0.7944	0.8034	0.7944	0.8034	Eukaryota;Euglenozoa;Euglenida
Query26	0	0	1.237e-05	1.251e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
Query26	0	0	1.237e-05	1.251e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
Query26	0	0	1.237e-05	1.251e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
Query26	1.237e-05	1.251e-05	1.237e-05	1.251e-05	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
Query26	0.1944	0.1966	0.1944	0.1966	DISTANT
Query3	0	0	1.949e-06	5.143e-06	Archaea
Query3	0	0	1.949e-06	5.143e-06	Archaea;TACK_group
Query3	0	0	1.949e-06	5.143e-06	Archaea;TACK_group;Crenarchaeota
Query3	1.949e-06	5.143e-06	1.949e-06	5.143e-06	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query3	0.379	1	0.379	1	DISTANT
Query46	0.7146	0.7146	1	1	Eukaryota
Query46	0	0	0.2854	0.2854	Eukaryota;Chlorophyta
Query46	0	0	0.2854	0.2854	Eukaryota;Chlorophyta;Trebouxiophyceae
Query46	0	0	0.2854	0.2854	Eukaryota;Chlorophyta;Trebouxiophyceae;Trebouxiales
Query46	0.2854	0.2854	0.2854	0.2854	Eukaryota;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae
Query16	0	0	1	1	Bacteria
Query16	0	0	1	1	Bacteria;Proteobacteria
Query16	0.1474	0.1474	1	1	Bacteria;Proteobacteria;Alphaproteobacteria
Query16	0	0	0.8526	0.8526	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales
Query16	0.8526	0.8526	0.8526	0.8526	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae
Query66	0	0	0.6359	0.9702	Bacteria
Query66	0	0	0.6359	0.9702	Bacteria;Proteobacteria
Query66	0.5421	0.8272	0.6096	0.9301	Bacteria;Proteobacteria;Gammaproteobacteria
Query66	0	0	0.03409	0.05201	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales
Query66	0	0	0.03409	0.05201	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae
Query66	0	0	0.03409	0.05201	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Hydrocarboniphaga
Query66	0.03409	0.05201	0.03409	0.05201	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Hydrocarboniphaga;Hydrocarboniphaga_effusa_AP103
Query66	0	0	0.03336	0.05089	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales
Query66	0	0	0.03336	0.05089	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae
Query66	0	0	0.03336	0.05089	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera
Query66	0.03336	0.05089	0.03336	0.05089	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera;Salinisphaera_shabanensis_E1L3A
Query66	0.02607	0.03978	0.02632	0.04015	Bacteria;Proteobacteria;Betaproteobacteria
Query66	0.0002451	0.0003739	0.0002451	0.0003739	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query66	0.01952	0.02978	0.01952	0.02978	DISTANT
Query54	1	1	1	1	Bacteria
Query36	0.5728	0.5729	0.9642	0.9645	Bacteria
Query36	0	0	0.3914	0.3915	Bacteria;Proteobacteria
