LWR	fract	aLWR	afract	taxopath
0	0	225.1	0.05882	Archaea
0	0	18.09	0.004727	Archaea;TACK_group
0	0	16.09	0.004204	Archaea;TACK_group;Crenarchaeota
16.09	0.004204	16.09	0.004204	Archaea;TACK_group;Crenarchaeota;Thermoprotei
0.0004264	1.114e-07	2	0.0005227	Archaea;TACK_group;Thaumarchaeota
0.9999	0.0002613	0.9999	0.0002613	Archaea;TACK_group;Thaumarchaeota;Nitrosopumilales
0	0	0.9997	0.0002612	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria
0	0	0.9997	0.0002612	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales
0	0	0.9997	0.0002612	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae
0	0	0.9997	0.0002612	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera
0	0	0.9997	0.0002612	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera_viennensis
0.9997	0.0002612	0.9997	0.0002612	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera_viennensis;Nitrososphaera_viennensis_EN76
0	0	207	0.0541	Archaea;Euryarchaeota
0	0	204.7	0.0535	Archaea;Euryarchaeota;environmental_samples
154	0.04024	204.7	0.0535	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
46.15	0.01206	46.15	0.01206	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
0.9894	0.0002586	0.9894	0.0002586	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_37_D11
1.071	0.0002799	1.071	0.0002799	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_11_G05
0.2505	6.545e-05	0.2505	6.545e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_164_G07
0.2921	7.632e-05	0.2921	7.632e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_104_H03
0.9999	0.0002613	0.9999	0.0002613	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_74_C08
0.9999	0.0002613	0.9999	0.0002613	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_178_D06
1.279	0.0003342	1.279	0.0003342	Archaea;Euryarchaeota;Diaforarchaea_group_Thermoplasmata_Thermoplasmatales
0.9998	0.0002613	0.9998	0.0002613	Archaea;Euryarchaeota;Stenosarchaea_group_Halobacteria
299.3	0.07821	299.3	0.07821	DISTANT
274.5	0.07172	1783	0.466	Eukaryota
0	0	29.86	0.007804	Eukaryota;Mucoromycota
19.97	0.00522	26.87	0.007021	Eukaryota;Mucoromycota;Glomeromycetes
2.037	0.0005323	2.037	0.0005323	Eukaryota;Mucoromycota;Glomeromycetes;Glomerales
0	0	1.86	0.0004861	Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales
0	0	1.86	0.0004861	Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae
1.86	0.0004861	1.86	0.0004861	Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus
1.996	0.0005215	1.996	0.0005215	Eukaryota;Mucoromycota;Glomeromycetes;Archaeosporales
