LWR	fract	aLWR	afract	taxopath
896.7	0.04183	4089	0.1907	Eukaryota
0	0	1256	0.0586	Eukaryota;Euglenozoa
943.6	0.04401	1256	0.05859	Eukaryota;Euglenozoa;Euglenida
0	0	75.05	0.003501	Eukaryota;Euglenozoa;Euglenida;Eutreptiales
0	0	75.05	0.003501	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella
0	0	75.05	0.003501	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella
75.05	0.003501	75.05	0.003501	Eukaryota;Euglenozoa;Euglenida;Eutreptiales;Eutreptiella;Eutreptiella;Eutreptiella_gymnastica
237.4	0.01107	237.4	0.01107	Eukaryota;Euglenozoa;Euglenida;Euglenales
0	0	0.2267	1.057e-05	Eukaryota;Euglenozoa;Diplonemea
0.2267	1.057e-05	0.2267	1.057e-05	Eukaryota;Euglenozoa;Diplonemea;Diplonemea
541.3	0.02525	1234	0.05756	Eukaryota;Chlorophyta
0	0	484.9	0.02262	Eukaryota;Chlorophyta;Chlorophyceae
0	0	484.9	0.02262	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae
0	0	484.9	0.02262	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae;Microsporaceae
0	0	484.9	0.02262	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae;Microsporaceae;Microspora
484.9	0.02262	484.9	0.02262	Eukaryota;Chlorophyta;Chlorophyceae;Microsporaceae;Microsporaceae;Microspora;Microspora_stagnorum
0	0	0.2764	1.289e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae
0	0	0.2764	1.289e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales
0	0	0.2764	1.289e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae
0.2764	1.289e-05	0.2764	1.289e-05	Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis
0	0	171.9	0.008018	Eukaryota;Chlorophyta;Mamiellophyceae
29.42	0.001372	29.42	0.001372	Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales
142	0.006626	142	0.006626	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
0	0	0.4121	1.922e-05	Eukaryota;Chlorophyta;Mamiellophyceae;Monomastigales
0	0	0.4121	1.922e-05	Eukaryota;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae
0	0	0.4121	1.922e-05	Eukaryota;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae;Monomastix
0.4121	1.922e-05	0.4121	1.922e-05	Eukaryota;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae;Monomastix;Monomastix_minuta
0	0	6.406	0.0002988	Eukaryota;Chlorophyta;Ulvophyceae
0	0	4.473	0.0002086	Eukaryota;Chlorophyta;Ulvophyceae;Cladophorales
0	0	4.473	0.0002086	Eukaryota;Chlorophyta;Ulvophyceae;Cladophorales;Pithophoraceae
0	0	4.473	0.0002086	Eukaryota;Chlorophyta;Ulvophyceae;Cladophorales;Pithophoraceae;Pithophora
