LWR	fract	aLWR	afract	taxopath
304.7	0.02596	5111	0.4353	Bacteria
0.00807	6.873e-07	20	0.001703	Bacteria;Actinobacteria
0	0	0.9998	8.515e-05	Bacteria;Actinobacteria;Acidimicrobiia
0.9998	8.515e-05	0.9998	8.515e-05	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales
0	0	0.9996	8.514e-05	Bacteria;Actinobacteria;Cryptosporangiales
0	0	0.9996	8.514e-05	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae
0	0	0.9996	8.514e-05	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium
0.9996	8.514e-05	0.9996	8.514e-05	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium_arvum_DSM_44712
0	0	0.9993	8.511e-05	Bacteria;Actinobacteria;Pseudonocardiales
0.9993	8.511e-05	0.9993	8.511e-05	Bacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae
0	0	1	8.517e-05	Bacteria;Actinobacteria;Actinomycetales
0	0	1	8.517e-05	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae
1	8.517e-05	1	8.517e-05	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
0	0	0.9998	8.515e-05	Bacteria;Actinobacteria;c_Actinobacteria
0	0	0.9998	8.515e-05	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria
0	0	0.9998	8.515e-05	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria;c_o_f_Actinobacteria
0.9998	8.515e-05	0.9998	8.515e-05	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria;c_o_f_Actinobacteria;actinobacterium_acMicro4
0	0	0.9996	8.514e-05	Bacteria;Actinobacteria;Nakamurellales
0	0	0.9996	8.514e-05	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae
0	0	0.9996	8.514e-05	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella
