LWR	fract	aLWR	afract	taxopath
0.6769	0.0005171	121	0.09243	Bacteria
0	0	3.999	0.003055	Bacteria;Acidobacteria
0.0006015	4.594e-07	2	0.001528	Bacteria;Acidobacteria;Acidobacteriia
0	0	0.9996	0.0007636	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales
0.9996	0.0007636	0.9996	0.0007636	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
0	0	0.9998	0.0007637	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
0	0	0.9998	0.0007637	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae
0	0	0.9998	0.0007637	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus_Solibacter
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_usitatus_Ellin6076
0	0	1.999	0.001527	Bacteria;Acidobacteria;Blastocatellia
0	0	0.9998	0.0007637	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia
0	0	0.9998	0.0007637	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia;o_f_Blastocatellia
0	0	0.9998	0.0007637	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia;o_f_Blastocatellia;Chloracidobacterium
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Acidobacteria;Blastocatellia;o_Blastocatellia;o_f_Blastocatellia;Chloracidobacterium;Chloracidobacterium_thermophilum_B
0	0	0.9997	0.0007636	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales
0	0	0.9997	0.0007636	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae
0	0	0.9997	0.0007636	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas
0.9997	0.0007636	0.9997	0.0007636	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas;Pyrinomonas_methylaliphatogenes
0.001146	8.752e-07	6	0.004583	Bacteria;Cyanobacteria
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;Gloeobacteria
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Gloeobacter;Gloeobacter_kilaueensis_JS1
0	0	0.9997	0.0007637	Bacteria;Cyanobacteria;Nostocales
0	0	0.9997	0.0007637	Bacteria;Cyanobacteria;Nostocales;Nostocales
0	0	0.9997	0.0007637	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae
0	0	0.9997	0.0007637	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae;Richelia
0.9997	0.0007637	0.9997	0.0007637	Bacteria;Cyanobacteria;Nostocales;Nostocales;Nostocaceae;Richelia;Richelia_intracellularis_HH01
0.000468	3.575e-07	3.999	0.003055	Bacteria;Cyanobacteria;p_Cyanobacteria
0.9994	0.0007634	0.9994	0.0007634	Bacteria;Cyanobacteria;p_Cyanobacteria;Nostocales
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Cyanobacteria;p_Cyanobacteria;Chroococcales
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae
0	0	0.9998	0.0007637	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Cyanobacteria;p_Cyanobacteria;Oscillatoriales;Microcoleaceae;Limnospira;Limnospira_indica_PCC_8005
0.9999	0.0007638	0.9999	0.0007638	Bacteria;Cyanobacteria;p_Cyanobacteria;Synechococcales
0.0009285	7.092e-07	9	0.006875	Bacteria;Bacteroidetes
0	0	0.9997	0.0007637	Bacteria;Bacteroidetes;Cytophagia
0.9997	0.0007637	0.9997	0.0007637	Bacteria;Bacteroidetes;Cytophagia;Cytophagales
0	0	0.9998	0.0007637	Bacteria;Bacteroidetes;p_Bacteroidetes
0	0	0.9998	0.0007637	Bacteria;Bacteroidetes;p_Bacteroidetes;Bacteroidetes_Order_II._Incertae_sedis
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Bacteroidetes;p_Bacteroidetes;Bacteroidetes_Order_II._Incertae_sedis;Rhodothermaceae
0	0	2	0.001528	Bacteria;Bacteroidetes;Bacteroidia
0.9999	0.0007638	0.9999	0.0007638	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
0	0	0.9999	0.0007638	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales
0	0	0.9999	0.0007638	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
0	0	0.9999	0.0007638	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium
0.9999	0.0007638	0.9999	0.0007638	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium;Draconibacterium_orientale
0	0	0.9997	0.0007637	Bacteria;Bacteroidetes;Chitinophagia
0	0	0.9997	0.0007637	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales
0.9997	0.0007637	0.9997	0.0007637	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
0.0007571	5.784e-07	2	0.001528	Bacteria;Bacteroidetes;Flavobacteriia
0	0	0.9997	0.0007637	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia
0	0	0.9997	0.0007637	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia
0	0	0.9997	0.0007637	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia
0.9997	0.0007637	0.9997	0.0007637	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia;Flavobacteria_bacterium_MS0243C
0.9995	0.0007635	0.9995	0.0007635	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
0	0	0.9998	0.0007637	Bacteria;Bacteroidetes;Sphingobacteriia
0	0	0.9998	0.0007637	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
0	0	0.9998	0.0007637	Bacteria;Bacteroidetes;Saprospiria
0	0	0.9998	0.0007637	Bacteria;Bacteroidetes;Saprospiria;Saprospirales
0.9998	0.0007637	0.9998	0.0007637	Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae
0.7152	0.0005463	48.76	0.03725	Bacteria;Proteobacteria
0.5577	0.000426	17.76	0.01357	Bacteria;Proteobacteria;Gammaproteobacteria
0.9997	0.0007637	0.9997	0.0007637	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales
0.9995	0.0007635	0.9995	0.0007635	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
