name	LWR	fract	aLWR	afract	taxopath
Query27918	0.466	0.9252	0.466	0.9252	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query24498	0.5403	0.5675	0.5403	0.5675	DISTANT
Query26864	0.3326	0.8406	0.3326	0.8406	DISTANT
Query26798	0.3577	0.8724	0.3577	0.8724	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query28604	0.2768	1	0.2768	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query29082	0.143	0.6249	0.143	0.6249	DISTANT
Query26934	0.4473	0.9934	0.4473	0.9934	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query27780	0.6096	0.6107	0.6096	0.6107	DISTANT
Query27271	1	1	1	1	DISTANT
Query28694	0.9956	1	0.9956	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query28080	0.5688	0.5688	0.5688	0.5688	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query25083	0.5486	0.5486	0.5486	0.5486	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query24887	0.5214	0.5224	0.6346	0.6358	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query26931	0.5795	0.581	0.5795	0.581	DISTANT
Query27241	0.6045	0.6045	0.6045	0.6045	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27882	0.519	0.519	0.519	0.519	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query24504	0.6907	0.6907	0.6907	0.6907	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27778	0.5621	0.5621	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query27424	0.5407	0.5408	0.5407	0.5408	DISTANT
Query28163	0.7902	0.7902	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
