name	LWR	fract	aLWR	afract	taxopath
Query3514	0.3926	0.4428	0.8285	0.9344	Eukaryota;Chordata
Query3715	0.9708	0.9828	0.9708	0.9828	Eukaryota;Arthropoda;Hexanauplia;Sessilia
Query1033	0.9163	0.9685	0.9163	0.9685	Eukaryota;Annelida
Query2645	0.976	0.9881	0.976	0.9881	Eukaryota;Annelida
Query3313	0.8863	0.9115	0.9354	0.9619	Eukaryota;Annelida
Query1017	0.3691	0.3954	0.5817	0.6233	Eukaryota;Mollusca;Gastropoda
Query4975	0.5833	0.5981	0.9706	0.9953	Eukaryota;Mollusca;Gastropoda
Query1940	0.6334	0.6334	1	1	Eukaryota;Chordata
Query3663	0.6268	0.6325	0.908	0.9163	Eukaryota;Arthropoda;Hexanauplia
Query2699	0.5483	0.7713	0.559	0.7862	Eukaryota;Porifera;Demospongiae
Query4171	0.5776	0.5822	0.932	0.9395	Eukaryota;Streptophyta
Query2497	0.6017	0.6515	0.6017	0.6515	Eukaryota;Porifera;Demospongiae
Query54	0.2329	0.3022	0.6787	0.8809	Eukaryota;Chordata
Query1374	0.6305	0.6448	0.6305	0.6448	Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia;Eucampia_zodiacus
Query2105	0.3872	0.4061	0.3872	0.4061	Eukaryota;Cnidaria;Anthozoa
Query5070	0.4204	0.4317	0.4204	0.4317	Eukaryota;Nematoda;Chromadorea;Araeolaimida
Query1300	0.579	0.6094	0.579	0.6094	Eukaryota;Porifera;Demospongiae
Query4042	0.7048	0.7512	0.7048	0.7512	Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia;Eucampia_zodiacus
Query1777	0.5982	0.6434	0.6725	0.7233	Eukaryota;Annelida;Polychaeta
Query852	0.794	0.8252	0.8931	0.9283	Eukaryota;Annelida;Polychaeta
Query3790	0.6517	0.7665	0.7041	0.8281	Eukaryota;Annelida;Polychaeta
Query3284	0.6922	0.7239	0.7768	0.8123	Eukaryota;Arthropoda;Diplopoda
Query678	0.5784	0.6876	0.5784	0.6876	Eukaryota;Chordata;Lepidosauria;Squamata
Query560	0.512	0.7382	0.5317	0.7667	Eukaryota;Chordata;Actinopteri
Query3392	0.6358	0.7051	0.8359	0.927	Eukaryota;Chordata;Aves
Query2510	0.4539	0.5087	0.4539	0.5087	Eukaryota;Chordata;Chondrichthyes
Query3166	0.7043	0.7119	0.9796	0.9901	Eukaryota;Chordata;Mammalia
Query880	0.2748	0.3481	0.5155	0.653	Eukaryota;Chordata;Aves
Query4208	0.6969	0.6969	0.9923	0.9923	Eukaryota;Echinodermata;Ophiuroidea
Query5129	0.3349	0.8006	0.3349	0.8006	Eukaryota;Porifera;Hexactinellida
Query3811	0.5867	0.9758	0.5867	0.9758	Eukaryota
Query1119	0.2384	0.348	0.2384	0.348	Eukaryota;Dictyochophyceae;Dictyochophyceae;Pedinellales;Pseudopedinella;Pseudopedinella;Pseudopedinella_elastica
Query341	0.82	0.8286	0.9441	0.954	Eukaryota;Cnidaria
Query3627	0.4123	0.6235	0.5595	0.846	Eukaryota;Streptophyta
Query3647	0.3141	0.3168	0.5951	0.6002	Eukaryota;Cnidaria;Scyphozoa
Query1877	0.7161	0.764	0.8895	0.949	Eukaryota
Query1822	0.5402	0.9376	0.5549	0.9633	Eukaryota
Query1157	0.9992	0.9995	0.9993	0.9995	Eukaryota;Chlorophyta
Query869	0.6959	0.6971	0.7383	0.7396	Eukaryota;Haptista;Haptophyta
Query2783	0.7607	0.9421	0.7607	0.9421	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query2815	0.5364	1	0.5364	1	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query1080	0.04361	0.3638	0.08513	0.7101	Eukaryota
Query2724	0.8195	0.991	0.8195	0.991	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query2376	0.647	0.6549	0.9762	0.9882	Bacteria;Proteobacteria;Alphaproteobacteria
Query796	0.6408	0.6415	0.6408	0.6415	Eukaryota;Chlorophyta;Trebouxiophyceae
Query4496	0.3693	0.404	0.3911	0.4279	Bacteria;Proteobacteria;Alphaproteobacteria
Query4594	0.7795	0.8654	0.8054	0.8941	Eukaryota;Porifera;Demospongiae
Query3601	0.7355	0.7377	0.9776	0.9805	Eukaryota
Query3461	0.5451	0.5461	0.5451	0.5461	Eukaryota;Cnidaria;Anthozoa;Scleractinia
Query3506	0.5621	0.8353	0.5621	0.8353	Eukaryota;Rhodophyta;Compsopogonophyceae;Erythropeltidales
Query4142	0.3124	0.3802	0.3652	0.4444	Eukaryota;Streptophyta
Query1837	0.6241	0.6305	0.6543	0.661	Eukaryota;Porifera;Demospongiae
Query4765	0.5535	0.9501	0.5535	0.9501	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query3841	0.7286	0.7286	1	1	Eukaryota;Chlorophyta
Query4993	0.3117	0.4949	0.3117	0.4949	Bacteria;PVC_group;Verrucomicrobia;Verrucomicrobia;incertae;sedis;Verrucomicrobia;incertae;sedis;Verrucomicrobia;incertae;sedis;Methylacidimicrobium
Query4189	0.8159	0.816	0.8159	0.8161	Eukaryota;Euglenozoa;Euglenida
Query1784	0.9663	0.9677	0.9663	0.9677	Eukaryota
Query4769	0.4295	0.4507	0.4295	0.4507	Bacteria;PVC_group;Verrucomicrobia;Verrucomicrobia;incertae;sedis;Verrucomicrobia;incertae;sedis;Verrucomicrobia;incertae;sedis;Methylacidimicrobium
Query3618	0.5893	0.8066	0.5893	0.8066	Eukaryota;Euglenozoa;Euglenida
Query3242	0.5212	0.5213	0.6241	0.6242	Eukaryota;Chlorophyta
Query4061	0.9225	0.9358	0.9225	0.9358	Eukaryota;Euglenozoa;Euglenida
Query4949	0.8567	0.8997	0.8567	0.8997	Bacteria
Query4615	0.9409	0.9497	0.9409	0.9497	Bacteria
Query4839	0.3552	0.5433	0.3552	0.5433	Eukaryota;Euglenozoa;Euglenida
Query1844	0.2064	0.7036	0.2064	0.7036	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query3578	5.689e-06	1	5.689e-06	1	Eukaryota;Chytridiomycota;Chytridiomycetes;Synchytriales;Synchytriaceae;Synchytrium
Query5014	0.5355	0.5357	0.5355	0.5357	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria;incertae;sedis;SAR116;cluster
Query5141	0.8875	0.8888	0.8876	0.8888	Eukaryota;Euglenozoa;Euglenida
Query1617	0.868	0.8863	0.9165	0.9358	Eukaryota
Query1763	0.7248	0.7257	0.9807	0.9819	Eukaryota
Query5121	0.6433	0.8573	0.6433	0.8573	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query1709	0.8228	0.966	0.8228	0.966	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query5066	0.6668	0.6718	0.6668	0.6719	Eukaryota;Chlorophyta
Query4334	0.881	0.881	0.9907	0.9907	Eukaryota;Chlorophyta
Query3804	0.3887	0.4655	0.3887	0.4655	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query4185	0.4615	0.6217	0.6855	0.9234	Eukaryota
Query4193	0.7175	0.8791	0.722	0.8846	Eukaryota;Rhodophyta
Query102	0.8559	0.9614	0.8559	0.9614	Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacteraceae
Query4317	0.3289	0.7232	0.4396	0.9666	Eukaryota
Query2518	0.3646	0.3871	0.9288	0.986	Eukaryota
Query4936	0.3797	0.7862	0.3797	0.7862	Eukaryota;Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;Thecamonas;Thecamonas_trahens
Query3346	0.4775	0.594	0.7856	0.9772	Eukaryota
Query76	0.7428	0.7473	0.9778	0.9838	Eukaryota;Phaeophyceae;Phaeophyceae
Query131	0.3513	0.3818	0.8916	0.969	Eukaryota
Query2206	0.4946	0.502	0.66	0.6697	Eukaryota;Glaucocystophyceae;Glaucocystophyceae
Query1920	0.4863	0.4864	0.4863	0.4864	Eukaryota;Phaeophyceae;Phaeophyceae;Syringodermatales;Syringodermataceae;Syringoderma
Query580	0.91	0.9237	0.9515	0.9658	Eukaryota
Query2409	0.384	0.4029	0.4235	0.4444	Bacteria;Proteobacteria;Alphaproteobacteria
Query975	0.3478	0.5216	0.3478	0.5216	Eukaryota;Rhodophyta
Query2820	0.9197	0.9489	0.9364	0.9662	Eukaryota
Query4051	0.3987	0.5549	0.7084	0.9859	Eukaryota
Query2613	0.6319	0.8355	0.7343	0.9709	Eukaryota
Query4341	0.9348	0.9443	0.9348	0.9443	Eukaryota;Chlorophyta;Ulvophyceae;Bryopsidales
Query2951	0.6718	0.7239	0.7077	0.7626	Eukaryota;Bacillariophyta;Mediophyceae
Query151	0.352	0.4015	0.352	0.4015	Eukaryota;Rhodophyta
Query3285	0.9482	0.9618	0.9538	0.9675	Eukaryota
Query4604	0.4032	0.4202	0.8071	0.8412	Eukaryota;Rhodophyta;Florideophyceae
Query3219	0.6193	0.7569	0.6193	0.7569	Eukaryota;Streptophyta
Query1322	0.2222	0.601	0.2833	0.7663	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query3737	0.4594	0.8741	0.5166	0.9828	Eukaryota
Query1726	0.9211	0.9211	0.9211	0.9211	Bacteria
Query1208	0.6025	0.7342	0.786	0.9579	Bacteria;Proteobacteria
Query2057	0.5338	0.5382	0.9772	0.9852	Bacteria;Proteobacteria
Query307	0.7662	0.7964	0.9371	0.9739	Bacteria;Proteobacteria
Query2871	0.2177	1	0.2177	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query4000	0.607	0.6142	0.9596	0.971	Bacteria;Proteobacteria
Query1775	0.5066	0.6416	0.5066	0.6416	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Pseudohongiella;Pseudohongiella_acticola
Query2532	0.9308	0.9315	0.9771	0.9779	Bacteria;Proteobacteria
Query452	0.1744	1	0.1744	1	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query977	0.1314	0.339	0.3594	0.9274	Bacteria;Proteobacteria
Query1262	0.5267	0.5282	0.9911	0.994	Bacteria;Proteobacteria;Gammaproteobacteria
Query487	0.5174	0.5177	0.5174	0.5177	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Halieaceae
Query3868	0.6943	0.7602	0.6943	0.7602	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;Porticoccaceae;unclassified_Porticoccaceae
Query521	0.7046	0.7944	0.804	0.9065	Bacteria;Proteobacteria
Query3157	0.8037	0.8323	0.9565	0.9905	Bacteria;Proteobacteria
Query3797	0.3622	0.6923	0.3622	0.6923	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbiferaceae;Microbulbifer
Query3643	0.5937	0.5959	0.9915	0.9951	Bacteria;Proteobacteria;Gammaproteobacteria
Query187	0.03923	0.9514	0.03925	0.9517	Bacteria;Proteobacteria
Query1730	0.4802	0.5732	0.5744	0.6857	Bacteria;Proteobacteria;Gammaproteobacteria
Query731	0.2082	0.4616	0.2082	0.4616	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbiferaceae;Microbulbifer
Query3371	0.2823	0.7341	0.2849	0.741	Bacteria;Proteobacteria
Query1183	0.08513	0.4528	0.08513	0.4528	Bacteria;Proteobacteria
Query4390	0.1897	0.7664	0.2066	0.8344	Bacteria;Proteobacteria
Query642	0.1687	0.5129	0.3181	0.9672	Bacteria;Proteobacteria;Gammaproteobacteria
Query756	0.5283	0.5318	0.9732	0.9797	Bacteria;Proteobacteria;Gammaproteobacteria
Query2292	0.1172	0.3029	0.3652	0.9437	Bacteria;Proteobacteria;Gammaproteobacteria
Query25	0.8108	0.9139	0.8108	0.9139	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Pseudohongiella;Pseudohongiella_acticola
Query2489	0.7139	0.7542	0.9433	0.9965	Bacteria;Proteobacteria
Query1462	0.4073	0.5905	0.4125	0.598	Bacteria;Proteobacteria
Query1988	0.6935	0.6938	0.9997	1	Bacteria;Proteobacteria
Query2430	0.9933	0.9933	0.9933	0.9933	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;Spongiibacteraceae
Query4673	0.6441	0.6441	0.6441	0.6441	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query2587	0.4849	0.4869	0.4849	0.4869	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;incertae;sedis;Candidatus_Competibacteraceae;Candidatus_Competibacteraceae
Query4691	0.6174	0.6174	0.6174	0.6174	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query558	0.5019	0.5019	0.5019	0.5019	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query1992	0.5976	0.5976	0.5976	0.5976	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query1641	0.9386	0.9408	0.9861	0.9885	Bacteria;Proteobacteria
Query777	0.5303	0.5303	0.5303	0.5303	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified_Nitrosomonadales_OM43_clade
Query62	0.496	0.496	1	1	Bacteria;Proteobacteria
