LWR	fract	aLWR	afract	taxopath
0	0	1407	0.06865	Archaea
0	0	116	0.005658	Archaea;TACK_group
0	0	111.6	0.005445	Archaea;TACK_group;Crenarchaeota
111.6	0.005445	111.6	0.005445	Archaea;TACK_group;Crenarchaeota;Thermoprotei
4.008	0.0001956	4.367	0.0002131	Archaea;TACK_group;Thaumarchaeota
0.3591	1.752e-05	0.3591	1.752e-05	Archaea;TACK_group;Thaumarchaeota;Nitrosopumilales
0	0	1291	0.063	Archaea;Euryarchaeota
0	0	1286	0.06272	Archaea;Euryarchaeota;environmental_samples
1020	0.04974	1286	0.06272	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
263.4	0.01285	263.4	0.01285	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
0.9072	4.426e-05	0.9072	4.426e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_104_H03
1.679	8.194e-05	1.679	8.194e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_11_G05
3.837e-07	1.872e-11	3.837e-07	1.872e-11	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_178_D06
3.314e-07	1.617e-11	3.314e-07	1.617e-11	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_74_C08
5.608	0.0002736	5.608	0.0002736	Archaea;Euryarchaeota;Diaforarchaea_group_Thermoplasmata_Thermoplasmatales
2437	0.1189	2437	0.1189	DISTANT
2453	0.1197	5885	0.2871	Eukaryota
0.4315	2.105e-05	220.7	0.01077	Eukaryota;Ciliophora
123.6	0.006029	130.3	0.006356	Eukaryota;Ciliophora;Spirotrichea
0.02427	1.184e-06	0.02427	1.184e-06	Eukaryota;Ciliophora;Spirotrichea;Tintinnida
6.1	0.0002976	6.1	0.0002976	Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida
0.0003589	1.751e-08	0.0003589	1.751e-08	Eukaryota;Ciliophora;Spirotrichea;Euplotida
0.0003775	1.842e-08	0.0003775	1.842e-08	Eukaryota;Ciliophora;Spirotrichea;Urostylida
0.5868	2.863e-05	0.5868	2.863e-05	Eukaryota;Ciliophora;Spirotrichea;Stichotrichida
0	0	4.63e-05	2.259e-09	Eukaryota;Ciliophora;Spirotrichea;Pseudoamphisiellida
0	0	4.63e-05	2.259e-09	Eukaryota;Ciliophora;Spirotrichea;Pseudoamphisiellida;Pseudoamphisiella
0	0	4.63e-05	2.259e-09	Eukaryota;Ciliophora;Spirotrichea;Pseudoamphisiellida;Pseudoamphisiella;Pseudoamphisiella
4.63e-05	2.259e-09	4.63e-05	2.259e-09	Eukaryota;Ciliophora;Spirotrichea;Pseudoamphisiellida;Pseudoamphisiella;Pseudoamphisiella;Pseudoamphisiella_alveolata
0	0	9.379e-06	4.576e-10	Eukaryota;Ciliophora;Spirotrichea;Kiitrichida
0	0	9.379e-06	4.576e-10	Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae
0	0	9.379e-06	4.576e-10	Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha
9.379e-06	4.576e-10	9.379e-06	4.576e-10	Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha_marina
11.53	0.0005624	14.35	0.0007002	Eukaryota;Ciliophora;Oligohymenophorea
0.7736	3.774e-05	0.7736	3.774e-05	Eukaryota;Ciliophora;Oligohymenophorea;Sessilida
0	0	1.95	9.515e-05	Eukaryota;Ciliophora;Oligohymenophorea;Apostomatida
1.95	9.515e-05	1.95	9.515e-05	Eukaryota;Ciliophora;Oligohymenophorea;Apostomatida;Colliniidae
0.1008	4.916e-06	0.1008	4.916e-06	Eukaryota;Ciliophora;Oligohymenophorea;Peniculida
0	0	68.88	0.003361	Eukaryota;Ciliophora;Karyorelictea
0	0	68.88	0.003361	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida
0	0	68.88	0.003361	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida;Geleiidae
0	0	68.88	0.003361	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida;Geleiidae;Corlissina
68.88	0.003361	68.88	0.003361	Eukaryota;Ciliophora;Karyorelictea;Protoheterotrichida;Geleiidae;Corlissina;Corlissina_maricaensis
0	0	6.804	0.000332	Eukaryota;Ciliophora;Heterotrichea
6.804	0.000332	6.804	0.000332	Eukaryota;Ciliophora;Heterotrichea;Heterotrichida
0	0	275.9	0.01346	Eukaryota;Mucoromycota
238.4	0.01163	275.9	0.01346	Eukaryota;Mucoromycota;Glomeromycetes
10.58	0.0005163	10.58	0.0005163	Eukaryota;Mucoromycota;Glomeromycetes;Glomerales
10.35	0.0005049	10.35	0.0005049	Eukaryota;Mucoromycota;Glomeromycetes;Archaeosporales
0	0	10.21	0.0004981	Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales
0	0	10.21	0.0004981	Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae
10.21	0.0004981	10.21	0.0004981	Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus
6.355	0.00031	6.355	0.00031	Eukaryota;Mucoromycota;Glomeromycetes;Diversisporales
0	0	5.97e-06	2.913e-10	Eukaryota;Mucoromycota;Mortierellomycetes
0	0	5.97e-06	2.913e-10	Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales
0	0	5.97e-06	2.913e-10	Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae
5.97e-06	2.913e-10	5.97e-06	2.913e-10	Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella
0	0	1.825e-06	8.905e-11	Eukaryota;Mucoromycota;Mucoromycetes
1.825e-06	8.905e-11	1.825e-06	8.905e-11	Eukaryota;Mucoromycota;Mucoromycetes;Mucorales
0	0	0.7089	3.459e-05	Eukaryota;Zoopagomycota
0	0	0.7089	3.459e-05	Eukaryota;Zoopagomycota;Entomophthoromycetes
0	0	0.7089	3.459e-05	Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales
0	0	0.7089	3.459e-05	Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae
0.7089	3.459e-05	0.7089	3.459e-05	Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus
9.912	0.0004836	33.08	0.001614	Eukaryota;Ascomycota
0	0	2.377	0.000116	Eukaryota;Ascomycota;Leotiomycetes
2.377	0.000116	2.377	0.000116	Eukaryota;Ascomycota;Leotiomycetes;Helotiales
0	0	10.91	0.0005324	Eukaryota;Ascomycota;Lecanoromycetes
0	0	9.504	0.0004637	Eukaryota;Ascomycota;Lecanoromycetes;Caliciales
0	0	9.504	0.0004637	Eukaryota;Ascomycota;Lecanoromycetes;Caliciales;Physciaceae
9.504	0.0004637	9.504	0.0004637	Eukaryota;Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Heterodermia
0	0	1.409	6.875e-05	Eukaryota;Ascomycota;Lecanoromycetes;Pertusariales
0	0	1.409	6.875e-05	Eukaryota;Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae
1.409	6.875e-05	1.409	6.875e-05	Eukaryota;Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Pertusaria
0	0	3.917	0.0001911	Eukaryota;Ascomycota;Sordariomycetes
3.767	0.0001838	3.767	0.0001838	Eukaryota;Ascomycota;Sordariomycetes;Sordariales
0.1331	6.492e-06	0.1331	6.492e-06	Eukaryota;Ascomycota;Sordariomycetes;Xylariales
0.01772	8.648e-07	0.01772	8.648e-07	Eukaryota;Ascomycota;Sordariomycetes;Hypocreales
0	0	3.571	0.0001742	Eukaryota;Ascomycota;Dothideomycetes
0	0	3.571	0.0001742	Eukaryota;Ascomycota;Dothideomycetes;Venturiales
0	0	3.571	0.0001742	Eukaryota;Ascomycota;Dothideomycetes;Venturiales;Venturiaceae
0	0	3.571	0.0001742	Eukaryota;Ascomycota;Dothideomycetes;Venturiales;Venturiaceae;Venturia
3.571	0.0001742	3.571	0.0001742	Eukaryota;Ascomycota;Dothideomycetes;Venturiales;Venturiaceae;Venturia;Venturia_inaequalis
0	0	2.224	0.0001085	Eukaryota;Ascomycota;Pezizomycetes
2.224	0.0001085	2.224	0.0001085	Eukaryota;Ascomycota;Pezizomycetes;Pezizales
0	0	0.03634	1.773e-06	Eukaryota;Ascomycota;Taphrinomycetes
0	0	0.03634	1.773e-06	Eukaryota;Ascomycota;Taphrinomycetes;Taphrinales
0	0	0.03634	1.773e-06	Eukaryota;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae
0.03634	1.773e-06	0.03634	1.773e-06	Eukaryota;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina
0	0	0.1309	6.386e-06	Eukaryota;Ascomycota;Orbiliomycetes
0	0	0.1309	6.386e-06	Eukaryota;Ascomycota;Orbiliomycetes;Orbiliales
0.1309	6.386e-06	0.1309	6.386e-06	Eukaryota;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae
328.9	0.01605	640	0.03122	Eukaryota;Chlorophyta
0	0	11.39	0.0005557	Eukaryota;Chlorophyta;Ulvophyceae
8.217	0.0004009	8.217	0.0004009	Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales
0	0	2.253	0.0001099	Eukaryota;Chlorophyta;Ulvophyceae;Ulvales
0	0	2.253	0.0001099	Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae
2.253	0.0001099	2.253	0.0001099	Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva
