LWR	fract	aLWR	afract	taxopath
2056	0.06358	7370	0.228	Eukaryota
20.83	0.0006444	275.9	0.008534	Eukaryota;Chordata
6.616	0.0002046	11.38	0.0003521	Eukaryota;Chordata;Actinopteri
0	0	0.1798	5.562e-06	Eukaryota;Chordata;Actinopteri;Batrachoidiformes
0.1798	5.562e-06	0.1798	5.562e-06	Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae
0	0	1.253	3.875e-05	Eukaryota;Chordata;Actinopteri;Polycentridae
1.253	3.875e-05	1.253	3.875e-05	Eukaryota;Chordata;Actinopteri;Polycentridae;Polycentridae
0.02377	7.352e-07	0.02377	7.352e-07	Eukaryota;Chordata;Actinopteri;Esociformes
0	0	0.01711	5.291e-07	Eukaryota;Chordata;Actinopteri;Congrogadidae
0.01711	5.291e-07	0.01711	5.291e-07	Eukaryota;Chordata;Actinopteri;Congrogadidae;Congrogadidae
0	0	0.0008617	2.665e-08	Eukaryota;Chordata;Actinopteri;Semionotiformes
0.0008617	2.665e-08	0.0008617	2.665e-08	Eukaryota;Chordata;Actinopteri;Semionotiformes;Lepisosteidae
0	0	1.742e-05	5.388e-10	Eukaryota;Chordata;Actinopteri;Pomacanthidae
1.742e-05	5.388e-10	1.742e-05	5.388e-10	Eukaryota;Chordata;Actinopteri;Pomacanthidae;Pomacanthidae
0.005005	1.548e-07	0.005005	1.548e-07	Eukaryota;Chordata;Actinopteri;Uranoscopiformes
0	0	0.296	9.155e-06	Eukaryota;Chordata;Actinopteri;Embiotocidae
0.296	9.155e-06	0.296	9.155e-06	Eukaryota;Chordata;Actinopteri;Embiotocidae;Embiotocidae
0	0	0.9691	2.997e-05	Eukaryota;Chordata;Actinopteri;Lepidogalaxiiformes
0	0	0.9691	2.997e-05	Eukaryota;Chordata;Actinopteri;Lepidogalaxiiformes;Lepidogalaxias
0	0	0.9691	2.997e-05	Eukaryota;Chordata;Actinopteri;Lepidogalaxiiformes;Lepidogalaxias;Lepidogalaxias
0.9691	2.997e-05	0.9691	2.997e-05	Eukaryota;Chordata;Actinopteri;Lepidogalaxiiformes;Lepidogalaxias;Lepidogalaxias;Lepidogalaxias_salamandroides
1.364e-05	4.219e-10	1.364e-05	4.219e-10	Eukaryota;Chordata;Actinopteri;Myctophiformes
5.312e-06	1.643e-10	5.312e-06	1.643e-10	Eukaryota;Chordata;Actinopteri;Aulopiformes
0.05095	1.576e-06	0.05095	1.576e-06	Eukaryota;Chordata;Actinopteri;Kurtiformes
0	0	0.04021	1.244e-06	Eukaryota;Chordata;Actinopteri;Dinopercidae
0	0	0.04021	1.244e-06	Eukaryota;Chordata;Actinopteri;Dinopercidae;Dinopercidae
0	0	0.04021	1.244e-06	Eukaryota;Chordata;Actinopteri;Dinopercidae;Dinopercidae;Dinoperca
0.04021	1.244e-06	0.04021	1.244e-06	Eukaryota;Chordata;Actinopteri;Dinopercidae;Dinopercidae;Dinoperca;Dinoperca_petersi
0	0	0.006106	1.889e-07	Eukaryota;Chordata;Actinopteri;Siganidae
0	0	0.006106	1.889e-07	Eukaryota;Chordata;Actinopteri;Siganidae;Siganidae
0.006106	1.889e-07	0.006106	1.889e-07	Eukaryota;Chordata;Actinopteri;Siganidae;Siganidae;Siganus
0.02148	6.644e-07	0.02148	6.644e-07	Eukaryota;Chordata;Actinopteri;Clupeiformes
0.311	9.618e-06	0.311	9.618e-06	Eukaryota;Chordata;Actinopteri;Argentiniformes
0	0	0.8993	2.782e-05	Eukaryota;Chordata;Actinopteri;Centropomidae
0.8993	2.782e-05	0.8993	2.782e-05	Eukaryota;Chordata;Actinopteri;Centropomidae;Centropomidae
0	0	0.01487	4.6e-07	Eukaryota;Chordata;Actinopteri;Leptobramidae
0	0	0.01487	4.6e-07	Eukaryota;Chordata;Actinopteri;Leptobramidae;Leptobramidae
