initial_label_from_sequencer	ena_format_label

C10	ERR0000001
C11	ERR0000002
C3	ERR0000003
C4	ERR0000004
C5	ERR0000005
C6	ERR0000006
C7	ERR0000007
C8	ERR0000008
C9	ERR0000009
CW10	ERR0000010
CW11	ERR0000011
CW3	ERR0000012
CW4	ERR0000013
CW5	ERR0000014
CW6	ERR0000015
CW7	ERR0000016
CW8	ERR0000017
CW9	ERR0000018
CbC2	ERR0000019
CbCW2	ERR0000020
CbH12	ERR0000021
CbH2	ERR0000022
CbM2	ERR0000023
CbP2	ERR0000024
CbPD2	ERR0000025
EbPool	ERR0000026
FbC1	ERR0000027
FbCW1A	ERR0000028
FbM1	ERR0000029
FbPD1	ERR0000030
FbPool	ERR0000031
H10	ERR0000032
H11	ERR0000033
H13	ERR0000034
H14	ERR0000035
H15	ERR0000036
H3	ERR0000037
H4	ERR0000038
H5	ERR0000039
H6	ERR0000040
H7	ERR0000041
H8	ERR0000042
H9	ERR0000043
M10	ERR0000044
M11	ERR0000045
M3	ERR0000046
M4	ERR0000047
M5	ERR0000048
M6	ERR0000049
M7	ERR0000050
M8	ERR0000051
M9	ERR0000052
MC1	ERR0000053
MC2	ERR0000054
NTC	ERR0000055
P10	ERR0000056
P11	ERR0000057
P3	ERR0000058
P4	ERR0000059
P5	ERR0000060
P6	ERR0000061
P7	ERR0000062
P8	ERR0000063
P9	ERR0000064
PD10	ERR0000065
PD11	ERR0000066
PD3	ERR0000067
PD4	ERR0000068
PD5	ERR0000069
PD6	ERR0000070
PD7	ERR0000071
PD8	ERR0000072
PD9	ERR0000073
