name	LWR	fract	aLWR	afract	taxopath
Query389	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query388	0.7284	0.7284	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query89	0.5885	0.5885	0.5885	0.5885	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query445	0.585	0.585	0.8383	0.8383	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query334	0.7204	0.7204	0.8623	0.8623	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query381	0.6472	0.6472	0.9627	0.9627	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query358	0.6552	0.6552	0.6552	0.6552	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query446	0.8026	0.8026	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query312	0.5701	0.5701	0.5701	0.5701	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query559	0.5576	0.5576	0.5576	0.5576	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query532	0.9102	0.9102	0.9102	0.9102	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query624	0.9305	0.9305	0.9999	0.9999	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query91	0.05251	0.9986	0.05251	0.9986	DISTANT
Query524	0.9219	0.9222	0.9219	0.9222	Bacteria;Proteobacteria;Alphaproteobacteria
Query373	0.9171	0.9418	0.9315	0.9566	Bacteria
Query303	0.9067	0.9819	0.9067	0.9819	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query318	0.9048	0.9048	0.9048	0.9048	Eukaryota;Cnidaria;Myxozoa
Query397	0.644	0.6496	0.9407	0.9488	Bacteria;Proteobacteria;Alphaproteobacteria
Query288	0.5116	0.5171	0.9489	0.9591	Bacteria;Proteobacteria;Alphaproteobacteria
Query593	0.6708	0.7749	0.8495	0.9813	Bacteria;Proteobacteria;Alphaproteobacteria
Query283	0.6917	0.8955	0.7324	0.9482	Bacteria;Proteobacteria;Alphaproteobacteria
Query501	0.4837	0.484	0.4837	0.484	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_incertae_sedis
Query517	0.956	0.956	0.9817	0.9817	Bacteria;Proteobacteria;Alphaproteobacteria
Query535	0.9319	0.9319	0.9786	0.9786	Bacteria;Proteobacteria;Alphaproteobacteria
Query458	0.6523	0.6523	0.9984	0.9984	Bacteria;Proteobacteria;Alphaproteobacteria
Query307	0.9513	0.9519	0.9562	0.9568	Bacteria;Proteobacteria;Alphaproteobacteria
Query406	0.7603	0.7603	0.9888	0.9888	Bacteria;Proteobacteria;Alphaproteobacteria
Query604	0.08547	0.3358	0.2188	0.8598	Bacteria;Proteobacteria;Alphaproteobacteria
Query652	0.9805	0.9805	0.9805	0.9805	Bacteria;Proteobacteria;Alphaproteobacteria
Query404	0.9422	0.9594	0.9615	0.9791	Bacteria;Proteobacteria;Alphaproteobacteria
Query573	0.5809	0.6254	0.671	0.7224	Bacteria;Proteobacteria;Alphaproteobacteria
Query279	0.3043	0.614	0.3043	0.614	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
Query654	0.7051	0.785	0.7051	0.785	Bacteria;Proteobacteria;Alphaproteobacteria
Query296	0.5038	0.7645	0.5383	0.8169	Bacteria;Proteobacteria;Alphaproteobacteria
Query26	0.7702	0.7824	0.9816	0.9971	Eukaryota
Query634	0.6245	0.6251	0.9448	0.9458	Bacteria;Proteobacteria;Alphaproteobacteria
Query541	0.629	0.629	0.9791	0.9791	Bacteria;Proteobacteria;Alphaproteobacteria
Query511	0.7353	0.7353	0.9889	0.9889	Bacteria;Proteobacteria;Alphaproteobacteria
Query263	0.7109	0.7182	0.9874	0.9976	Eukaryota
Query366	0.5208	0.5401	0.5208	0.5401	Eukaryota;Bacillariophyta;Mediophyceae
Query329	0.5313	0.5622	0.5313	0.5622	Eukaryota;Chordata;Actinopteri;Cyprinodontiformes
Query87	0.5282	0.5298	0.9728	0.9759	Eukaryota;Chordata;Actinopteri
Query130	0.8556	0.8582	0.9708	0.9738	Eukaryota;Chordata
Query198	0.668	0.7193	0.8592	0.9253	Eukaryota;Chordata;Actinopteri
Query289	0.5301	0.5301	0.9622	0.9622	Bacteria;Proteobacteria;Alphaproteobacteria
Query354	0.4994	0.4994	0.4994	0.4994	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query290	0.2331	0.5343	0.2331	0.5343	Bacteria;Proteobacteria
Query47	0.9193	0.9193	1	1	Eukaryota
Query314	0.663	0.677	0.663	0.677	DISTANT
Query636	0.5587	0.559	0.5587	0.559	DISTANT
Query417	0.3903	0.3903	0.3903	0.3903	DISTANT
Query232	0.6106	0.8749	0.6106	0.8749	Eukaryota;Streptophyta;Coleochaetophyceae;Coleochaetales
Query121	0.395	0.3964	0.395	0.3964	Eukaryota;Ciliophora;Heterotrichea;Heterotrichida
Query49	0.5052	0.5052	0.5052	0.5052	Eukaryota
Query507	0.6489	0.6536	0.8866	0.893	Eukaryota;Arthropoda
Query220	0.5909	0.7092	0.5909	0.7092	Eukaryota;Annelida;Polychaeta
Query655	0.4386	0.4499	0.4386	0.4499	Eukaryota;Annelida;Polychaeta
Query225	0.6099	0.6232	0.8008	0.8183	Eukaryota;Annelida;Clitellata
Query34	0.6339	0.9676	0.6339	0.9676	Eukaryota;Streptophyta;Haplomitriopsida;Treubiales;Treubiaceae;Treubia;Treubia_lacunosa
Query245	0.2842	0.5105	0.2842	0.5105	DISTANT
Query27	0.5883	0.5883	1	1	Eukaryota
Query14	0.8606	0.8606	0.9511	0.9511	Eukaryota
Query275	0.6489	0.6489	1	1	Eukaryota
Query490	0.6728	0.6728	1	1	Eukaryota
Query60	0.9829	1	0.9829	1	DISTANT
Query23	0.922	0.922	0.922	0.922	DISTANT
Query30	1	1	1	1	DISTANT
Query292	0.6584	0.659	0.8415	0.8421	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query15	0.5564	0.5664	0.5564	0.5664	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query620	0.8779	0.8779	0.8779	0.8779	DISTANT
Query350	1	1	1	1	DISTANT
Query317	0.9678	0.9678	0.9678	0.9678	DISTANT
Query436	0.8118	0.812	0.8118	0.812	DISTANT
Query337	0.7676	0.7688	0.7676	0.7688	DISTANT
Query261	0.9981	1	0.9981	1	DISTANT
Query407	0.418	0.6755	0.418	0.6755	Eukaryota;Streptophyta;Haplomitriopsida;Treubiales;Treubiaceae;Treubia;Treubia_lacunosa
Query271	0.7695	0.7695	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query200	0.6207	0.6221	0.9978	1	Eukaryota;Ctenophora
Query203	0.5681	0.5681	0.9802	0.9803	Eukaryota;Arthropoda
Query503	0.5407	0.5664	0.6665	0.6982	Eukaryota;Ascomycota;Eurotiomycetes
Query16	0.7779	0.7822	0.7779	0.7822	Eukaryota;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Sydowia;Sydowia_polyspora
Query221	0.7883	0.8066	0.9602	0.9825	Eukaryota;Ascomycota;Eurotiomycetes
Query204	0.9604	0.9685	0.9889	0.9972	Eukaryota;Ascomycota
Query254	0.9873	0.9925	0.9873	0.9925	Eukaryota;Ascomycota
Query242	0.509	0.5091	0.509	0.5091	DISTANT
Query118	0.8744	0.8755	0.8744	0.8755	DISTANT
Query661	0.9669	0.9762	0.9669	0.9762	Eukaryota;Dinophyceae;Dinophyceae
Query124	0.1415	1	0.1415	1	DISTANT
Query416	0.6392	0.6503	0.9822	0.9992	Bacteria;Proteobacteria;Alphaproteobacteria
Query611	0.6676	0.6676	1	1	Bacteria;Proteobacteria;Alphaproteobacteria
Query243	0.759	0.759	0.9947	0.9947	Bacteria;Proteobacteria;Alphaproteobacteria
Query67	0.7242	0.7242	0.9991	0.9991	Bacteria;Proteobacteria;Alphaproteobacteria
Query347	0.5	0.5	0.5	0.5	Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales
Query69	0.888	0.8897	0.998	0.9999	Eukaryota;Chlorophyta
Query591	0.2734	1	0.2734	1	Eukaryota;Chlorophyta;Trebouxiophyceae;Coccomyxa;Coccomyxa;Coccomyxa;Coccomyxa_subellipsoidea
Query410	0.6417	0.6418	0.9007	0.9008	Bacteria;Proteobacteria;Alphaproteobacteria
Query378	0.9331	0.9349	0.9331	0.9349	Bacteria;Proteobacteria;Alphaproteobacteria
Query477	0.8623	0.8623	0.8896	0.8896	Bacteria;Proteobacteria;Alphaproteobacteria
Query480	0.9164	0.9164	0.9559	0.9559	Bacteria;Proteobacteria;Alphaproteobacteria
Query643	0.5694	0.5694	0.9669	0.967	Bacteria;Proteobacteria;Alphaproteobacteria
Query577	0.3525	0.5874	0.5564	0.9273	Bacteria;Proteobacteria;Alphaproteobacteria
Query461	0.4284	0.5195	0.7902	0.9581	Bacteria;Proteobacteria;Alphaproteobacteria
Query415	0.9177	0.932	0.9564	0.9713	Bacteria;Proteobacteria;Alphaproteobacteria
Query293	0.514	0.514	0.514	0.514	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query190	0.7029	0.7029	0.9602	0.9602	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query653	0.945	0.945	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query423	0.5592	0.5592	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query361	0.5769	0.5769	0.5769	0.5769	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query77	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
