name	LWR	fract	aLWR	afract	taxopath
Query228	0.7493	0.7493	0.7493	0.7493	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1219	0.6096	0.6098	0.7019	0.7021	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query963	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query978	0.6247	0.6247	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query691	0.6161	0.6178	0.6161	0.6178	DISTANT
Query823	0.6924	0.6924	0.9826	0.9826	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query757	0.8172	0.8172	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query221	0.656	0.656	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1175	0.6619	0.6619	0.6619	0.6619	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query829	0.6017	0.6017	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query769	0.5194	0.5201	0.5987	0.5995	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query748	0.6667	0.6667	0.6667	0.6667	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query662	0.8424	0.8424	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query740	0.6072	0.6072	0.6072	0.6072	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query411	0.5796	0.5796	0.5796	0.5796	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query26	3.139e-06	1	3.139e-06	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query1120	0.04104	0.9999	0.04104	0.9999	DISTANT
Query1263	0.9177	0.9392	0.9374	0.9593	Bacteria;Proteobacteria;Alphaproteobacteria
Query795	0.6434	0.7559	0.6434	0.7559	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
Query961	0.04766	0.561	0.04766	0.561	DISTANT
Query351	0.9285	0.9285	0.9847	0.9847	Bacteria;Proteobacteria;Gammaproteobacteria
Query372	0.7968	0.7968	0.7968	0.7968	Eukaryota;Cnidaria;Myxozoa
Query1199	0.5824	0.5824	0.9448	0.9448	Bacteria;Proteobacteria;Alphaproteobacteria
Query293	0.2258	0.7257	0.2258	0.7257	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
Query208	0.693	0.6976	0.693	0.6976	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae
Query997	0.9409	0.942	0.966	0.9672	Bacteria;Proteobacteria;Alphaproteobacteria
Query576	0.1608	0.4614	0.3256	0.9341	Bacteria;Proteobacteria;Alphaproteobacteria
Query943	0.7655	0.7655	0.9909	0.9909	Bacteria;Proteobacteria;Alphaproteobacteria
Query268	0.6731	0.6731	0.9817	0.9817	Bacteria;Proteobacteria;Alphaproteobacteria
Query211	0.789	0.789	0.9672	0.9672	Bacteria;Proteobacteria;Alphaproteobacteria
Query217	0.5819	0.5819	0.5819	0.5819	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;SAR116_cluster_alpha_proteobacterium_HIMB100
Query213	0.6206	0.6226	0.9498	0.9528	Bacteria;Proteobacteria;Alphaproteobacteria
Query311	0.607	0.7103	0.7998	0.9359	Bacteria;Proteobacteria;Alphaproteobacteria
Query566	0.8658	0.8736	0.9443	0.9529	Bacteria;Proteobacteria;Alphaproteobacteria
