name	LWR	fract	aLWR	afract	taxopath
Query389	0	0	1	1	Archaea
Query389	0	0	1	1	Archaea;Euryarchaeota
Query389	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query389	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query389	1.959e-06	1.959e-06	1.959e-06	1.959e-06	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query388	0	0	1	1	Archaea
Query388	0	0	1	1	Archaea;Euryarchaeota
Query388	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query388	0.7284	0.7284	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query388	0.2716	0.2716	0.2716	0.2716	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query89	0	0	1	1	Archaea
Query89	0	0	1	1	Archaea;Euryarchaeota
Query89	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query89	0.4115	0.4115	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query89	0.5885	0.5885	0.5885	0.5885	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query445	0	0	0.8383	0.8383	Archaea
Query445	0	0	0.8383	0.8383	Archaea;Euryarchaeota
Query445	0	0	0.8383	0.8383	Archaea;Euryarchaeota;environmental_samples
Query445	0.585	0.585	0.8383	0.8383	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query445	0.2533	0.2533	0.2533	0.2533	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query445	0.1617	0.1617	0.1617	0.1617	DISTANT
Query334	0	0	0.8623	0.8623	Archaea
Query334	0	0	0.8623	0.8623	Archaea;Euryarchaeota
Query334	0	0	0.8623	0.8623	Archaea;Euryarchaeota;environmental_samples
Query334	0.7204	0.7204	0.8623	0.8623	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query334	0.1419	0.1419	0.1419	0.1419	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query334	0.1377	0.1377	0.1377	0.1377	DISTANT
Query381	0	0	0.9627	0.9627	Archaea
Query381	0	0	0.9627	0.9627	Archaea;Euryarchaeota
Query381	0	0	0.9627	0.9627	Archaea;Euryarchaeota;environmental_samples
Query381	0.6472	0.6472	0.9627	0.9627	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query381	0.3154	0.3154	0.3154	0.3154	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query381	0.03734	0.03734	0.03734	0.03734	DISTANT
Query358	0	0	0.6552	0.6552	Archaea
Query358	0	0	0.6552	0.6552	Archaea;Euryarchaeota
Query358	0	0	0.6552	0.6552	Archaea;Euryarchaeota;environmental_samples
