LWR	fract	aLWR	afract	taxopath
25.62	0.04443	231.4	0.4013	Eukaryota
2.353	0.00408	19.23	0.03335	Eukaryota;Arthropoda
1.539	0.002668	3.764	0.006526	Eukaryota;Arthropoda;Insecta
1.01	0.00175	1.01	0.00175	Eukaryota;Arthropoda;Insecta;Diptera
1.216	0.002108	1.216	0.002108	Eukaryota;Arthropoda;Insecta;Blattodea
0	0	0.01403	2.433e-05	Eukaryota;Arthropoda;Merostomata
0	0	0.01403	2.433e-05	Eukaryota;Arthropoda;Merostomata;Xiphosura
0.01403	2.433e-05	0.01403	2.433e-05	Eukaryota;Arthropoda;Merostomata;Xiphosura;Limulidae
0	0	0.02956	5.125e-05	Eukaryota;Arthropoda;Diplura
0.02956	5.125e-05	0.02956	5.125e-05	Eukaryota;Arthropoda;Diplura;Diplura
0	0	0.3361	0.0005828	Eukaryota;Arthropoda;Arachnida
0	0	0.006103	1.058e-05	Eukaryota;Arthropoda;Arachnida;Uropygi
0.006103	1.058e-05	0.006103	1.058e-05	Eukaryota;Arthropoda;Arachnida;Uropygi;Thelyphonidae
0	0	0.33	0.0005722	Eukaryota;Arthropoda;Arachnida;Opilioacarida
0	0	0.33	0.0005722	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
0	0	0.33	0.0005722	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
0.33	0.0005722	0.33	0.0005722	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
5.376	0.009321	7.688	0.01333	Eukaryota;Arthropoda;Hexanauplia
0.2684	0.0004654	0.2684	0.0004654	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
1.317	0.002283	1.317	0.002283	Eukaryota;Arthropoda;Hexanauplia;Calanoida
0.7268	0.00126	0.7268	0.00126	Eukaryota;Arthropoda;Hexanauplia;Sessilia
1.324	0.002295	4.774	0.008278	Eukaryota;Arthropoda;Collembola
0	0	0.7492	0.001299	Eukaryota;Arthropoda;Collembola;Neelipleona
0.7492	0.001299	0.7492	0.001299	Eukaryota;Arthropoda;Collembola;Neelipleona;Neelidae
2.194	0.003804	2.194	0.003804	Eukaryota;Arthropoda;Collembola;Entomobryomorpha
0.5074	0.0008799	0.5074	0.0008799	Eukaryota;Arthropoda;Collembola;Poduromorpha
0	0	0.2735	0.0004743	Eukaryota;Arthropoda;Diplopoda
0	0	0.2735	0.0004743	Eukaryota;Arthropoda;Diplopoda;Siphonophorida
0.2735	0.0004743	0.2735	0.0004743	Eukaryota;Arthropoda;Diplopoda;Siphonophorida;Siphonophoridae
3.115	0.005401	21.01	0.03644	Eukaryota;Chordata
0	0	0.01711	2.966e-05	Eukaryota;Chordata;Leptocardii
0	0	0.01711	2.966e-05	Eukaryota;Chordata;Leptocardii;Amphioxiformes
0.01711	2.966e-05	0.01711	2.966e-05	Eukaryota;Chordata;Leptocardii;Amphioxiformes;Branchiostomidae
4.508	0.007817	13.6	0.02359	Eukaryota;Chordata;Actinopteri
0	0	0.6641	0.001152	Eukaryota;Chordata;Actinopteri;Gerreiformes
0.6641	0.001152	0.6641	0.001152	Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae
0.009808	1.701e-05	0.009808	1.701e-05	Eukaryota;Chordata;Actinopteri;Atheriniformes
0.0123	2.132e-05	0.0123	2.132e-05	Eukaryota;Chordata;Actinopteri;Lutjaniformes
2.859	0.004957	2.859	0.004957	Eukaryota;Chordata;Actinopteri;Cyprinodontiformes
0	0	0.006855	1.189e-05	Eukaryota;Chordata;Actinopteri;Pseudochromidae
0.006855	1.189e-05	0.006855	1.189e-05	Eukaryota;Chordata;Actinopteri;Pseudochromidae;Pseudochromidae
0	0	0.9975	0.00173	Eukaryota;Chordata;Actinopteri;Pomacentridae
0.9975	0.00173	0.9975	0.00173	Eukaryota;Chordata;Actinopteri;Pomacentridae;Pomacentridae
1.263	0.002189	1.263	0.002189	Eukaryota;Chordata;Actinopteri;Clupeiformes
0.05058	8.77e-05	0.05058	8.77e-05	Eukaryota;Chordata;Actinopteri;Syngnathiformes
0.004065	7.048e-06	0.004065	7.048e-06	Eukaryota;Chordata;Actinopteri;Gadiformes
0	0	0.001311	2.274e-06	Eukaryota;Chordata;Actinopteri;Stylephoriformes
0	0	0.001311	2.274e-06	Eukaryota;Chordata;Actinopteri;Stylephoriformes;Stylephoridae
0	0	0.001311	2.274e-06	Eukaryota;Chordata;Actinopteri;Stylephoriformes;Stylephoridae;Stylephorus
0.001311	2.274e-06	0.001311	2.274e-06	Eukaryota;Chordata;Actinopteri;Stylephoriformes;Stylephoridae;Stylephorus;Stylephorus_chordatus
1.646	0.002854	1.646	0.002854	Eukaryota;Chordata;Actinopteri;Cichliformes
0.8829	0.001531	0.8829	0.001531	Eukaryota;Chordata;Actinopteri;Pempheriformes
0.6982	0.001211	0.6982	0.001211	Eukaryota;Chordata;Actinopteri;Carangiformes
0.0008127	1.409e-06	1.985	0.003441	Eukaryota;Chordata;Mammalia
1.984	0.00344	1.984	0.00344	Eukaryota;Chordata;Mammalia;Artiodactyla
0	0	0.9995	0.001733	Eukaryota;Chordata;Testudines
0.9995	0.001733	0.9995	0.001733	Eukaryota;Chordata;Testudines;Testudines
0	0	0.3347	0.0005804	Eukaryota;Chordata;Thaliacea
0	0	0.3347	0.0005804	Eukaryota;Chordata;Thaliacea;Pyrosomata
0	0	0.3347	0.0005804	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae
0	0	0.3347	0.0005804	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma
0.3347	0.0005804	0.3347	0.0005804	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
0	0	0.752	0.001304	Eukaryota;Chordata;Amphibia
0.752	0.001304	0.752	0.001304	Eukaryota;Chordata;Amphibia;Anura
0	0	0.208	0.0003607	Eukaryota;Chordata;Myxini
0	0	0.208	0.0003607	Eukaryota;Chordata;Myxini;Myxiniformes
0.208	0.0003607	0.208	0.0003607	Eukaryota;Chordata;Myxini;Myxiniformes;Myxinidae
1.617	0.002803	39.32	0.06818	Eukaryota;Annelida
19.67	0.0341	23.87	0.0414	Eukaryota;Annelida;Clitellata
3.246	0.005629	3.246	0.005629	Eukaryota;Annelida;Clitellata;Haplotaxida
0	0	0.00508	8.808e-06	Eukaryota;Annelida;Clitellata;Capilloventridae
0	0	0.00508	8.808e-06	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae
0	0	0.00508	8.808e-06	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer
0.00508	8.808e-06	0.00508	8.808e-06	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer;Capilloventer_australis
0	0	0.9385	0.001627	Eukaryota;Annelida;Clitellata;Enchytraeida
0.9385	0.001627	0.9385	0.001627	Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae
0.01506	2.612e-05	0.01506	2.612e-05	Eukaryota;Annelida;Clitellata;Lumbriculida
12.7	0.02202	13.83	0.02398	Eukaryota;Annelida;Polychaeta
0	0	0.007118	1.234e-05	Eukaryota;Annelida;Polychaeta;Protodrilidae
0.007118	1.234e-05	0.007118	1.234e-05	Eukaryota;Annelida;Polychaeta;Protodrilidae;Protodrilidae
0.00699	1.212e-05	0.00699	1.212e-05	Eukaryota;Annelida;Polychaeta;Echiuroidea
0	0	0.001088	1.887e-06	Eukaryota;Annelida;Polychaeta;Xenopneusta
0	0	0.001088	1.887e-06	Eukaryota;Annelida;Polychaeta;Xenopneusta;Urechidae
0.001088	1.887e-06	0.001088	1.887e-06	Eukaryota;Annelida;Polychaeta;Xenopneusta;Urechidae;Urechis
0	0	0.01529	2.651e-05	Eukaryota;Annelida;Polychaeta;Nerillidae
