name	LWR	fract	aLWR	afract	taxopath
Query1061	0	0	0.9747	0.9747	Eukaryota
Query1061	0.6704	0.6704	0.9747	0.9747	Eukaryota;Arthropoda
Query1061	0	0	0.2078	0.2078	Eukaryota;Arthropoda;Insecta
Query1061	0.2078	0.2078	0.2078	0.2078	Eukaryota;Arthropoda;Insecta;Embioptera
Query1061	0.09641	0.09641	0.09641	0.09641	Eukaryota;Arthropoda;Remipedia
Query1061	0.02533	0.02533	0.02533	0.02533	DISTANT
Query486	0.9394	0.9557	0.9404	0.9567	Eukaryota
Query486	1.447e-05	1.472e-05	0.0009786	0.0009955	Eukaryota;Arthropoda
Query486	0	0	1.054e-05	1.073e-05	Eukaryota;Arthropoda;Insecta
Query486	0	0	1.054e-05	1.073e-05	Eukaryota;Arthropoda;Insecta;Zoraptera
Query486	1.054e-05	1.073e-05	1.054e-05	1.073e-05	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
Query486	0	0	0.0009536	0.0009701	Eukaryota;Arthropoda;Hexanauplia
Query486	0	0	0.0009536	0.0009701	Eukaryota;Arthropoda;Hexanauplia;Platycopioida
Query486	0	0	0.0009536	0.0009701	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae
Query486	0	0	0.0009536	0.0009701	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia
Query486	0.0009536	0.0009701	0.0009536	0.0009701	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia;Nanocopia_minuta
Query486	0.04258	0.04331	0.04258	0.04331	DISTANT
Query541	0.02121	0.02167	0.9431	0.9639	Eukaryota
Query541	0.02123	0.0217	0.9219	0.9422	Eukaryota;Arthropoda
Query541	0.6092	0.6227	0.8855	0.9051	Eukaryota;Arthropoda;Malacostraca
Query541	0.179	0.1829	0.179	0.1829	Eukaryota;Arthropoda;Malacostraca;Stomatopoda
Query541	0.08851	0.09047	0.08851	0.09047	Eukaryota;Arthropoda;Malacostraca;Euphausiacea
Query541	0.008794	0.008988	0.008794	0.008988	Eukaryota;Arthropoda;Malacostraca;Decapoda
Query541	0	0	0.01512	0.01545	Eukaryota;Arthropoda;Insecta
Query541	0.01512	0.01545	0.01512	0.01545	Eukaryota;Arthropoda;Insecta;Ephemeroptera
Query541	0.03531	0.03609	0.03531	0.03609	DISTANT
Query681	0.007318	0.007583	0.9324	0.9662	Eukaryota
Query681	0.3632	0.3763	0.9251	0.9586	Eukaryota;Annelida
Query681	0.3059	0.317	0.5123	0.5309	Eukaryota;Annelida;Polychaeta
Query681	0.1281	0.1328	0.1281	0.1328	Eukaryota;Annelida;Polychaeta;Spionida
Query681	0	0	0.02711	0.02809	Eukaryota;Annelida;Polychaeta;Nerillidae
Query681	0.02711	0.02809	0.02711	0.02809	Eukaryota;Annelida;Polychaeta;Nerillidae;Nerillidae
Query681	0.05119	0.05304	0.05119	0.05304	Eukaryota;Annelida;Polychaeta;Phyllodocida
Query681	0.04959	0.05139	0.04959	0.05139	Eukaryota;Annelida;Clitellata
Query681	0.03262	0.0338	0.03262	0.0338	DISTANT
Query496	0	0	0.9731	0.9731	Eukaryota
Query496	0.4561	0.4561	0.9731	0.9731	Eukaryota;Annelida
Query496	0.1025	0.1025	0.4896	0.4896	Eukaryota;Annelida;Polychaeta
Query496	0.192	0.192	0.192	0.192	Eukaryota;Annelida;Polychaeta;Spionida
Query496	0.1805	0.1805	0.1805	0.1805	Eukaryota;Annelida;Polychaeta;Terebellida
Query496	0	0	0.0147	0.0147	Eukaryota;Annelida;Polychaeta;Saccocirridae
Query496	0.0147	0.0147	0.0147	0.0147	Eukaryota;Annelida;Polychaeta;Saccocirridae;Saccocirridae
Query496	0.02744	0.02744	0.02744	0.02744	Eukaryota;Annelida;Clitellata
Query496	0.0269	0.0269	0.0269	0.0269	DISTANT
Query1211	0	0	0.9649	0.9655	Eukaryota
Query1211	0.5842	0.5846	0.9649	0.9655	Eukaryota;Annelida
Query1211	0	0	0.2855	0.2857	Eukaryota;Annelida;Polychaeta
Query1211	0.2348	0.2349	0.2348	0.2349	Eukaryota;Annelida;Polychaeta;Phyllodocida
Query1211	0.05078	0.05081	0.05078	0.05081	Eukaryota;Annelida;Polychaeta;Capitellida
Query1211	0.06785	0.0679	0.09509	0.09515	Eukaryota;Annelida;Clitellata
Query1211	0	0	0.02723	0.02725	Eukaryota;Annelida;Clitellata;Capilloventridae
Query1211	0	0	0.02723	0.02725	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae
Query1211	0	0	0.02723	0.02725	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer
Query1211	0.02723	0.02725	0.02723	0.02725	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer;Capilloventer_australis
Query1211	0.03446	0.03449	0.03446	0.03449	DISTANT
Query479	0	0	0.9472	0.9623	Eukaryota
Query479	0.2394	0.2432	0.8669	0.8807	Eukaryota;Annelida
Query479	0.07647	0.07769	0.6275	0.6375	Eukaryota;Annelida;Polychaeta
Query479	0.551	0.5598	0.551	0.5598	Eukaryota;Annelida;Polychaeta;Spionida
Query479	0	0	0.08033	0.0816	Eukaryota;Mollusca
Query479	0.06016	0.06112	0.08033	0.0816	Eukaryota;Mollusca;Cephalopoda
Query479	0	0	0.02016	0.02048	Eukaryota;Mollusca;Cephalopoda;Spirulida
Query479	0	0	0.02016	0.02048	Eukaryota;Mollusca;Cephalopoda;Spirulida;Spirulidae
Query479	0	0	0.02016	0.02048	Eukaryota;Mollusca;Cephalopoda;Spirulida;Spirulidae;Spirula
Query479	0.02016	0.02048	0.02016	0.02048	Eukaryota;Mollusca;Cephalopoda;Spirulida;Spirulidae;Spirula;Spirula_spirula
Query479	0.03712	0.03771	0.03712	0.03771	DISTANT
Query1014	0.05181	0.05261	0.9808	0.996	Eukaryota
Query1014	0	0	0.929	0.9434	Eukaryota;Mollusca
