LWR	fract	aLWR	afract	taxopath
53.31	0.0442	415	0.3441	Eukaryota
4.034	0.003345	58.19	0.04825	Eukaryota;Arthropoda
0.9729	0.0008066	1.223	0.001014	Eukaryota;Arthropoda;Insecta
0.2078	0.0001723	0.2078	0.0001723	Eukaryota;Arthropoda;Insecta;Embioptera
0	0	2.109e-05	1.748e-08	Eukaryota;Arthropoda;Insecta;Zoraptera
2.109e-05	1.748e-08	2.109e-05	1.748e-08	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
0.01512	1.254e-05	0.01512	1.254e-05	Eukaryota;Arthropoda;Insecta;Ephemeroptera
0.02681	2.223e-05	0.02681	2.223e-05	Eukaryota;Arthropoda;Insecta;Phthiraptera
1.89e-05	1.567e-08	1.89e-05	1.567e-08	Eukaryota;Arthropoda;Insecta;Mantophasmatodea
1.64e-05	1.36e-08	1.64e-05	1.36e-08	Eukaryota;Arthropoda;Insecta;Phasmatodea
0.9962	0.000826	0.9962	0.000826	Eukaryota;Arthropoda;Remipedia
36.15	0.02997	47.2	0.03913	Eukaryota;Arthropoda;Hexanauplia
0	0	0.001907	1.581e-06	Eukaryota;Arthropoda;Hexanauplia;Platycopioida
0	0	0.001907	1.581e-06	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae
0	0	0.001907	1.581e-06	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia
0.001907	1.581e-06	0.001907	1.581e-06	Eukaryota;Arthropoda;Hexanauplia;Platycopioida;Platycopiidae;Nanocopia;Nanocopia_minuta
1.318	0.001093	1.318	0.001093	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
9.62	0.007976	9.62	0.007976	Eukaryota;Arthropoda;Hexanauplia;Calanoida
0	0	0.08855	7.342e-05	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida
0.08855	7.342e-05	0.08855	7.342e-05	Eukaryota;Arthropoda;Hexanauplia;Mormonilloida;Mormonillidae
0.005726	4.748e-06	0.005726	4.748e-06	Eukaryota;Arthropoda;Hexanauplia;Siphonostomatoida
0.01246	1.033e-05	0.01246	1.033e-05	Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida
1.516	0.001257	3.78	0.003134	Eukaryota;Arthropoda;Malacostraca
0.179	0.0001484	0.179	0.0001484	Eukaryota;Arthropoda;Malacostraca;Stomatopoda
0.08851	7.339e-05	0.08851	7.339e-05	Eukaryota;Arthropoda;Malacostraca;Euphausiacea
1.995	0.001654	1.995	0.001654	Eukaryota;Arthropoda;Malacostraca;Decapoda
0.001954	1.62e-06	0.001954	1.62e-06	Eukaryota;Arthropoda;Malacostraca;Cumacea
0	0	0.5859	0.0004858	Eukaryota;Arthropoda;Ichthyostraca
0	0	0.5859	0.0004858	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	0.5859	0.0004858	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
0.5859	0.0004858	0.5859	0.0004858	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
0	0	0.1708	0.0001416	Eukaryota;Arthropoda;Arachnida
0	0	0.02148	1.781e-05	Eukaryota;Arthropoda;Arachnida;Opilioacarida
0	0	0.02148	1.781e-05	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae
0	0	0.02148	1.781e-05	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus
0.02148	1.781e-05	0.02148	1.781e-05	Eukaryota;Arthropoda;Arachnida;Opilioacarida;Opilioacaridae;Neocarus;Neocarus_bajacalifornicus
0.1493	0.0001238	0.1493	0.0001238	Eukaryota;Arthropoda;Arachnida;Pseudoscorpiones
0	0	0.2047	0.0001698	Eukaryota;Arthropoda;Diplopoda
0	0	0.2047	0.0001698	Eukaryota;Arthropoda;Diplopoda;Polyzoniida
0.2047	0.0001698	0.2047	0.0001698	Eukaryota;Arthropoda;Diplopoda;Polyzoniida;Polyzoniidae
5.826	0.004831	32.67	0.02709	Eukaryota;Annelida
16.08	0.01334	21.85	0.01811	Eukaryota;Annelida;Polychaeta
1.563	0.001296	1.563	0.001296	Eukaryota;Annelida;Polychaeta;Spionida
0	0	0.5233	0.0004339	Eukaryota;Annelida;Polychaeta;Nerillidae
0.5233	0.0004339	0.5233	0.0004339	Eukaryota;Annelida;Polychaeta;Nerillidae;Nerillidae
0.286	0.0002371	0.286	0.0002371	Eukaryota;Annelida;Polychaeta;Phyllodocida
1.136	0.0009419	1.136	0.0009419	Eukaryota;Annelida;Polychaeta;Terebellida
0	0	0.278	0.0002305	Eukaryota;Annelida;Polychaeta;Saccocirridae
0.278	0.0002305	0.278	0.0002305	Eukaryota;Annelida;Polychaeta;Saccocirridae;Saccocirridae
1.013	0.0008403	1.013	0.0008403	Eukaryota;Annelida;Polychaeta;Capitellida
0.05023	4.164e-05	0.05023	4.164e-05	Eukaryota;Annelida;Polychaeta;Eunicida
0	0	0.0859	7.122e-05	Eukaryota;Annelida;Polychaeta;Protodrilidae
0.0859	7.122e-05	0.0859	7.122e-05	Eukaryota;Annelida;Polychaeta;Protodrilidae;Protodrilidae
0	0	0.06687	5.544e-05	Eukaryota;Annelida;Polychaeta;Polygordiidae
0	0	0.06687	5.544e-05	Eukaryota;Annelida;Polychaeta;Polygordiidae;Polygordiidae
0.06687	5.544e-05	0.06687	5.544e-05	Eukaryota;Annelida;Polychaeta;Polygordiidae;Polygordiidae;Polygordius
0	0	0.007732	6.411e-06	Eukaryota;Annelida;Polychaeta;Psammodrilidae
0	0	0.007732	6.411e-06	Eukaryota;Annelida;Polychaeta;Psammodrilidae;Psammodrilidae
0.007732	6.411e-06	0.007732	6.411e-06	Eukaryota;Annelida;Polychaeta;Psammodrilidae;Psammodrilidae;Psammodrilus
0	0	0.4538	0.0003762	Eukaryota;Annelida;Polychaeta;Paraonidae
0.4538	0.0003762	0.4538	0.0003762	Eukaryota;Annelida;Polychaeta;Paraonidae;Paraonidae
0	0	7.476e-07	6.199e-10	Eukaryota;Annelida;Polychaeta;Potamodrilidae
0	0	7.476e-07	6.199e-10	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus
0	0	7.476e-07	6.199e-10	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus;Potamodrilus
7.476e-07	6.199e-10	7.476e-07	6.199e-10	Eukaryota;Annelida;Polychaeta;Potamodrilidae;Potamodrilus;Potamodrilus;Potamodrilus_fluviatilis
0	0	0.05142	4.263e-05	Eukaryota;Annelida;Polychaeta;Opheliidae
0.05142	4.263e-05	0.05142	4.263e-05	Eukaryota;Annelida;Polychaeta;Opheliidae;Opheliidae
0	0	0.1342	0.0001112	Eukaryota;Annelida;Polychaeta;Flabelligerida
0.1342	0.0001112	0.1342	0.0001112	Eukaryota;Annelida;Polychaeta;Flabelligerida;Flabelligeridae
0	0	0.1128	9.352e-05	Eukaryota;Annelida;Polychaeta;Questidae
0	0	0.1128	9.352e-05	Eukaryota;Annelida;Polychaeta;Questidae;Questidae
0	0	0.1128	9.352e-05	Eukaryota;Annelida;Polychaeta;Questidae;Questidae;Questa
0.1128	9.352e-05	0.1128	9.352e-05	Eukaryota;Annelida;Polychaeta;Questidae;Questidae;Questa;Questa_ersei
0	0	3.19e-05	2.645e-08	Eukaryota;Annelida;Polychaeta;Orbiniidae
3.19e-05	2.645e-08	3.19e-05	2.645e-08	Eukaryota;Annelida;Polychaeta;Orbiniidae;Orbiniidae
3.679	0.003051	5.002	0.004147	Eukaryota;Annelida;Clitellata
0	0	0.7669	0.0006359	Eukaryota;Annelida;Clitellata;Capilloventridae
0	0	0.7669	0.0006359	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae
0	0	0.7669	0.0006359	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer
0.7669	0.0006359	0.7669	0.0006359	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer;Capilloventer_australis
0.5554	0.0004605	0.5554	0.0004605	Eukaryota;Annelida;Clitellata;Haplotaxida
0	0	5.818e-06	4.824e-09	Eukaryota;Annelida;Clitellata;Enchytraeida
5.818e-06	4.824e-09	5.818e-06	4.824e-09	Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae
0.9824	0.0008146	19.29	0.01599	Eukaryota;Mollusca
0.06016	4.988e-05	1.263	0.001047	Eukaryota;Mollusca;Cephalopoda
0	0	0.02016	1.672e-05	Eukaryota;Mollusca;Cephalopoda;Spirulida
0	0	0.02016	1.672e-05	Eukaryota;Mollusca;Cephalopoda;Spirulida;Spirulidae
