name	LWR	fract	aLWR	afract	taxopath
Query205	0	0	0.9676	0.9701	Eukaryota
Query205	0	0	0.9676	0.9701	Eukaryota;Arthropoda
Query205	0.2889	0.2896	0.9676	0.9701	Eukaryota;Arthropoda;Insecta
Query205	0.6788	0.6805	0.6788	0.6805	Eukaryota;Arthropoda;Insecta;Diptera
Query205	0.02985	0.02992	0.02985	0.02992	DISTANT
Query51	0.8862	0.8933	0.9739	0.9818	Eukaryota
Query51	0	0	0.07181	0.07239	Eukaryota;Chordata
Query51	0	0	0.07181	0.07239	Eukaryota;Chordata;Leptocardii
Query51	0	0	0.07181	0.07239	Eukaryota;Chordata;Leptocardii;Amphioxiformes
Query51	0.07181	0.07239	0.07181	0.07239	Eukaryota;Chordata;Leptocardii;Amphioxiformes;Branchiostomidae
Query51	0.0159	0.01603	0.0159	0.01603	Eukaryota;Arthropoda
Query51	0.0181	0.01825	0.0181	0.01825	DISTANT
Query327	0	0	0.9628	0.9629	Eukaryota
Query327	0	0	0.9628	0.9629	Eukaryota;Arthropoda
Query327	0.06634	0.06635	0.9628	0.9629	Eukaryota;Arthropoda;Collembola
Query327	0.8965	0.8965	0.8965	0.8965	Eukaryota;Arthropoda;Collembola;Entomobryomorpha
Query327	0.03714	0.03714	0.03714	0.03714	DISTANT
Query655	0	0	0.9649	0.9693	Eukaryota
Query655	0	0	0.9649	0.9693	Eukaryota;Annelida
Query655	0.937	0.9413	0.937	0.9413	Eukaryota;Annelida;Polychaeta
Query655	0.025	0.02512	0.02785	0.02798	Eukaryota;Annelida;Clitellata
Query655	0.001835	0.001844	0.001835	0.001844	Eukaryota;Annelida;Clitellata;Haplotaxida
Query655	0	0	0.001011	0.001016	Eukaryota;Annelida;Clitellata;Enchytraeida
Query655	0.001011	0.001016	0.001011	0.001016	Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae
Query655	0.03054	0.03068	0.03054	0.03068	DISTANT
Query489	0	0	0.9769	0.9777	Eukaryota
Query489	0	0	0.9769	0.9777	Eukaryota;Annelida
Query489	0.666	0.6665	0.9769	0.9777	Eukaryota;Annelida;Clitellata
