name	LWR	fract	aLWR	afract	taxopath
Query2597	0.6437	0.6437	0.6694	0.6694	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query814	0.7815	0.7815	0.7815	0.7815	DISTANT
Query3388	0.5497	0.5497	0.5497	0.5497	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2104	0.8975	0.8975	0.9413	0.9413	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3213	0.7356	0.7356	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2670	0.9771	0.9771	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1229	0.6442	0.6442	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2362	0.6122	0.6122	0.9214	0.9214	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query487	0.6107	0.6107	0.6107	0.6107	DISTANT
Query2926	0.9455	0.9532	0.9455	0.9532	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3705	0.595	0.5954	0.9765	0.9772	Bacteria;Bacteroidetes
Query2968	0.6788	0.6827	0.9739	0.9795	Bacteria;Bacteroidetes
Query226	0.4461	0.4461	0.9148	0.9148	Bacteria;Bacteroidetes;Flavobacteriia
Query1048	0.721	0.721	0.9291	0.9291	Bacteria;Bacteroidetes;Flavobacteriia
Query85	0.9178	0.9224	0.9178	0.9224	Bacteria;Bacteroidetes
Query2391	0.6422	0.6422	0.8319	0.8319	Bacteria;Bacteroidetes;Flavobacteriia
Query2328	0.9736	0.9736	0.9736	0.9736	Bacteria;Bacteroidetes
Query3406	0.8347	0.8347	0.9865	0.9865	Bacteria;Bacteroidetes
Query2942	0.8661	0.8661	0.9876	0.9876	Bacteria;Bacteroidetes
Query81	0.9779	0.9779	0.9779	0.9779	Bacteria;Bacteroidetes
Query645	0.9416	0.9416	0.9416	0.9416	Bacteria;Bacteroidetes
Query1997	0.6383	0.6442	0.9746	0.9836	Bacteria;Bacteroidetes
Query2318	0.9668	0.9676	0.9668	0.9676	Bacteria;Bacteroidetes
Query244	0.7633	0.7696	0.7633	0.7696	Bacteria;Bacteroidetes
Query3622	0.3297	0.9211	0.3297	0.9211	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query1526	0.6023	0.6023	0.6023	0.6023	Eukaryota;Cnidaria;Myxozoa
Query2587	0.6431	0.6463	0.9951	1	Bacteria;Proteobacteria;Alphaproteobacteria
Query1469	0.8281	0.9186	0.8643	0.9587	Bacteria;Proteobacteria;Alphaproteobacteria
Query1970	0.7102	0.7594	0.8209	0.8777	Bacteria;Proteobacteria;Alphaproteobacteria
Query2236	0.441	0.4485	0.7879	0.8013	Eukaryota
Query1014	0.04367	0.6156	0.04443	0.6264	Eukaryota
Query2520	0.65	0.6562	0.65	0.6562	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
Query1384	0.7906	0.7906	0.9265	0.9265	Eukaryota;Haptista;Haptophyta
Query1277	0.9398	0.9398	0.9398	0.9399	Eukaryota;Haptista;Haptophyta
Query1674	0.7014	0.7014	0.9898	0.9898	Eukaryota;Haptista;Haptophyta
Query1624	0.8754	0.8754	0.9497	0.9497	Eukaryota;Cnidaria
Query1063	0.9839	0.9915	0.9839	0.9915	Eukaryota;Collodictyonidae;Collodictyonidae;Collodictyonidae;Collodictyonidae;Diphylleia;Diphylleia_rotans
Query3649	0.7105	0.7105	1	1	Eukaryota;Haptista;Haptophyta
Query808	0.4457	0.4457	0.9966	0.9966	Eukaryota
Query2374	0.6316	0.6317	0.9947	0.9949	Eukaryota
Query3016	0.9356	0.947	0.9659	0.9776	Eukaryota
Query3639	0.9721	0.9845	0.9721	0.9845	Eukaryota
Query2115	0.5202	0.5613	0.9124	0.9846	Eukaryota
Query2905	0.8834	0.8835	0.996	0.9961	Eukaryota
Query2321	0.7634	0.7634	0.9822	0.9822	Bacteria;Proteobacteria;Alphaproteobacteria
Query1951	0.5	0.5	0.5	0.5	Eukaryota;Cnidaria;Myxozoa;Malacovalvulida;Saccosporidae
Query9	0.8927	0.8927	0.9282	0.9282	Bacteria;Proteobacteria;Alphaproteobacteria
Query2192	0.6017	0.6021	0.9936	0.9943	Eukaryota
Query1655	0.7196	0.7385	0.7196	0.7385	Eukaryota;Phaeophyceae;Phaeophyceae;Ralfsiales
Query3655	0.8673	0.8673	0.8673	0.8673	Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus_atmophyticus
Query872	0.589	0.6253	0.9193	0.976	Eukaryota
Query2673	0.676	0.6761	0.676	0.6761	Eukaryota;Tubulinea;Echinamoebida;Vermamoeba;Vermamoeba;Vermamoeba;Vermamoeba_vermiformis
Query3018	0.5	0.5	0.5	0.5	Eukaryota;Cercozoa;Chlorarachniophyceae;Chlorarachnion;Chlorarachnion;Chlorarachnion;Chlorarachnion_reptans
Query3706	0.4968	0.5	0.9936	1	Eukaryota
Query1630	0.6722	0.6998	0.951	0.99	Eukaryota
Query279	0.6858	0.686	0.9998	1	Eukaryota
Query1887	0.5959	0.5966	0.9927	0.9939	Eukaryota;Dictyochophyceae;Dictyochophyceae
Query2906	0.9483	0.9529	0.9789	0.9837	Eukaryota
Query2075	0.5085	0.5108	0.7456	0.7488	Eukaryota;Eustigmatophyceae;Eustigmatophyceae
Query2257	0.6842	0.6892	0.9193	0.9259	Eukaryota;Eustigmatophyceae;Eustigmatophyceae
Query2294	0.8924	0.9056	0.8924	0.9056	Eukaryota;Rhodophyta
