name	LWR	fract	aLWR	afract	taxopath
Query1583	0	0	1	1	Archaea
Query1583	0	0	1	1	Archaea;Euryarchaeota
Query1583	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query1583	0.5738	0.5738	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1583	0.4262	0.4262	0.4262	0.4262	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query2641	0	0	1	1	Archaea
Query2641	0	0	1	1	Archaea;Euryarchaeota
Query2641	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query2641	0.6346	0.6346	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query2641	0.3654	0.3654	0.3654	0.3654	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3213	0	0	0.9298	0.9298	Archaea
Query3213	0	0	0.9298	0.9298	Archaea;Euryarchaeota
Query3213	0	0	0.9298	0.9298	Archaea;Euryarchaeota;environmental_samples
Query3213	0.5649	0.5649	0.9298	0.9298	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3213	0.3649	0.3649	0.3649	0.3649	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query3213	0.07019	0.07019	0.07019	0.07019	DISTANT
Query1215	0	0	0.569	0.5691	Archaea
Query1215	0	0	0.569	0.5691	Archaea;Euryarchaeota
Query1215	0	0	0.569	0.5691	Archaea;Euryarchaeota;environmental_samples
Query1215	0.4427	0.4428	0.569	0.5691	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1215	0.1263	0.1263	0.1263	0.1263	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query1215	0.4308	0.4309	0.4308	0.4309	DISTANT
Query2908	0	0	1	1	Archaea
Query2908	0	0	1	1	Archaea;Euryarchaeota
Query2908	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
