LWR	fract	aLWR	afract	taxopath
0	0	1553	0.1498	Archaea
0	0	1538	0.1483	Archaea;Euryarchaeota
0	0	1536	0.1481	Archaea;Euryarchaeota;environmental_samples
1158	0.1116	1536	0.1481	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
373.1	0.03597	373.1	0.03597	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
0.5646	5.443e-05	0.5646	5.443e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_104_H03
1.38	0.0001331	1.38	0.0001331	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_11_G05
0.2505	2.415e-05	0.2505	2.415e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_164_G07
0.9894	9.539e-05	0.9894	9.539e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_37_D11
0.9999	9.641e-05	0.9999	9.641e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_74_C08
0.9999	9.64e-05	0.9999	9.64e-05	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_KM3_178_D06
1.341	0.0001293	1.341	0.0001293	Archaea;Euryarchaeota;Diaforarchaea_group_Thermoplasmata_Thermoplasmatales
0.9998	9.64e-05	0.9998	9.64e-05	Archaea;Euryarchaeota;Stenosarchaea_group_Halobacteria
0	0	15.13	0.001458	Archaea;TACK_group
0	0	12.19	0.001175	Archaea;TACK_group;Crenarchaeota
12.19	0.001175	12.19	0.001175	Archaea;TACK_group;Crenarchaeota;Thermoprotei
0.9404	9.067e-05	2.94	0.0002835	Archaea;TACK_group;Thaumarchaeota
0	0	0.9997	9.638e-05	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria
0	0	0.9997	9.638e-05	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales
0	0	0.9997	9.638e-05	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae
0	0	0.9997	9.638e-05	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera
0	0	0.9997	9.638e-05	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera_viennensis
0.9997	9.638e-05	0.9997	9.638e-05	Archaea;TACK_group;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera_viennensis;Nitrososphaera_viennensis_EN76
0.9999	9.641e-05	0.9999	9.641e-05	Archaea;TACK_group;Thaumarchaeota;Nitrosopumilales
1318	0.127	1318	0.127	DISTANT
133.8	0.0129	2592	0.2499	Bacteria
546.1	0.05265	787	0.07588	Bacteria;Bacteroidetes
0	0	18.51	0.001784	Bacteria;Bacteroidetes;Saprospiria
0	0	18.51	0.001784	Bacteria;Bacteroidetes;Saprospiria;Saprospirales
18.51	0.001784	18.51	0.001784	Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae
0	0	26.6	0.002565	Bacteria;Bacteroidetes;Sphingobacteriia
0	0	26.6	0.002565	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales
26.6	0.002565	26.6	0.002565	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
130.7	0.0126	188	0.01813	Bacteria;Bacteroidetes;Flavobacteriia
38.83	0.003744	38.83	0.003744	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales
0	0	18.54	0.001788	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia
0	0	18.54	0.001788	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia
0	0	18.54	0.001788	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia
18.54	0.001788	18.54	0.001788	Bacteria;Bacteroidetes;Flavobacteriia;c_Flavobacteriia;c_o_Flavobacteriia;c_o_f_Flavobacteriia;Flavobacteria_bacterium_MS0243C
