OTU	ERR0000001	ERR0000002	ERR0000003	ERR0000004	ERR0000005	ERR0000006	ERR0000007	ERR0000008	ERR0000009	ERR0000010	ERR0000011	ERR0000012	ERR0000013	ERR0000014	ERR0000015	ERR0000016	ERR0000017	ERR0000018	ERR0000019	ERR0000020	ERR0000021	ERR0000022	ERR0000023	ERR0000024	ERR0000025	ERR0000026	ERR0000027	ERR0000028	ERR0000029	ERR0000030	ERR0000031	ERR0000032	ERR0000033	ERR0000034	ERR0000035	ERR0000036	ERR0000037	ERR0000038	ERR0000039	ERR0000040	ERR0000044	ERR0000045	ERR0000046	ERR0000069	ERR0000070	ERR0000071	ERR0000091	ERR0000092	ERR0000093	ERR0000094	ERR0000095	ERR0000096	ERR0000097	ERR0000098	ERR0000099	ERR0000100	ERR0000101	ERR0000102	ERR0000103	ERR0000104	ERR0000105	ERR0000106	ERR0000107	ERR0000108	ERR0000109	ERR0000110	ERR0000111	ERR0000112	ERR0000113	ERR0000114	ERR0000115	ERR0000116	ERR0000117	ERR0000118	ERR0000119	ERR0000120	ERR0000121	ERR0000122	ERR0000123	ERR0000124	ERR0000125	ERR0000126	ERR0000127	ERR0000128	ERR0000129	ERR0000130	ERR0000131	ERR0000132	ERR0000133	ERR0000134	ERR0000135	ERR0000136	ERR0000137	ERR0000138	ERR0000139	ERR0000140	ERR0000141	ERR0000142	ERR0000143	ERR0000144	ERR0000145	ERR0000146	ERR0000147	classification

ERR131:10030.630415	0	960	382	683	718	324	451	0	0	0	287	143	259	0	0	34	23	43	22	7	27	0	9	7	0	0	0	0	0	8	0	0	25	113	0	53	18	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1733	697	1608	2003	2210	1123	0	1158	1127	721	792	643	453	0	274	174	228	617	631	427	1	528	907	669	343	624	727	0	0	51	43	74	22	16	17	5	7	8	0	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Nephtheidae;Dendronephthya;Dendronephthya mollis
ERR91:31070.706852	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	21256	0	0	0	0	0	0	3	589	0	2539	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Agariciidae;Agaricia;Agaricia agaricites
ERR110:177370.679395	1	1837	647	1465	1235	321	952	0	0	0	1136	349	875	0	0	95	38	114	33	12	50	3	1	10	0	0	0	0	0	3	23	0	136	577	2	165	138	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1181	782	1055	1102	1110	460	0	572	562	392	467	336	229	0	279	168	166	709	535	290	68	573	694	429	459	585	600	1	0	118	71	137	23	25	34	6	1	5	1	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Agariciidae;Pavona;Pavona decussata
ERR146:128820.706970	1	47	35	63	4	3	16	0	0	44	50	49	45	0	0	157	89	162	353	146	270	319	231	639	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2880	3687	7486	3	5	4	0	0	0	22	84	65	139	12	10	105	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	285	446	490	380	640	933	1169	1516	5	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR108:18480.681751	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	1	0	259	0	0	0	6	0	0	0	1101	0	2	0	0	0	0	0	0	19700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR5:148440.726025	1	1639	594	741	1485	655	874	1	0	0	272	149	163	1	0	19	4	13	6	1	10	0	1	0	0	0	0	0	0	0	0	0	16	61	0	46	34	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	497	92	336	559	585	185	0	1197	777	421	492	236	170	0	1365	727	435	151	223	136	0	98	287	136	871	2160	2020	0	0	24	17	16	6	2	10	0	0	0	0	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Halcuriidae;Halcurias;Halcurias pilatus
ERR123:21480.707483	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	4	2	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	1	0	0	0	7	4	8	4981	2647	3364	10	4412	2665	2811	6	17	6	3	5	4	7	0	0	0	1	4	4	7	0	0	0	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion cuvieri
ERR109:316160.679068	0	876	572	932	824	481	862	1	0	0	238	239	431	0	0	9	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	24	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	506	344	384	506	318	0	755	657	618	469	303	311	0	745	479	449	618	253	199	0	461	269	227	2103	1432	2151	1	1	12	6	8	0	0	3	1	0	0	0	Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Tetrastemma;Tetrastemma albidum
ERR46:81200.700127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6510	3510	9216	0	2	3	0	0	0	0	5	3	5	0	1	4	44	21	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Amphibia;Gymnophiona;Typhlonectidae;Typhlonectes;Typhlonectes natans
ERR121:32860.690627	0	18	0	0	7	0	0	9	0	0	12	0	0	0	0	0	0	0	2717	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	9	0	0	0	2	6	3132	0	2812	2801	2	0	3	0	1	1	1	0	3	0	0	0	0	4178	0	0	14	0	0	2688	0	0	0	0	0	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Prionus;Prionus insularis
ERR112:54030.690274	0	50	40	82	243	154	327	0	0	0	354	275	469	0	0	165	157	254	96	21	64	1	0	0	0	0	0	0	0	0	0	0	0	0	1	174	152	6	5	0	9	6	8	5	1	0	2	4	3	0	0	0	1	26	18	59	302	260	648	0	0	0	0	0	565	352	803	310	391	253	0	376	385	388	356	247	337	0	249	216	248	1217	904	1018	1	482	774	526	258	297	712	0	0	129	108	138	105	51	95	1	3	2	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Rexea;Rexea nakamurai
ERR93:26420.698647	484	0	0	0	0	0	1	0	0	0	0	0	0	433	343	0	0	0	1	0	1	0	2	0	170	288	21	0	0	0	0	0	1	1	0	0	0	0	1	169	15	16	20	196	143	157	6242	1620	2812	1	1580	493	761	14	9	41	48	63	87	8	8	14	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	336	Eukaryota;Chordata;Actinopteri;Gonorynchiformes;Gonorynchidae;Gonorynchus;Gonorynchus abbreviatus
ERR111:136000.637049	0	0	0	0	0	0	0	330	0	0	131	0	0	0	0	0	0	0	1108	0	0	66	0	0	1654	112	0	0	0	18	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	520	0	1237	149	0	803	530	264	90	654	1969	259	159	1479	4	408	1	601	28	276	0	748	1	0	178	0	468	0	1614	222	0	0	429	0	0	0	0	0	0	Eukaryota;Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Striatobalanus;Striatobalanus amaryllis
ERR112:401350.705374	0	0	0	0	1	0	0	280	0	0	207	0	0	0	1	1	0	0	705	0	0	381	0	0	1122	207	1	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	357	1	784	607	0	2080	460	328	441	477	2209	322	291	798	3	618	4	438	12	235	0	690	1	0	259	0	493	2	843	216	0	0	432	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Opisthoproctidae;Opisthoproctus;Opisthoproctus soleatus
ERR112:273970.720385	0	0	0	0	0	0	0	678	0	0	281	0	0	0	0	6	0	0	189	0	0	389	0	0	399	284	0	0	0	74	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	1	600	636	0	398	934	859	517	157	487	277	203	1521	35	371	22	1050	99	883	47	482	0	0	464	0	429	0	1177	477	0	0	135	0	0	4	0	0	0	Eukaryota;Arthropoda;Insecta;Lepidoptera;Hepialidae;Thitarodes;Thitarodes gonggaensis
ERR101:14500.731811	13	0	0	0	1	0	0	0	0	0	0	0	0	309	322	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	184	14	0	0	681	0	0	0	0	0	166	1	0	11069	0	0	1	12	8	1265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	0	0	0	413	1	272	0	0	1	0	0	0	0	0	0	0	0	0	363	Eukaryota;Annelida;Polychaeta;Terebellida;Alvinellidae;Paralvinella;Paralvinella sulfincola
ERR109:33400.649329	0	0	0	0	0	0	0	713	0	0	291	0	0	0	0	5	0	0	159	0	0	288	0	0	361	325	0	0	0	21	0	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360	2	864	462	0	264	1356	931	415	121	475	494	346	639	21	504	19	1493	46	176	1	758	0	0	660	0	598	0	560	443	0	0	124	0	0	4	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR69:6430.726112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7493	0	0	43	1	0	0	1	0	0	11	36	0	9	623	0	9	7	0	6413	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR97:83590.668281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	20	19	17	38	82	55	107	1	6740	1494	5716	5	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Aiptasiidae;Aiptasia;Aiptasia pulchella
ERR39:7800.705250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;Noumea;Noumea crocea
ERR11:118060.615748	0	0	0	0	0	0	0	812	0	0	1103	0	0	0	0	0	0	0	231	0	0	201	0	0	189	337	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29	0	10	21	0	0	0	0	0	8	0	0	0	12	0	26	11	0	1	6	638	8	492	1166	0	300	450	907	506	173	809	275	349	61	134	397	112	355	179	282	0	420	0	0	281	0	397	2	302	844	0	0	237	0	0	2	0	0	0	Eukaryota;Arthropoda;Insecta;Mantodea;Amorphoscelidae;Paraoxypilus;Paraoxypilus verreauxii
ERR143:2300.681748	0	3	6	7	1	3	3	0	0	1	27	14	42	0	0	415	344	644	384	205	429	495	275	781	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	218	164	196	0	6	4	1	0	0	0	24	4	17	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	570	641	684	613	617	1513	1374	1305	0	Eukaryota;Chordata;Chondrichthyes;Chimaeriformes;Rhinochimaeridae;Harriotta;Harriotta raleighana
ERR111:55300.611270	0	690	48	59	910	53	59	0	0	0	1083	98	108	0	0	43	8	8	1	1	3	0	0	0	0	0	0	0	0	0	0	0	17	4	0	16	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	626	1945	188	166	650	0	218	166	872	107	61	511	1	73	25	259	356	63	489	0	270	160	775	136	63	144	0	0	19	16	13	2	4	5	0	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR31:102430.665010	0	130	72	116	17	18	38	1817	545	1561	26	14	36	0	1	126	48	95	171	78	168	20	14	35	0	0	602	1491	0	704	1687	401	43	121	324	4	1	55	0	0	4	3	5	1	1	0	0	2	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	34	22	43	21	25	15	0	8	5	2	26	34	25	0	9	2	5	15	11	5	0	14	13	6	4	6	10	0	0	104	69	106	135	89	107	11	17	46	0	Eukaryota;Chordata;Actinopteri;Sphyraenidae;Sphyraena;Sphyraena japonica
ERR104:15470.617875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10786	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Annelida;Polychaeta;Terebellida;Alvinellidae;Paralvinella;Paralvinella sulfincola
ERR69:178300.650854	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	135	212	1306	815	1560	541	217	744	0	281	107	282	603	299	2108	246	274	519	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Aves;Bucerotiformes;Bucorvidae;Bucorvus;Bucorvus leadbeateri
ERR116:285410.651722	0	0	0	0	0	0	0	143	0	0	493	0	0	0	1	0	0	0	40	0	0	397	0	0	60	617	0	0	0	48	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	210	347	0	148	141	1821	254	20	149	71	468	612	4	792	2	199	24	987	0	134	0	0	638	0	112	0	962	51	0	0	226	0	0	1	0	0	0	Eukaryota;Annelida;Haplotaxida;Naididae;Pristina;Pristina osborni
ERR10:11920.644865	0	0	0	0	0	0	0	2893	986	3911	57	41	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	254	445	221	227	141	0	61	65	51	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Platyhelminthes;Cestoda;Diphyllobothriidea;Diphyllobothriidae;Spirometra;Spirometra decipiens
