name	LWR	fract	aLWR	afract	taxopath
Query5429	0.4275	0.4362	0.9593	0.9789	Eukaryota
Query5429	0.3942	0.4023	0.4414	0.4504	Eukaryota;Arthropoda
Query5429	0	0	0.03605	0.03679	Eukaryota;Arthropoda;Ichthyostraca
Query5429	0	0	0.03605	0.03679	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
Query5429	0	0	0.03605	0.03679	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
Query5429	0.03605	0.03679	0.03605	0.03679	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
Query5429	0	0	0.006379	0.006509	Eukaryota;Arthropoda;Hexanauplia
Query5429	0	0	0.006379	0.006509	Eukaryota;Arthropoda;Hexanauplia;Dendrogastrida
Query5429	0	0	0.006379	0.006509	Eukaryota;Arthropoda;Hexanauplia;Dendrogastrida;Dendrogastridae
Query5429	0.006379	0.006509	0.006379	0.006509	Eukaryota;Arthropoda;Hexanauplia;Dendrogastrida;Dendrogastridae;Dendrogaster
Query5429	0	0	0.00473	0.004827	Eukaryota;Arthropoda;Insecta
Query5429	0.00473	0.004827	0.00473	0.004827	Eukaryota;Arthropoda;Insecta;Raphidioptera
Query5429	0	0	0.09041	0.09225	Eukaryota;Annelida
Query5429	0.09041	0.09225	0.09041	0.09225	Eukaryota;Annelida;Clitellata
Query5429	0.02069	0.02111	0.02069	0.02111	DISTANT
Query4372	0.2151	0.2201	0.9458	0.968	Eukaryota
Query4372	0.5253	0.5377	0.7292	0.7463	Eukaryota;Arthropoda
Query4372	0	0	0.1915	0.196	Eukaryota;Arthropoda;Merostomata
Query4372	0	0	0.1915	0.196	Eukaryota;Arthropoda;Merostomata;Xiphosura
Query4372	0.1915	0.196	0.1915	0.196	Eukaryota;Arthropoda;Merostomata;Xiphosura;Limulidae
Query4372	0	0	0.01236	0.01265	Eukaryota;Arthropoda;Malacostraca
Query4372	0.01236	0.01265	0.01236	0.01265	Eukaryota;Arthropoda;Malacostraca;Thermosbaenacea
Query4372	0	0	0.001525	0.001561	Eukaryota;Mollusca
Query4372	0	0	0.001525	0.001561	Eukaryota;Mollusca;Gastropoda
Query4372	0	0	0.001525	0.001561	Eukaryota;Mollusca;Gastropoda;Orbitestellidae
Query4372	0.001525	0.001561	0.001525	0.001561	Eukaryota;Mollusca;Gastropoda;Orbitestellidae;Orbitestellidae
Query4372	0.03128	0.03202	0.03128	0.03202	DISTANT
Query4744	0.1334	0.1363	0.9571	0.9776	Eukaryota
Query4744	0.8184	0.8359	0.8237	0.8413	Eukaryota;Arthropoda
Query4744	0	0	0.004213	0.004303	Eukaryota;Arthropoda;Insecta
Query4744	0.004213	0.004303	0.004213	0.004303	Eukaryota;Arthropoda;Insecta;Plecoptera
Query4744	0.001109	0.001132	0.001109	0.001132	Eukaryota;Arthropoda;Malacostraca
Query4744	0.02192	0.02239	0.02192	0.02239	DISTANT
Query3366	0.5983	0.6052	0.9662	0.9774	Eukaryota
Query3366	0.3594	0.3636	0.368	0.3722	Eukaryota;Arthropoda
Query3366	0.00851	0.008608	0.00851	0.008608	Eukaryota;Arthropoda;Insecta
Query3366	0.02238	0.02264	0.02238	0.02264	DISTANT
Query3785	0	0	0.9673	0.9759	Eukaryota
Query3785	0.906	0.914	0.9673	0.9759	Eukaryota;Arthropoda
Query3785	0	0	0.06137	0.06191	Eukaryota;Arthropoda;Insecta
Query3785	0.06137	0.06191	0.06137	0.06191	Eukaryota;Arthropoda;Insecta;Plecoptera
Query3785	0.02391	0.02412	0.02391	0.02412	DISTANT
Query3680	0	0	0.9668	0.9674	Eukaryota
Query3680	0	0	0.9668	0.9674	Eukaryota;Arthropoda
Query3680	0.3296	0.3299	0.9668	0.9674	Eukaryota;Arthropoda;Collembola
Query3680	0.6371	0.6375	0.6371	0.6375	Eukaryota;Arthropoda;Collembola;Entomobryomorpha
Query3680	0.03259	0.03261	0.03259	0.03261	DISTANT
Query1524	0	0	0.9809	0.9875	Eukaryota
Query1524	0	0	0.9809	0.9875	Eukaryota;Annelida
Query1524	0.8919	0.8979	0.9809	0.9875	Eukaryota;Annelida;Clitellata
Query1524	0	0	0.07319	0.07368	Eukaryota;Annelida;Clitellata;Capilloventridae
Query1524	0	0	0.07319	0.07368	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae
Query1524	0	0	0.07319	0.07368	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer
Query1524	0.07319	0.07368	0.07319	0.07368	Eukaryota;Annelida;Clitellata;Capilloventridae;Capilloventridae;Capilloventer;Capilloventer_australis
Query1524	0	0	0.01394	0.01404	Eukaryota;Annelida;Clitellata;Moniligastrida
Query1524	0	0	0.01394	0.01404	Eukaryota;Annelida;Clitellata;Moniligastrida;Moniligastridae
Query1524	0.01394	0.01404	0.01394	0.01404	Eukaryota;Annelida;Clitellata;Moniligastrida;Moniligastridae;Drawida
Query1524	0.001853	0.001866	0.001853	0.001866	Eukaryota;Annelida;Clitellata;Lumbriculida
Query1524	0.01239	0.01247	0.01239	0.01247	DISTANT
Query2030	3.585e-05	3.748e-05	0.9199	0.9616	Eukaryota
Query2030	0	0	0.9199	0.9616	Eukaryota;Annelida
Query2030	0.8863	0.9265	0.9094	0.9506	Eukaryota;Annelida;Polychaeta
Query2030	0.02306	0.0241	0.02306	0.0241	Eukaryota;Annelida;Polychaeta;Eunicida
Query2030	0.01048	0.01095	0.01048	0.01095	Eukaryota;Annelida;Clitellata
Query2030	0.03673	0.0384	0.03673	0.0384	DISTANT
Query1006	0	0	0.9242	0.9715	Eukaryota
Query1006	0	0	0.9242	0.9715	Eukaryota;Annelida
Query1006	0.63	0.6623	0.7591	0.798	Eukaryota;Annelida;Clitellata
Query1006	0.1219	0.1282	0.1219	0.1282	Eukaryota;Annelida;Clitellata;Haplotaxida
Query1006	0	0	0.007133	0.007499	Eukaryota;Annelida;Clitellata;Enchytraeida
