LWR	fract	aLWR	afract	taxopath
840	0.1821	2239	0.4855	Eukaryota
6.831	0.001481	35.02	0.007593	Eukaryota;Arthropoda
0.6608	0.0001433	1.027	0.0002226	Eukaryota;Arthropoda;Ichthyostraca
0	0	0.366	7.935e-05	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	0.366	7.935e-05	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
0.366	7.935e-05	0.366	7.935e-05	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
0	0	2.193e-05	4.755e-09	Eukaryota;Arthropoda;Ichthyostraca;Raillietiellida
0	0	2.193e-05	4.755e-09	Eukaryota;Arthropoda;Ichthyostraca;Raillietiellida;Raillietiellidae
2.193e-05	4.755e-09	2.193e-05	4.755e-09	Eukaryota;Arthropoda;Ichthyostraca;Raillietiellida;Raillietiellidae;Raillietiella
0	0	6.341e-06	1.375e-09	Eukaryota;Arthropoda;Ichthyostraca;Reighardiida
0	0	6.341e-06	1.375e-09	Eukaryota;Arthropoda;Ichthyostraca;Reighardiida;Reighardiidae
0	0	6.341e-06	1.375e-09	Eukaryota;Arthropoda;Ichthyostraca;Reighardiida;Reighardiidae;Reighardia
6.341e-06	1.375e-09	6.341e-06	1.375e-09	Eukaryota;Arthropoda;Ichthyostraca;Reighardiida;Reighardiidae;Reighardia;Reighardia_sternae
6.947	0.001506	9.859	0.002138	Eukaryota;Arthropoda;Hexanauplia
0	0	0.006379	1.383e-06	Eukaryota;Arthropoda;Hexanauplia;Dendrogastrida
0	0	0.006379	1.383e-06	Eukaryota;Arthropoda;Hexanauplia;Dendrogastrida;Dendrogastridae
0.006379	1.383e-06	0.006379	1.383e-06	Eukaryota;Arthropoda;Hexanauplia;Dendrogastrida;Dendrogastridae;Dendrogaster
1.761	0.0003818	1.761	0.0003818	Eukaryota;Arthropoda;Hexanauplia;Calanoida
0.1691	3.666e-05	0.1691	3.666e-05	Eukaryota;Arthropoda;Hexanauplia;Misophrioida
0.01124	2.437e-06	0.01124	2.437e-06	Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida
0	0	0.2008	4.353e-05	Eukaryota;Arthropoda;Hexanauplia;Monstrilloida
0.2008	4.353e-05	0.2008	4.353e-05	Eukaryota;Arthropoda;Hexanauplia;Monstrilloida;Monstrillidae
0.7633	0.0001655	0.7633	0.0001655	Eukaryota;Arthropoda;Hexanauplia;Sessilia
3.811	0.0008262	8.348	0.00181	Eukaryota;Arthropoda;Insecta
0.00473	1.026e-06	0.00473	1.026e-06	Eukaryota;Arthropoda;Insecta;Raphidioptera
0.6865	0.0001489	0.6865	0.0001489	Eukaryota;Arthropoda;Insecta;Plecoptera
1.35	0.0002928	1.35	0.0002928	Eukaryota;Arthropoda;Insecta;Blattodea
1.37	0.000297	1.37	0.000297	Eukaryota;Arthropoda;Insecta;Lepidoptera
0.01438	3.118e-06	0.01438	3.118e-06	Eukaryota;Arthropoda;Insecta;Orthoptera
0.02864	6.209e-06	0.02864	6.209e-06	Eukaryota;Arthropoda;Insecta;Archaeognatha
0.01339	2.903e-06	0.01339	2.903e-06	Eukaryota;Arthropoda;Insecta;Zygentoma
0.1792	3.885e-05	0.1792	3.885e-05	Eukaryota;Arthropoda;Insecta;Odonata
0.4759	0.0001032	0.4759	0.0001032	Eukaryota;Arthropoda;Insecta;Dermaptera
0.0105	2.277e-06	0.0105	2.277e-06	Eukaryota;Arthropoda;Insecta;Phthiraptera
3.473e-06	7.529e-10	3.473e-06	7.529e-10	Eukaryota;Arthropoda;Insecta;Phasmatodea
4.001e-06	8.675e-10	4.001e-06	8.675e-10	Eukaryota;Arthropoda;Insecta;Mantophasmatodea
0.4036	8.75e-05	0.4036	8.75e-05	Eukaryota;Arthropoda;Insecta;Diptera
0	0	0.1915	4.152e-05	Eukaryota;Arthropoda;Merostomata
0	0	0.1915	4.152e-05	Eukaryota;Arthropoda;Merostomata;Xiphosura
0.1915	4.152e-05	0.1915	4.152e-05	Eukaryota;Arthropoda;Merostomata;Xiphosura;Limulidae
0.3832	8.309e-05	0.7007	0.0001519	Eukaryota;Arthropoda;Malacostraca
0.01236	2.681e-06	0.01236	2.681e-06	Eukaryota;Arthropoda;Malacostraca;Thermosbaenacea
0.3051	6.616e-05	0.3051	6.616e-05	Eukaryota;Arthropoda;Malacostraca;Mysida
2.733	0.0005926	6.611	0.001433	Eukaryota;Arthropoda;Collembola
2.747	0.0005955	2.747	0.0005955	Eukaryota;Arthropoda;Collembola;Entomobryomorpha
0	0	0.1504	3.261e-05	Eukaryota;Arthropoda;Collembola;Neelipleona
0.1504	3.261e-05	0.1504	3.261e-05	Eukaryota;Arthropoda;Collembola;Neelipleona;Neelidae
0.9803	0.0002125	0.9803	0.0002125	Eukaryota;Arthropoda;Collembola;Poduromorpha
0	0	0.4792	0.0001039	Eukaryota;Arthropoda;Diplopoda
0	0	0.4713	0.0001022	Eukaryota;Arthropoda;Diplopoda;Siphonophorida
0.4713	0.0001022	0.4713	0.0001022	Eukaryota;Arthropoda;Diplopoda;Siphonophorida;Siphonophoridae
