LWR	fract	aLWR	afract	taxopath
1189	0.131	4328	0.477	Eukaryota
3.488	0.0003844	41.07	0.004526	Eukaryota;Mollusca
10.06	0.001108	27.17	0.002995	Eukaryota;Mollusca;Gastropoda
0	0	0.5371	5.92e-05	Eukaryota;Mollusca;Gastropoda;Valvatidae
0.5371	5.92e-05	0.5371	5.92e-05	Eukaryota;Mollusca;Gastropoda;Valvatidae;Valvatidae
0	0	0.1966	2.167e-05	Eukaryota;Mollusca;Gastropoda;Litiopidae
0	0	0.1966	2.167e-05	Eukaryota;Mollusca;Gastropoda;Litiopidae;Litiopidae
0	0	0.1966	2.167e-05	Eukaryota;Mollusca;Gastropoda;Litiopidae;Litiopidae;Litiopa
0.1966	2.167e-05	0.1966	2.167e-05	Eukaryota;Mollusca;Gastropoda;Litiopidae;Litiopidae;Litiopa;Litiopa_melanostoma
0	0	0.009666	1.065e-06	Eukaryota;Mollusca;Gastropoda;Semisulcospiridae
0.009666	1.065e-06	0.009666	1.065e-06	Eukaryota;Mollusca;Gastropoda;Semisulcospiridae;Semisulcospiridae
0	0	0.005456	6.013e-07	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae
0.005456	6.013e-07	0.005456	6.013e-07	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae;Cerithiopsidae
0	0	0.006682	7.364e-07	Eukaryota;Mollusca;Gastropoda;Pachychilidae
0.006682	7.364e-07	0.006682	7.364e-07	Eukaryota;Mollusca;Gastropoda;Pachychilidae;Pachychilidae
0	0	1.267	0.0001397	Eukaryota;Mollusca;Gastropoda;Campanilidae
0	0	1.267	0.0001397	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae
0	0	1.267	0.0001397	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile
1.267	0.0001397	1.267	0.0001397	Eukaryota;Mollusca;Gastropoda;Campanilidae;Campanilidae;Campanile;Campanile_symbolicum
0	0	0.4671	5.148e-05	Eukaryota;Mollusca;Gastropoda;Turritellidae
0.4671	5.148e-05	0.4671	5.148e-05	Eukaryota;Mollusca;Gastropoda;Turritellidae;Turritellidae
0.1911	2.106e-05	0.1911	2.106e-05	Eukaryota;Mollusca;Gastropoda;Runcinacea
0	0	0.006675	7.357e-07	Eukaryota;Mollusca;Gastropoda;Pyramidellidae
0.006675	7.357e-07	0.006675	7.357e-07	Eukaryota;Mollusca;Gastropoda;Pyramidellidae;Pyramidellidae
0.9291	0.0001024	0.9291	0.0001024	Eukaryota;Mollusca;Gastropoda;Cephalaspidea
0	0	0.5948	6.556e-05	Eukaryota;Mollusca;Gastropoda;Platyhedylidae
0.5948	6.556e-05	0.5948	6.556e-05	Eukaryota;Mollusca;Gastropoda;Platyhedylidae;Platyhedylidae
0.04869	5.366e-06	0.04869	5.366e-06	Eukaryota;Mollusca;Gastropoda;Seguenziida
0	0	0.2561	2.822e-05	Eukaryota;Mollusca;Gastropoda;Rhodopidae
0.2561	2.822e-05	0.2561	2.822e-05	Eukaryota;Mollusca;Gastropoda;Rhodopidae;Rhodopidae
0	0	1.569	0.000173	Eukaryota;Mollusca;Gastropoda;Cerithiidae
1.569	0.000173	1.569	0.000173	Eukaryota;Mollusca;Gastropoda;Cerithiidae;Cerithiidae
0.6197	6.83e-05	0.6197	6.83e-05	Eukaryota;Mollusca;Gastropoda;Aplysiida
0.365	4.023e-05	0.365	4.023e-05	Eukaryota;Mollusca;Gastropoda;Umbraculida
0	0	0.01164	1.283e-06	Eukaryota;Mollusca;Gastropoda;Rissoellidae
0	0	0.01164	1.283e-06	Eukaryota;Mollusca;Gastropoda;Rissoellidae;Rissoellidae
0.01164	1.283e-06	0.01164	1.283e-06	Eukaryota;Mollusca;Gastropoda;Rissoellidae;Rissoellidae;Rissoella
0	0	0.51	5.621e-05	Eukaryota;Mollusca;Gastropoda;Cocculinidae
0.51	5.621e-05	0.51	5.621e-05	Eukaryota;Mollusca;Gastropoda;Cocculinidae;Cocculinidae
0.6926	7.634e-05	0.6926	7.634e-05	Eukaryota;Mollusca;Gastropoda;Lepetellida
0	0	0.625	6.889e-05	Eukaryota;Mollusca;Gastropoda;Modulidae
0	0	0.625	6.889e-05	Eukaryota;Mollusca;Gastropoda;Modulidae;Modulidae
0	0	0.625	6.889e-05	Eukaryota;Mollusca;Gastropoda;Modulidae;Modulidae;Modulus
0.625	6.889e-05	0.625	6.889e-05	Eukaryota;Mollusca;Gastropoda;Modulidae;Modulidae;Modulus;Modulus_modulus
