Abra alba
Abudefduf vaigiensis
Acanthurus nigrofuscus
Acartia negligens
Amphimedon queenslandica
Aplysia parvula
Arothron hispidus
Arula petunia
Ascidia ahodori
Boloceroides mcmurrichi
Bulla ampulla
Callyspongia subarmigera
Calotomus carolinus
Calotomus spinidens
Cantherhines pardalis
Cerithium rostratum
Cetoscarus bicolor
Cheilinus trilobatus
Cheilio inermis
Chrysiptera annulata
Cladiella pachyclados
Conger cinereus
Coris caudimacula
Coris formosa
Dascyllus trimaculatus
Diadema savignyi
Diadema setosum
Echinothrix calamaris
Eleotris melanosoma
Epinephelus coeruleopunctatus
Erosaria helvola
Eunice samoae
Fistularia commersonii
Glaucus atlanticus
Gnatholepis scapulostigma
Gymnothorax chilospilus
Gymnothorax griseus
Gymnothorax rueppellii
Haliclona coerulea
Halisarca dujardini
Holothuria arenicola
Homo sapiens
Hyattella sinuosa
Hymeniacidon flavia
Igernella notabilis
Leptoscarus vaigiensis
Lethrinus harak
Lethrinus mahsena
Linckia multifora
Lissodendoryx sigmata
Littoraria subvittata
Lutjanus argentimaculatus
Marphysa mossambica
Monodactylus argenteus
Nanomia bijuga
Nardoa novaecaledoniae
Naso hexacanthus
Notobryon wardi
Novaculichthys taeniourus
Novaculoides macrolepidotus
Octopus cyanea
Oithona attenuata
Oithona simplex
Ophiocoma brevipes
Ophionereis porrecta
Ophioplocus imbricatus
Oxynoe viridis
Paramonacanthus pusillus
Parupeneus barberinus
Phascolosoma stephensoni
Pherecardia striata
Physalia physalis
Pinna muricata
Placida cremoniana
Plectorhinchus albovittatus
Plectorhinchus flavomaculatus
Plectorhinchus gaterinus
Plectorhinchus plagiodesmus
Plectroglyphidodon leucozonus
Potamides conicus
Primovula concinna
Prionus insularis
Pseudogramma polyacantha
Rhinecanthus aculeatus
Siganus sutor
Simocephalus vetulus
Sphaeramia orbicularis
Spratelloides delicatulus
Stichodactyla haddoni
Stomopneustes variolaris
Themiste lageniformis
Thylacodes variabilis
Toxopneustes pileolus
Yongeichthys nebulosus
