name	LWR	fract	aLWR	afract	taxopath
Query1524	0.8688	0.8688	0.9306	0.9306	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query908	0.7976	0.7976	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1155	0.6785	0.6785	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query441	0.5589	0.5589	0.5589	0.5589	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1617	0.9332	0.9332	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1404	0.6305	0.6305	0.6305	0.6305	DISTANT
Query1763	0.956	0.956	0.956	0.956	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1388	0.7715	0.7715	0.7715	0.7715	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1848	0.8	0.8	0.8	0.8	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1924	0.538	0.5918	0.5793	0.6373	Bacteria;Verrucomicrobia
Query1802	0.9632	0.9632	0.9632	0.9632	Bacteria;Bacteroidetes
Query1400	0.9505	0.9517	0.9505	0.9517	Bacteria
Query560	0.9758	0.9816	0.9758	0.9816	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query624	0.9747	0.9747	0.9747	0.9747	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query1099	0.2509	0.9584	0.2509	0.9584	Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrostremma;Pyrostremma_spinosum
Query666	0.8801	0.8888	0.9532	0.9627	Bacteria;Proteobacteria;Betaproteobacteria
Query1877	0.9106	0.9544	0.9106	0.9544	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales
Query1273	0.9116	0.912	0.9988	0.9993	Bacteria;Proteobacteria;Betaproteobacteria
Query1402	0.7981	0.7981	1	1	Bacteria;Proteobacteria;Betaproteobacteria
Query838	0.9602	0.9602	0.9602	0.9602	Bacteria;Proteobacteria;Betaproteobacteria
Query1070	0.9329	0.9344	0.9752	0.9769	Bacteria;Proteobacteria;Betaproteobacteria
Query894	0.3773	0.8586	0.3773	0.8586	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
Query645	0.4848	0.4848	0.6669	0.6669	Eukaryota;Cnidaria;Myxozoa
Query1821	0.5441	0.5441	0.5441	0.5441	DISTANT
Query954	0.4412	0.4412	0.659	0.659	Eukaryota;Cnidaria;Myxozoa
Query1824	0.8124	0.8932	0.8124	0.8932	Bacteria;Proteobacteria;Alphaproteobacteria
Query490	0.9071	0.9416	0.9071	0.9416	Bacteria;Proteobacteria;Alphaproteobacteria
Query1455	0.7347	0.7351	0.981	0.9815	Bacteria;Proteobacteria;Alphaproteobacteria
Query1794	0.8638	0.8679	0.9953	1	Bacteria;Proteobacteria;Alphaproteobacteria
Query529	0.5537	0.5547	0.9552	0.9571	Bacteria;Proteobacteria;Alphaproteobacteria
Query1075	0.8728	0.9429	0.8728	0.9429	Bacteria;Proteobacteria;Alphaproteobacteria
Query66	0.8494	0.8534	0.9891	0.9937	Bacteria;Proteobacteria;Alphaproteobacteria
Query219	0.6874	0.6874	0.9599	0.9599	Bacteria;Proteobacteria;Alphaproteobacteria
Query1635	0.8075	0.8075	0.8189	0.8189	Bacteria;Proteobacteria;Alphaproteobacteria
Query420	0.5924	0.5937	0.9627	0.9648	Bacteria;Proteobacteria;Alphaproteobacteria
Query1280	0.6276	0.6298	0.9623	0.9657	Bacteria;Proteobacteria;Alphaproteobacteria
Query1275	0.8593	0.8717	0.8593	0.8717	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
Query1576	0.7037	0.7043	0.9735	0.9744	Bacteria;Proteobacteria;Alphaproteobacteria
Query215	0.6235	0.6235	0.9652	0.9653	Bacteria;Proteobacteria;Alphaproteobacteria
