name	LWR	fract	aLWR	afract	taxopath
Query261	0.8469	0.8469	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query378	0.8897	0.8897	0.8897	0.8897	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query533	0.7064	0.7064	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query366	0.7302	0.7302	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query737	0.8145	0.8145	0.8145	0.8145	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query59	0.4014	0.4014	0.4014	0.4014	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query243	0.605	0.605	1	1	Eukaryota
Query776	0.6082	0.6082	1	1	Eukaryota
Query794	0.6005	0.6005	1	1	Eukaryota
Query753	0.594	0.594	1	1	Eukaryota
Query808	0.6078	0.6078	1	1	Eukaryota
Query381	0.931	0.9315	0.931	0.9315	Eukaryota
Query408	0.6459	0.6478	0.6459	0.6478	Eukaryota;Nematoda;Chromadorea;Plectida
Query370	0.5541	0.5579	0.5541	0.5579	Eukaryota;Nematoda;Chromadorea;Plectida
Query406	0.752	0.752	1	1	Eukaryota
Query530	0.7489	0.7489	1	1	Eukaryota
Query324	0.8301	0.8301	1	1	Eukaryota
Query357	0.929	0.929	0.9583	0.9584	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query245	0.7438	0.7438	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query53	0.7445	0.7726	0.7445	0.7726	DISTANT
Query825	0.5957	0.5957	1	1	Eukaryota
Query140	0.6013	0.6013	1	1	Eukaryota
Query887	0.606	0.606	1	1	Eukaryota
Query831	0.6057	0.6057	1	1	Eukaryota
Query640	0.7927	0.7927	0.9591	0.9591	Eukaryota;Arthropoda;Branchiopoda
Query736	0.4843	0.7838	0.4843	0.7838	DISTANT
Query710	0.4904	0.8373	0.4904	0.8373	DISTANT
Query419	0.5788	0.5788	1	1	Eukaryota
Query629	0.6656	0.6656	0.6656	0.6656	Eukaryota
Query813	0.5343	0.5343	1	1	Eukaryota
Query390	0.598	0.598	0.7249	0.7249	Eukaryota
Query71	0.7777	0.7777	0.7777	0.7777	Eukaryota
Query210	0.9318	0.9321	0.9319	0.9321	Eukaryota
Query624	0.5908	0.5908	0.5908	0.5908	DISTANT
Query815	1	1	1	1	DISTANT
Query581	0.5741	0.5741	0.5741	0.5741	Eukaryota
Query44	0.4958	0.4959	0.6671	0.6672	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query229	0.5724	0.5724	0.5724	0.5724	DISTANT
Query580	0.9453	0.9453	0.9453	0.9453	Eukaryota
Query14	0.9359	0.9359	0.9359	0.9359	Eukaryota;Nematoda;Chromadorea
Query235	0.9124	0.9146	0.9124	0.9146	Eukaryota
Query549	0.7626	0.7626	1	1	Eukaryota
Query799	0.8586	0.8642	0.8586	0.8642	Eukaryota
Query209	0.8476	0.8476	0.8476	0.8476	Eukaryota;Nematoda;Chromadorea
Query340	0.9462	0.9462	0.9462	0.9462	Eukaryota;Nematoda;Chromadorea
Query728	0.9201	0.9226	0.9201	0.9227	Eukaryota
Query811	0.6906	0.6906	1	1	Eukaryota
Query133	0.8887	0.9073	0.8887	0.9073	Eukaryota
Query4	0.9147	0.9147	0.9147	0.9147	Eukaryota;Nematoda;Chromadorea
