name	LWR	fract	aLWR	afract	taxopath
Query1886	0.6572	0.6572	0.9693	0.9693	Eukaryota;Arthropoda;Insecta
Query1173	0.7328	0.7579	0.9348	0.9668	Eukaryota
Query918	0.7801	0.7959	0.9749	0.9946	Eukaryota;Arthropoda;Insecta
Query412	0.7084	0.7341	0.8206	0.8504	Eukaryota;Arthropoda;Insecta
Query909	0.4789	0.4809	0.5403	0.5426	Eukaryota;Arthropoda;Insecta
Query1814	0.8652	0.8683	0.9715	0.9751	Eukaryota;Arthropoda
Query1626	0.3596	0.3673	0.5782	0.5906	Eukaryota;Arthropoda;Insecta
Query1379	0.6152	0.6157	0.9859	0.9867	Eukaryota;Arthropoda;Insecta
Query577	0.6424	0.6445	0.977	0.9802	Eukaryota;Arthropoda;Insecta
Query846	0.7268	0.7552	0.844	0.8769	Eukaryota;Arthropoda
Query782	0.7222	0.724	0.9823	0.9848	Eukaryota;Arthropoda;Insecta
Query14	0.5907	0.5987	0.9658	0.9789	Eukaryota;Arthropoda
Query651	0.5263	0.53	0.9741	0.9809	Eukaryota;Arthropoda
Query1407	0.7887	0.7897	0.975	0.9762	Eukaryota;Arthropoda;Insecta
Query1514	0.4252	0.4252	0.9955	0.9955	Eukaryota;Arthropoda;Insecta
Query530	0.6207	0.6286	0.9538	0.966	Eukaryota;Arthropoda
Query864	0.8666	0.9015	0.9312	0.9688	Eukaryota
Query504	0.855	0.8598	0.9916	0.9971	Eukaryota;Annelida;Clitellata
Query38	0.8254	0.8279	0.9683	0.9712	Eukaryota;Annelida;Clitellata
Query178	0.6864	0.6936	0.9492	0.9592	Eukaryota;Annelida;Clitellata
Query383	0.7853	0.7895	0.9758	0.9811	Eukaryota;Annelida;Clitellata
Query410	0.7972	0.8037	0.9663	0.9741	Eukaryota;Annelida;Clitellata
Query1059	0.622	0.6398	0.622	0.6398	Eukaryota;Annelida;Polychaeta
Query832	0.5045	0.5077	0.5045	0.5077	Eukaryota;Annelida;Clitellata;Haplotaxida
Query336	0.942	0.9485	0.9506	0.9572	Eukaryota;Annelida;Clitellata
Query1653	0.3511	0.3529	0.3511	0.3529	Eukaryota;Annelida;Polychaeta;Spionida
Query833	0.7969	0.7969	0.9748	0.9748	Eukaryota;Annelida;Polychaeta
Query1442	0.5827	0.5827	0.5827	0.5827	Eukaryota;Annelida;Clitellata;Acanthobdellida;Acanthobdella;Acanthobdella;Acanthobdella_peledina
Query402	0.6006	0.6056	0.9486	0.9566	Eukaryota
Query1051	0.8595	0.8617	0.9831	0.9856	Eukaryota;Rotifera;Bdelloidea
Query557	0.4347	0.4421	0.9714	0.9879	Eukaryota;Nematoda
Query549	0.9079	0.9237	0.9512	0.9677	Eukaryota;Nematoda
Query462	0.9663	0.9663	0.9663	0.9663	Eukaryota;Annelida;Polychaeta
Query736	0.3534	0.3688	0.4167	0.4348	Eukaryota;Annelida;Clitellata
Query385	0.8307	0.8343	0.9564	0.9606	Eukaryota
Query1244	0.7839	0.784	0.9656	0.9658	Eukaryota
Query790	0.7518	0.7518	0.9685	0.9685	Eukaryota
Query257	0.8765	0.8765	0.9879	0.9879	Eukaryota
Query1568	0.968	0.9684	0.968	0.9684	Eukaryota;Rhodophyta
Query669	0.4904	0.4906	0.4904	0.4906	Eukaryota;Haptista;Haptophyta;Isochrysidales
Query1324	0.952	0.952	0.952	0.952	Eukaryota
Query1894	0.7669	0.7669	0.8856	0.8856	Archaea
Query1763	0.6991	0.6991	0.9557	0.9557	Archaea
Query1718	0.4923	0.4923	0.4923	0.4923	Eukaryota;Haptista;Haptophyta;Isochrysidales
Query992	0.573	0.9496	0.573	0.9496	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae;Caedimonadaceae
Query1744	0.6936	0.6936	0.9844	0.9844	Eukaryota;Heterolobosea
Query1162	0.9903	0.9903	0.9903	0.9903	Eukaryota
Query726	0.5253	0.5253	0.5253	0.5253	Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula
Query1171	0.6978	0.6978	0.6978	0.6978	Eukaryota;Chlorophyta;Trebouxiophyceae
Query1856	0.4521	0.8238	0.4521	0.8238	Bacteria;Terrabacteria_group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Agrilactobacillus;Agrilactobacillus;composti;Agrilactobacillus;composti;DSM;18527;=;JCM;14202
Query870	0.9355	0.9359	0.9956	0.9961	Eukaryota
Query915	0.8863	0.9291	0.9033	0.9469	Eukaryota
Query447	0.5688	0.9135	0.5874	0.9435	Eukaryota
Query1283	0.793	0.793	1	1	Eukaryota
Query180	0.5315	0.5373	0.9665	0.977	Eukaryota
Query228	0.7394	0.7529	0.9785	0.9964	Eukaryota
Query147	0.3976	1	0.3976	1	Eukaryota;Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;Thecamonas;Thecamonas_trahens
Query196	0.8862	0.9051	0.9715	0.9922	Eukaryota
Query1710	0.3994	0.3994	0.3994	0.3994	Bacteria;Terrabacteria_group;Chloroflexi;Chloroflexi;Chloroflexi;Chloroflexi;environmental;samples;uncultured;Chloroflexi;bacterium;uncultured;Chloroflexi;bacterium
Query1152	0.525	0.525	0.6855	0.6855	Eukaryota
Query1369	0.4016	0.4016	0.4016	0.4016	Bacteria;Terrabacteria_group;Chloroflexi;Chloroflexi;Chloroflexi;Chloroflexi;environmental;samples;uncultured;Chloroflexi;bacterium;uncultured;Chloroflexi;bacterium
Query1282	1	1	1	1	DISTANT
Query1382	1	1	1	1	DISTANT
Query482	0.5959	0.5959	1	1	Bacteria
Query1546	0.9591	0.9592	0.9591	0.9592	Bacteria;FCB_group;Bacteroidetes/Chlorobi_group;Bacteroidetes
Query1608	0.9778	0.9778	0.9778	0.9778	Bacteria
Query1560	0.9484	0.9484	0.9484	0.9484	Bacteria
Query1325	0.6794	0.6794	1	1	Bacteria;PVC_group;Verrucomicrobia
Query1130	0.8772	0.966	0.8772	0.966	Bacteria;Terrabacteria_group;Actinobacteria;Actinomycetia
Query89	0.8579	0.8579	1	1	Bacteria;Terrabacteria_group;Actinobacteria;Actinomycetia
Query965	0.5118	0.5118	1	1	Bacteria;Terrabacteria_group;Actinobacteria;Actinomycetia
Query709	0.5079	0.5079	0.5079	0.5079	Bacteria;Terrabacteria_group;Actinobacteria;Actinomycetia;Candidatus_Nanopelagicales;Candidatus_Nanopelagicaceae
Query1631	0.9055	0.9055	1	1	Bacteria;Terrabacteria_group;Actinobacteria;Actinomycetia;Micrococcales
Query683	0.4076	0.4076	0.4076	0.4076	Bacteria;Terrabacteria_group;Chloroflexi;Chloroflexi;Chloroflexi;Chloroflexi;environmental;samples;uncultured;Chloroflexi;bacterium;uncultured;Chloroflexi;bacterium
Query366	0.6836	0.6842	0.6836	0.6842	Bacteria
Query636	0.8216	0.9243	0.8354	0.9398	Bacteria;Proteobacteria
Query1647	0.7157	0.7157	0.9909	0.9909	Bacteria;Proteobacteria
Query1693	0.5266	0.5266	1	1	Bacteria;Proteobacteria
Query803	0.6035	0.6035	0.9784	0.9784	Bacteria;Proteobacteria
Query1729	0.2423	0.6278	0.3564	0.9234	Bacteria;Proteobacteria
Query1215	0.7943	0.7943	0.7943	0.7943	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae
Query280	0.98	0.9801	0.98	0.9801	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
Query1530	0.7851	0.7851	0.8544	0.8545	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
Query654	0.5582	0.5582	0.5582	0.5582	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae
Query1867	0.7748	0.7762	0.9533	0.9549	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
Query473	0.7994	0.7994	0.9527	0.9527	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
Query1397	0.6021	0.6021	0.9422	0.9422	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
Query1078	0.6335	0.6335	1	1	Bacteria;Proteobacteria
Query666	0.6284	0.6284	0.998	0.998	Bacteria;Proteobacteria
