LWR	fract	aLWR	afract	taxopath
153.1	0.0308	1590	0.3199	Bacteria
96.84	0.01948	145.7	0.02932	Bacteria;Actinobacteria
0	0	1.319	0.0002653	Bacteria;Actinobacteria;Acidimicrobiia
1.319	0.0002653	1.319	0.0002653	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales
0	0	3.961	0.0007969	Bacteria;Actinobacteria;Actinobacteria
3.961	0.0007969	3.961	0.0007969	Bacteria;Actinobacteria;Actinobacteria;incertae_sedis_Thermobispora_Thermobispora_bispora_Thermobispora_bispora_DSM_43833
0	0	8.807	0.001772	Bacteria;Actinobacteria;Kineosporiales
0	0	8.807	0.001772	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae
0	0	8.807	0.001772	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus
8.807	0.001772	8.807	0.001772	Bacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA149
3.413	0.0006867	3.413	0.0006867	Bacteria;Actinobacteria;Propionibacteriales
0	0	13.45	0.002707	Bacteria;Actinobacteria;c_Actinobacteria
0	0	13.45	0.002707	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria
0	0	13.45	0.002707	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria;c_o_f_Actinobacteria
13.45	0.002707	13.45	0.002707	Bacteria;Actinobacteria;c_Actinobacteria;c_o_Actinobacteria;c_o_f_Actinobacteria;actinobacterium_acMicro4
1.168	0.000235	1.168	0.000235	Bacteria;Actinobacteria;Micrococcales
0	0	2.968	0.0005972	Bacteria;Actinobacteria;Catenulisporales
0	0	2.968	0.0005972	Bacteria;Actinobacteria;Catenulisporales;Catenulisporaceae
0	0	2.968	0.0005972	Bacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora
2.968	0.0005972	2.968	0.0005972	Bacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora_acidiphila_DSM_44928
0	0	1	0.0002012	Bacteria;Actinobacteria;Actinomycetales
0	0	1	0.0002012	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae
1	0.0002012	1	0.0002012	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
0	0	1.011	0.0002035	Bacteria;Actinobacteria;Streptomycetales
1.011	0.0002035	1.011	0.0002035	Bacteria;Actinobacteria;Streptomycetales;Streptomycetaceae
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Cryptosporangiales
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium
0.9996	0.0002011	0.9996	0.0002011	Bacteria;Actinobacteria;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium_arvum_DSM_44712
1.27	0.0002556	1.27	0.0002556	Bacteria;Actinobacteria;Corynebacteriales
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Nakamurellales
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella
0.9996	0.0002011	0.9996	0.0002011	Bacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella_multipartita_DSM_44233
0	0	1.5	0.0003018	Bacteria;Actinobacteria;Thermoleophilia
0	0	1.5	0.0003018	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
0	0	1.5	0.0003018	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae
0	0	1.5	0.0003018	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter
1.5	0.0003018	1.5	0.0003018	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter_woesei_DSM_14684
0.9991	0.000201	0.9991	0.000201	Bacteria;Actinobacteria;Streptosporangiales
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Geodermatophilales
0.9996	0.0002011	0.9996	0.0002011	Bacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae
0	0	0.9993	0.0002011	Bacteria;Actinobacteria;Pseudonocardiales
0.9993	0.0002011	0.9993	0.0002011	Bacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae
0.9998	0.0002012	0.9998	0.0002012	Bacteria;Actinobacteria;Acidothermales_Acidothermaceae_Acidothermus_Acidothermus_cellulolyticus_11B
0	0	0.9997	0.0002011	Bacteria;Actinobacteria;Frankiales
0	0	0.9997	0.0002011	Bacteria;Actinobacteria;Frankiales;Frankiaceae
0.9997	0.0002011	0.9997	0.0002011	Bacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Glycomycetales
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Glycomycetales;Glycomycetaceae
0	0	0.9996	0.0002011	Bacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Stackebrandtia
0.9996	0.0002011	0.9996	0.0002011	Bacteria;Actinobacteria;Glycomycetales;Glycomycetaceae;Stackebrandtia;Stackebrandtia_nassauensis_DSM_44728
0	0	0.9994	0.0002011	Bacteria;Actinobacteria;Micromonosporales
0.9994	0.0002011	0.9994	0.0002011	Bacteria;Actinobacteria;Micromonosporales;Micromonosporaceae
6.498	0.001307	23.27	0.004682	Bacteria;Verrucomicrobia
0	0	12.52	0.002518	Bacteria;Verrucomicrobia;Methylacidiphilae
0	0	12.52	0.002518	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales
0	0	12.52	0.002518	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae
12.52	0.002518	12.52	0.002518	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum
0	0	1.194	0.0002403	Bacteria;Verrucomicrobia;Opitutae
0	0	1.194	0.0002403	Bacteria;Verrucomicrobia;Opitutae;Opitutales
1.194	0.0002403	1.194	0.0002403	Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae
0	0	1.064	0.0002142	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales
0	0	1.064	0.0002142	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae
0	0	1.064	0.0002142	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae;Coraliomargarita
1.064	0.0002142	1.064	0.0002142	Bacteria;Verrucomicrobia;Opitutae_Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita_akajimensis_DSM_45221
0	0	0.9998	0.0002012	Bacteria;Verrucomicrobia;Spartobacteria
0	0	0.9998	0.0002012	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales
0	0	0.9998	0.0002012	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
0	0	0.9998	0.0002012	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter
0.9998	0.0002012	0.9998	0.0002012	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;Chthoniobacter_flavus_Ellin428
0	0	0.9999	0.0002012	Bacteria;Verrucomicrobia;Verrucomicrobiae
0	0	0.9999	0.0002012	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales
0	0	0.9999	0.0002012	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia_subdivision_3_Pedosphaera
0.9999	0.0002012	0.9999	0.0002012	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia_subdivision_3_Pedosphaera;Pedosphaera_parvula_Ellin514
0.00059	1.187e-07	7	0.001408	Bacteria;Chloroflexi
0.0004643	9.342e-08	2	0.0004024	Bacteria;Chloroflexi;Thermomicrobia
0	0	0.9997	0.0002011	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales
0	0	0.9997	0.0002011	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae
0	0	0.9997	0.0002011	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter
0.9997	0.0002011	0.9997	0.0002011	Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter_thermophilus_DSM_20745
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium
0.9998	0.0002012	0.9998	0.0002012	Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium;Thermomicrobium_roseum_DSM_5159
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Anaerolineae
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea
0.9999	0.0002012	0.9999	0.0002012	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;Anaerolinea_thermophila_UNI1
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Ktedonobacteria
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae
0	0	0.9999	0.0002012	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter
0.9999	0.0002012	0.9999	0.0002012	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;Ktedonobacter_racemifer_DSM_44963
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Caldilineae
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Caldilineae;Caldilineales
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea
0.9998	0.0002012	0.9998	0.0002012	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Caldilinea_aerophila_DSM_14535_=_NBRC_104270
0	0	0.9997	0.0002012	Bacteria;Chloroflexi;p_Chloroflexi
0	0	0.9997	0.0002012	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi
0	0	0.9997	0.0002012	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi
0	0	0.9997	0.0002012	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi
0.9997	0.0002012	0.9997	0.0002012	Bacteria;Chloroflexi;p_Chloroflexi;p_c_Chloroflexi;p_c_o_Chloroflexi;p_c_o_f_Chloroflexi;uncultured_Chloroflexi_bacterium
0	0	0.9998	0.0002012	Bacteria;Chloroflexi;Chloroflexia
0.9998	0.0002012	0.9998	0.0002012	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales
0	0	5.391	0.001085	Bacteria;Planctomycetes
1.392	0.00028	4.391	0.0008836	Bacteria;Planctomycetes;Planctomycetia
0	0	0.9999	0.0002012	Bacteria;Planctomycetes;Planctomycetia;Isosphaerales
0.9999	0.0002012	0.9999	0.0002012	Bacteria;Planctomycetes;Planctomycetia;Isosphaerales;Isosphaeraceae
0.9999	0.0002012	0.9999	0.0002012	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales
