name	LWR	fract	aLWR	afract	taxopath
Query1442	0	0	0.9882	0.9883	Eukaryota
Query1442	0	0	0.9882	0.9883	Eukaryota;Annelida
Query1442	0.3726	0.3726	0.9882	0.9883	Eukaryota;Annelida;Clitellata
Query1442	0	0	0.6156	0.6156	Eukaryota;Annelida;Clitellata;Acanthobdellida
Query1442	0	0	0.6156	0.6156	Eukaryota;Annelida;Clitellata;Acanthobdellida;Acanthobdella
Query1442	0	0	0.6156	0.6156	Eukaryota;Annelida;Clitellata;Acanthobdellida;Acanthobdella;Acanthobdella
Query1442	0.6156	0.6156	0.6156	0.6156	Eukaryota;Annelida;Clitellata;Acanthobdellida;Acanthobdella;Acanthobdella;Acanthobdella_peledina
Query1442	0.01175	0.01175	0.01175	0.01175	DISTANT
Query892	0.8757	0.8757	1	1	Eukaryota
Query892	0	0	0.1243	0.1243	Eukaryota;Xenacoelomorpha
Query892	0	0	0.1243	0.1243	Eukaryota;Xenacoelomorpha;Nemertodermatida
Query892	0	0	0.1243	0.1243	Eukaryota;Xenacoelomorpha;Nemertodermatida;Nemertodermatida
Query892	0.1243	0.1243	0.1243	0.1243	Eukaryota;Xenacoelomorpha;Nemertodermatida;Nemertodermatida;Nemertodermatidae
Query651	0	0	0.9722	0.9788	Eukaryota
Query651	0.6579	0.6624	0.9722	0.9788	Eukaryota;Arthropoda
Query651	0.3016	0.3036	0.3143	0.3164	Eukaryota;Arthropoda;Insecta
Query651	0.006392	0.006435	0.006392	0.006435	Eukaryota;Arthropoda;Insecta;Diptera
Query651	0.006305	0.006347	0.006305	0.006347	Eukaryota;Arthropoda;Insecta;Archaeognatha
Query651	0.02109	0.02123	0.02109	0.02123	DISTANT
Query165	0.01584	0.01588	0.9831	0.9856	Eukaryota
Query165	0.5802	0.5816	0.9673	0.9697	Eukaryota;Arthropoda
Query165	0	0	0.05304	0.05318	Eukaryota;Arthropoda;Insecta
Query165	0.05304	0.05318	0.05304	0.05318	Eukaryota;Arthropoda;Insecta;Plecoptera
Query165	0.205	0.2055	0.3341	0.3349	Eukaryota;Arthropoda;Branchiopoda
Query165	0.1291	0.1294	0.1291	0.1294	Eukaryota;Arthropoda;Branchiopoda;Anostraca
Query165	0.01434	0.01437	0.01434	0.01437	DISTANT
Query412	8.306e-05	8.52e-05	0.9455	0.9698	Eukaryota
Query412	0.8683	0.8906	0.9455	0.9697	Eukaryota;Arthropoda
Query412	0.06148	0.06306	0.0772	0.07918	Eukaryota;Arthropoda;Insecta
Query412	0.01304	0.01338	0.01304	0.01338	Eukaryota;Arthropoda;Insecta;Dermaptera
Query412	3.672e-06	3.766e-06	3.672e-06	3.766e-06	Eukaryota;Arthropoda;Insecta;Plecoptera
Query412	0.002665	0.002733	0.002665	0.002733	Eukaryota;Arthropoda;Insecta;Ephemeroptera
