name	LWR	fract	aLWR	afract	taxopath
Query261	0	0	1	1	Archaea
Query261	0	0	1	1	Archaea;Euryarchaeota
Query261	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query261	0.8469	0.8469	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query261	0.1531	0.1531	0.1531	0.1531	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query378	0	0	0.8897	0.8897	Archaea
Query378	0	0	0.8897	0.8897	Archaea;Euryarchaeota
Query378	0	0	0.8897	0.8897	Archaea;Euryarchaeota;environmental_samples
Query378	0.8897	0.8897	0.8897	0.8897	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query378	9.797e-07	9.797e-07	9.797e-07	9.797e-07	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query378	0.1103	0.1103	0.1103	0.1103	DISTANT
Query533	0	0	1	1	Archaea
Query533	0	0	1	1	Archaea;Euryarchaeota
Query533	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query533	0.7064	0.7064	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query533	0.2936	0.2936	0.2936	0.2936	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query366	0	0	1	1	Archaea
Query366	0	0	1	1	Archaea;Euryarchaeota
Query366	0	0	1	1	Archaea;Euryarchaeota;environmental_samples
Query366	0.7302	0.7302	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query366	0.2698	0.2698	0.2698	0.2698	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III;euryarchaeote_AD1000_61_A07
Query737	0	0	0.8145	0.8145	Archaea
Query737	0	0	0.8145	0.8145	Archaea;Euryarchaeota
Query737	0	0	0.8145	0.8145	Archaea;Euryarchaeota;environmental_samples
Query737	0.8145	0.8145	0.8145	0.8145	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query737	0.1855	0.1855	0.1855	0.1855	DISTANT
Query59	0	0	0.8027	0.8027	Eukaryota
Query59	0	0	0.8027	0.8027	Eukaryota;Cnidaria
Query59	0.4014	0.4014	0.8027	0.8027	Eukaryota;Cnidaria;Myxozoa
Query59	0	0	0.4014	0.4014	Eukaryota;Cnidaria;Myxozoa;Multivalvulida
Query59	0	0	0.4014	0.4014	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae
Query59	0.4014	0.4014	0.4014	0.4014	Eukaryota;Cnidaria;Myxozoa;Multivalvulida;Kudoidae;Kudoa
Query59	0.1973	0.1973	0.1973	0.1973	DISTANT
