name	LWR	fract	aLWR	afract	taxopath
Query1886	0.005915	0.005915	0.9752	0.9752	Eukaryota
Query1886	0	0	0.9693	0.9693	Eukaryota;Arthropoda
Query1886	0.6572	0.6572	0.9693	0.9693	Eukaryota;Arthropoda;Insecta
Query1886	0.2604	0.2604	0.2604	0.2604	Eukaryota;Arthropoda;Insecta;Hymenoptera
Query1886	0.02267	0.02267	0.02267	0.02267	Eukaryota;Arthropoda;Insecta;Lepidoptera
Query1886	0.02898	0.02898	0.02898	0.02898	Eukaryota;Arthropoda;Insecta;Hemiptera
Query1886	0.02481	0.02481	0.02481	0.02481	DISTANT
Query1173	0.7328	0.7579	0.9348	0.9668	Eukaryota
Query1173	0	0	0.04573	0.04729	Eukaryota;Chaetognatha
Query1173	0.04573	0.04729	0.04573	0.04729	Eukaryota;Chaetognatha;Sagittoidea
Query1173	0	0	0.1562	0.1616	Eukaryota;Annelida
Query1173	0.132	0.1365	0.1562	0.1616	Eukaryota;Annelida;Polychaeta
Query1173	0	0	0.02424	0.02507	Eukaryota;Annelida;Polychaeta;Dinophilidae
Query1173	0.02424	0.02507	0.02424	0.02507	Eukaryota;Annelida;Polychaeta;Dinophilidae;Dinophilidae
Query1173	0.03211	0.03321	0.03211	0.03321	DISTANT
Query918	0	0	0.9749	0.9946	Eukaryota
Query918	0	0	0.9749	0.9946	Eukaryota;Arthropoda
Query918	0.7801	0.7959	0.9749	0.9946	Eukaryota;Arthropoda;Insecta
Query918	0.1736	0.1771	0.1736	0.1771	Eukaryota;Arthropoda;Insecta;Archaeognatha
Query918	0.02119	0.02162	0.02119	0.02162	Eukaryota;Arthropoda;Insecta;Dermaptera
Query918	0.005304	0.005412	0.005304	0.005412	DISTANT
Query412	0	0	0.9517	0.9862	Eukaryota
Query412	0.131	0.1358	0.9517	0.9862	Eukaryota;Arthropoda
Query412	0.7084	0.7341	0.8206	0.8504	Eukaryota;Arthropoda;Insecta
Query412	0.09429	0.09771	0.09429	0.09771	Eukaryota;Arthropoda;Insecta;Dermaptera
Query412	0.01792	0.01857	0.01792	0.01857	Eukaryota;Arthropoda;Insecta;Archaeognatha
Query412	0.01335	0.01384	0.01335	0.01384	DISTANT
Query909	0	0	0.973	0.977	Eukaryota
Query909	0.4326	0.4344	0.973	0.977	Eukaryota;Arthropoda
Query909	0.4789	0.4809	0.5403	0.5426	Eukaryota;Arthropoda;Insecta
Query909	0.0614	0.06165	0.0614	0.06165	Eukaryota;Arthropoda;Insecta;Diptera
Query909	0.02286	0.02295	0.02286	0.02295	DISTANT
Query1814	0	0	0.9715	0.9751	Eukaryota
Query1814	0.8652	0.8683	0.9715	0.9751	Eukaryota;Arthropoda
Query1814	0.005121	0.005139	0.1063	0.1067	Eukaryota;Arthropoda;Insecta
Query1814	0.1012	0.1016	0.1012	0.1016	Eukaryota;Arthropoda;Insecta;Plecoptera
Query1814	0.02485	0.02495	0.02485	0.02495	DISTANT
Query1626	0	0	0.9574	0.9779	Eukaryota
Query1626	0.105	0.1073	0.9574	0.9779	Eukaryota;Arthropoda
Query1626	0.3596	0.3673	0.5782	0.5906	Eukaryota;Arthropoda;Insecta
Query1626	0.2186	0.2233	0.2186	0.2233	Eukaryota;Arthropoda;Insecta;Mecoptera
Query1626	0.2073	0.2117	0.2742	0.2801	Eukaryota;Arthropoda;Branchiopoda
Query1626	0.06693	0.06837	0.06693	0.06837	Eukaryota;Arthropoda;Branchiopoda;Anostraca
Query1626	0.02163	0.02209	0.02163	0.02209	DISTANT
Query1379	0	0	0.9887	0.9895	Eukaryota
Query1379	0.002753	0.002755	0.9887	0.9895	Eukaryota;Arthropoda
Query1379	0.6152	0.6157	0.9859	0.9867	Eukaryota;Arthropoda;Insecta
Query1379	0.37	0.3703	0.37	0.3703	Eukaryota;Arthropoda;Insecta;Mecoptera
Query1379	0.0006937	0.0006942	0.0006937	0.0006942	Eukaryota;Arthropoda;Insecta;Diptera
Query1379	0.0105	0.01051	0.0105	0.01051	DISTANT
Query577	0	0	0.977	0.9802	Eukaryota
Query577	0	0	0.977	0.9802	Eukaryota;Arthropoda
Query577	0.6424	0.6445	0.977	0.9802	Eukaryota;Arthropoda;Insecta
Query577	0.2693	0.2702	0.2693	0.2702	Eukaryota;Arthropoda;Insecta;Diptera
Query577	0.06533	0.06554	0.06533	0.06554	Eukaryota;Arthropoda;Insecta;Mecoptera
Query577	0.01976	0.01982	0.01976	0.01982	DISTANT
Query846	0.09212	0.09571	0.9361	0.9727	Eukaryota
Query846	0.7268	0.7552	0.844	0.8769	Eukaryota;Arthropoda
Query846	0.03886	0.04038	0.03886	0.04038	Eukaryota;Arthropoda;Insecta
Query846	4.539e-06	4.716e-06	4.539e-06	4.716e-06	Eukaryota;Arthropoda;Insecta;Plecoptera
Query846	0.07835	0.0814	0.07835	0.0814	Eukaryota;Arthropoda;Malacostraca
Query846	0.02632	0.02735	0.02632	0.02735	DISTANT
Query782	0	0	0.9936	0.9961	Eukaryota
Query782	0.01131	0.01134	0.9936	0.9961	Eukaryota;Arthropoda
Query782	0.7222	0.724	0.9823	0.9848	Eukaryota;Arthropoda;Insecta
Query782	0.2208	0.2214	0.2208	0.2214	Eukaryota;Arthropoda;Insecta;Archaeognatha
Query782	0.01594	0.01598	0.01594	0.01598	Eukaryota;Arthropoda;Insecta;Dermaptera
Query782	0.02333	0.02339	0.02333	0.02339	Eukaryota;Arthropoda;Insecta;Diptera
Query782	0.003865	0.003875	0.003865	0.003875	DISTANT
Query14	0	0	0.9658	0.9789	Eukaryota
Query14	0.5907	0.5987	0.9658	0.9789	Eukaryota;Arthropoda
Query14	0.3136	0.3178	0.3751	0.3801	Eukaryota;Arthropoda;Insecta
Query14	0.04952	0.0502	0.04952	0.0502	Eukaryota;Arthropoda;Insecta;Archaeognatha
Query14	0.01196	0.01212	0.01196	0.01212	Eukaryota;Arthropoda;Insecta;Diptera
Query14	0.02085	0.02113	0.02085	0.02113	DISTANT
Query651	0	0	0.9741	0.9809	Eukaryota
Query651	0.5263	0.53	0.9741	0.9809	Eukaryota;Arthropoda
Query651	0.405	0.4078	0.4478	0.4509	Eukaryota;Arthropoda;Insecta
Query651	0.03997	0.04025	0.03997	0.04025	Eukaryota;Arthropoda;Insecta;Archaeognatha
Query651	0.002821	0.00284	0.002821	0.00284	Eukaryota;Arthropoda;Insecta;Diptera
Query651	0.01899	0.01912	0.01899	0.01912	DISTANT
Query1407	0	0	0.975	0.9762	Eukaryota
Query1407	0	0	0.975	0.9762	Eukaryota;Arthropoda
Query1407	0.7887	0.7897	0.975	0.9762	Eukaryota;Arthropoda;Insecta
Query1407	0.1863	0.1865	0.1863	0.1865	Eukaryota;Arthropoda;Insecta;Blattodea
Query1407	0.02379	0.02382	0.02379	0.02382	DISTANT
Query1514	0	0	0.9955	0.9955	Eukaryota
Query1514	0	0	0.9955	0.9955	Eukaryota;Arthropoda
Query1514	0.4252	0.4252	0.9955	0.9955	Eukaryota;Arthropoda;Insecta
Query1514	0.4252	0.4252	0.4252	0.4252	Eukaryota;Arthropoda;Insecta;Phasmatodea
Query1514	0.1451	0.1451	0.1451	0.1451	Eukaryota;Arthropoda;Insecta;Mantophasmatodea
Query1514	0.00452	0.00452	0.00452	0.00452	DISTANT
Query530	0	0	0.9538	0.966	Eukaryota
