LWR	fract	aLWR	afract	taxopath
339.2	0.2001	1041	0.6141	Eukaryota
20.06	0.01183	84.86	0.05004	Eukaryota;Arthropoda
34.08	0.0201	51.47	0.03036	Eukaryota;Arthropoda;Insecta
1.09	0.0006427	1.09	0.0006427	Eukaryota;Arthropoda;Insecta;Hymenoptera
0.02677	1.579e-05	0.02677	1.579e-05	Eukaryota;Arthropoda;Insecta;Lepidoptera
1.206	0.0007111	1.206	0.0007111	Eukaryota;Arthropoda;Insecta;Hemiptera
1.02	0.0006017	1.02	0.0006017	Eukaryota;Arthropoda;Insecta;Archaeognatha
0.9718	0.0005731	0.9718	0.0005731	Eukaryota;Arthropoda;Insecta;Dermaptera
3.645	0.00215	3.645	0.00215	Eukaryota;Arthropoda;Insecta;Diptera
0.9441	0.0005568	0.9441	0.0005568	Eukaryota;Arthropoda;Insecta;Plecoptera
3.551	0.002094	3.551	0.002094	Eukaryota;Arthropoda;Insecta;Mecoptera
0.2178	0.0001285	0.2178	0.0001285	Eukaryota;Arthropoda;Insecta;Blattodea
1.039	0.000613	1.039	0.000613	Eukaryota;Arthropoda;Insecta;Phasmatodea
1.234	0.0007279	1.234	0.0007279	Eukaryota;Arthropoda;Insecta;Mantophasmatodea
0	0	0.08071	4.76e-05	Eukaryota;Arthropoda;Insecta;Zoraptera
0.08071	4.76e-05	0.08071	4.76e-05	Eukaryota;Arthropoda;Insecta;Zoraptera;Zorotypidae
0.001437	8.474e-07	0.001437	8.474e-07	Eukaryota;Arthropoda;Insecta;Raphidioptera
1.285	0.000758	1.285	0.000758	Eukaryota;Arthropoda;Insecta;Ephemeroptera
0.3628	0.0002139	0.3628	0.0002139	Eukaryota;Arthropoda;Insecta;Neuroptera
0.08653	5.103e-05	0.08653	5.103e-05	Eukaryota;Arthropoda;Insecta;Orthoptera
0.0147	8.667e-06	0.0147	8.667e-06	Eukaryota;Arthropoda;Insecta;Mantodea
0.4389	0.0002588	0.4389	0.0002588	Eukaryota;Arthropoda;Insecta;Trichoptera
0.1797	0.000106	0.1797	0.000106	Eukaryota;Arthropoda;Insecta;Odonata
1.518	0.0008951	2.115	0.001247	Eukaryota;Arthropoda;Branchiopoda
0.3423	0.0002019	0.3423	0.0002019	Eukaryota;Arthropoda;Branchiopoda;Anostraca
0.2119	0.000125	0.2119	0.000125	Eukaryota;Arthropoda;Branchiopoda;Diplostraca
0	0	0.04317	2.546e-05	Eukaryota;Arthropoda;Branchiopoda;Notostraca
0.04317	2.546e-05	0.04317	2.546e-05	Eukaryota;Arthropoda;Branchiopoda;Notostraca;Triopsidae
0.7597	0.000448	1.078	0.0006358	Eukaryota;Arthropoda;Malacostraca
0.08127	4.793e-05	0.08127	4.793e-05	Eukaryota;Arthropoda;Malacostraca;Mysida
0.2371	0.0001398	0.2371	0.0001398	Eukaryota;Arthropoda;Malacostraca;Isopoda
2.056	0.001213	3.544	0.00209	Eukaryota;Arthropoda;Diplopoda
0	0	0.3952	0.000233	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida
0	0	0.3952	0.000233	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae
0	0	0.3952	0.000233	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus
0.3952	0.000233	0.3952	0.000233	Eukaryota;Arthropoda;Diplopoda;Glomeridesmida;Glomeridesmidae;Glomeridesmus;Glomeridesmus_spelaeus
0.1841	0.0001086	0.1841	0.0001086	Eukaryota;Arthropoda;Diplopoda;Callipodida
0	0	0.2529	0.0001492	Eukaryota;Arthropoda;Diplopoda;Siphonophorida
0.2529	0.0001492	0.2529	0.0001492	Eukaryota;Arthropoda;Diplopoda;Siphonophorida;Siphonophoridae
0.6563	0.0003871	0.6563	0.0003871	Eukaryota;Arthropoda;Diplopoda;Julida
0	0	6.534e-07	3.853e-10	Eukaryota;Arthropoda;Symphyla
0	0	6.534e-07	3.853e-10	Eukaryota;Arthropoda;Symphyla;Scutigerellidae
0	0	6.534e-07	3.853e-10	Eukaryota;Arthropoda;Symphyla;Scutigerellidae;Scutigerellidae
0	0	6.534e-07	3.853e-10	Eukaryota;Arthropoda;Symphyla;Scutigerellidae;Scutigerellidae;Scutigerella
6.534e-07	3.853e-10	6.534e-07	3.853e-10	Eukaryota;Arthropoda;Symphyla;Scutigerellidae;Scutigerellidae;Scutigerella;Scutigerella_causeyae
0	0	2.359	0.001391	Eukaryota;Arthropoda;Arachnida
0	0	0.003892	2.295e-06	Eukaryota;Arthropoda;Arachnida;Uropygi
0.003892	2.295e-06	0.003892	2.295e-06	Eukaryota;Arthropoda;Arachnida;Uropygi;Thelyphonidae
2.355	0.001389	2.355	0.001389	Eukaryota;Arthropoda;Arachnida;Trombidiformes
0	0	0.2704	0.0001595	Eukaryota;Arthropoda;Ichthyostraca
0	0	0.2704	0.0001595	Eukaryota;Arthropoda;Ichthyostraca;Arguloida
0	0	0.2704	0.0001595	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae
0.2704	0.0001595	0.2704	0.0001595	Eukaryota;Arthropoda;Ichthyostraca;Arguloida;Argulidae;Argulus
