OTU	amplicon	ERR0000001	ERR0000002	ERR0000003	total
31	ERR1:85870.703571	7	0	0	7
57	ERR1:15590.697441	11	0	0	11
114	ERR1:49290.646866	4	0	0	4
147	ERR2:364560.739640	0	26	0	26
181	ERR1:101360.624922	2	0	0	2
184	ERR1:105420.705626	2	0	0	2
188	ERR1:126950.707839	2	0	0	2
189	ERR1:127240.719961	2	0	0	2
190	ERR1:12800.726802	2	0	0	2
192	ERR1:129360.730578	2	0	0	2
193	ERR1:12980.715698	2	0	0	2
194	ERR1:131400.608977	14	0	0	14
197	ERR1:139590.615208	2	0	0	2
198	ERR1:142440.605682	2	0	0	2
200	ERR1:143020.737052	2	0	0	2
202	ERR1:14730.733156	2	0	0	2
204	ERR1:148790.715256	2	0	0	2
207	ERR1:153920.703743	2	0	0	2
209	ERR1:155130.706513	2	0	0	2
211	ERR1:155610.632554	2	0	0	2
212	ERR1:15900.716910	2	0	0	2
214	ERR1:166740.614601	2	0	0	2
216	ERR1:179790.736607	2	0	0	2
217	ERR1:180210.700293	2	0	0	2
219	ERR1:190.744014	2	0	0	2
220	ERR1:201140.628050	2	0	0	2
221	ERR1:205300.725261	2	0	0	2
226	ERR1:218420.602075	2	0	0	2
229	ERR1:225620.602590	1	0	0	1
231	ERR1:230420.606766	1	0	0	1
234	ERR1:234880.671636	2	0	0	2
236	ERR1:24210.736454	2	0	0	2
237	ERR1:24230.658016	1	0	0	1
238	ERR1:243190.685612	2	0	0	2
240	ERR1:245320.740271	2	0	0	2
241	ERR1:2460.682212	2	0	0	2
242	ERR1:249180.708654	2	0	0	2
245	ERR1:256880.716624	2	0	0	2
246	ERR1:25900.734330	2	0	0	2
247	ERR1:26100.701279	2	0	0	2
251	ERR1:26710.694074	2	0	0	2
252	ERR1:268840.725966	2	0	0	2
253	ERR1:276840.737302	1	0	0	1
254	ERR1:279270.630603	2	0	0	2
255	ERR1:287370.661803	1	0	0	1
257	ERR1:294460.602588	2	0	0	2
258	ERR1:297880.670918	2	0	0	2
259	ERR1:306840.721627	2	0	0	2
260	ERR1:308250.629093	2	0	0	2
262	ERR1:321240.684461	2	0	0	2
264	ERR1:329860.734753	2	0	0	2
265	ERR1:330850.724536	2	0	0	2
266	ERR1:336360.647017	2	0	0	2
267	ERR1:338180.608702	2	0	0	2
268	ERR1:342310.612265	2	0	0	2
270	ERR1:34740.657435	2	0	0	2
272	ERR1:358760.634229	1	0	0	1
275	ERR1:379000.715777	2	0	0	2
277	ERR1:401070.612164	1	0	0	1
278	ERR1:401650.714688	2	0	0	2
279	ERR1:408370.626164	2	0	0	2
280	ERR1:411300.707297	2	0	0	2
281	ERR1:415730.676447	2	0	0	2
283	ERR1:42710.700421	5	0	0	5
285	ERR1:430360.723332	2	0	0	2
286	ERR1:431330.724413	2	0	0	2
287	ERR1:434530.727690	2	0	0	2
293	ERR1:474880.640622	2	0	0	2
295	ERR1:484290.663109	1	0	0	1
297	ERR1:503420.740217	2	0	0	2
298	ERR1:508290.654092	2	0	0	2
300	ERR1:513410.680788	2	0	0	2
