amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR2:28890.729372	0	23	0	23
ERR1:61920.734377	14	0	0	14
ERR1:15530.727871	13	0	0	13
ERR1:42040.719959	13	0	0	13
ERR1:48980.738870	12	0	0	12
ERR1:61370.729744	12	0	0	12
ERR2:117430.705411	0	12	0	12
ERR1:48490.689855	11	0	0	11
ERR2:109720.711563	0	11	0	11
ERR2:11820.729634	0	11	0	11
ERR2:1940.729408	0	11	0	11
ERR2:25930.722929	0	11	0	11
ERR2:26110.718343	0	11	0	11
ERR2:61330.733311	0	11	0	11
ERR1:143680.718507	10	0	0	10
ERR1:147520.723206	10	0	0	10
ERR1:62840.721632	10	0	0	10
ERR2:106040.721372	0	10	0	10
ERR2:1510.715597	0	10	0	10
ERR2:960.712377	0	10	0	10
ERR1:52980.743114	9	0	0	9
ERR2:132410.715584	0	9	0	9
ERR2:133020.714761	0	9	0	9
ERR2:180370.719574	0	9	0	9
ERR2:32460.726820	0	9	0	9
ERR2:35130.718538	0	9	0	9
ERR1:102230.640011	8	0	0	8
ERR1:112300.714138	8	0	0	8
ERR1:212850.731823	8	0	0	8
ERR1:28970.722211	8	0	0	8
ERR1:47100.683955	8	0	0	8
ERR1:83070.708974	8	0	0	8
ERR2:100960.712887	0	8	0	8
ERR2:183570.734688	0	8	0	8
ERR2:28190.719415	0	8	0	8
ERR2:30490.731841	0	8	0	8
ERR2:30950.737880	0	8	0	8
ERR2:38620.730761	0	8	0	8
ERR2:387120.684437	0	8	0	8
ERR2:62360.735779	0	8	0	8
ERR2:69500.729923	0	8	0	8
ERR2:76330.720941	0	8	0	8
ERR2:92020.723116	0	8	0	8
ERR3:58840.728104	0	0	8	8
ERR1:104520.727679	7	0	0	7
ERR1:105100.713367	7	0	0	7
ERR1:14470.720447	7	0	0	7
ERR1:155230.697690	7	0	0	7
ERR1:212870.666006	7	0	0	7
ERR1:27350.696321	7	0	0	7
ERR1:35660.728759	7	0	0	7
ERR1:69550.724851	7	0	0	7
ERR1:80810.727426	7	0	0	7
ERR1:89980.701119	7	0	0	7
ERR1:93750.714693	7	0	0	7
ERR2:100390.741561	0	7	0	7
ERR2:103630.728874	0	7	0	7
ERR2:118170.718573	0	7	0	7
ERR2:122720.737793	0	7	0	7
ERR2:141920.719219	0	7	0	7
ERR2:15200.742918	0	7	0	7
ERR2:190640.731582	0	7	0	7
ERR2:210700.736848	0	7	0	7
