OTU	amplicon	ERR0000001	total
78	ERR1:118760.687398	2	2
148	ERR1:204470.691540	2	2
149	ERR1:2047220.687645	2	2
150	ERR1:2092690.654844	2	2
162	ERR1:251160.647100	2	2
174	ERR1:388050.610564	2	2
180	ERR1:444760.651752	2	2
204	ERR1:634490.698892	2	2
241	ERR1:96320.661655	2	2
249	ERR1:1000120.616194	1	1
250	ERR1:1000140.656086	1	1
255	ERR1:1000300.603636	1	1
261	ERR1:1000680.604973	2	2
262	ERR1:100070.701478	1	1
264	ERR1:1000830.640922	1	1
265	ERR1:1000860.670963	2	2
272	ERR1:1001200.659490	1	1
273	ERR1:1001260.626323	1	1
278	ERR1:1001400.632019	1	1
281	ERR1:100180.606858	1	1
287	ERR1:100200.681889	1	1
288	ERR1:1002070.682218	1	1
291	ERR1:100270.677445	2	2
292	ERR1:100290.699435	1	1
293	ERR1:1002980.610655	1	1
294	ERR1:1003010.675796	1	1
295	ERR1:1003090.622606	2	2
296	ERR1:100310.696063	1	1
298	ERR1:1003150.697963	1	1
301	ERR1:100330.668225	1	1
302	ERR1:1003360.612051	1	1
303	ERR1:1003380.685628	1	1
306	ERR1:1003430.689612	2	2
309	ERR1:1003610.721994	1	1
313	ERR1:100370.674001	1	1
320	ERR1:1003890.657911	1	1
321	ERR1:1003910.750746	1	1
324	ERR1:100400.627108	1	1
325	ERR1:1004020.711546	1	1
326	ERR1:1004050.602900	1	1
327	ERR1:1004070.633614	1	1
329	ERR1:1004120.682960	1	1
331	ERR1:1004170.638472	1	1
335	ERR1:1004260.675461	1	1
336	ERR1:1004280.698680	1	1
343	ERR1:1004440.686456	1	1
344	ERR1:1004510.674423	1	1
346	ERR1:1004550.610178	1	1
350	ERR1:1004670.744819	1	1
352	ERR1:1004750.678265	2	2
358	ERR1:1004850.678785	1	1
362	ERR1:1004940.707886	1	1
363	ERR1:1004950.717085	1	1
365	ERR1:10050.700464	1	1
366	ERR1:1005010.604922	1	1
367	ERR1:1005060.682191	1	1
368	ERR1:1005070.673589	1	1
369	ERR1:1005080.669172	1	1
371	ERR1:1005100.692230	1	1
378	ERR1:1005210.601111	1	1
382	ERR1:1005380.714360	1	1
384	ERR1:1005420.671669	1	1
385	ERR1:1005440.631446	1	1
386	ERR1:1005450.622157	2	2
387	ERR1:1005460.617319	2	2
391	ERR1:1005530.724721	2	2
392	ERR1:1005550.671037	1	1
393	ERR1:100560.700041	1	1
394	ERR1:1005670.721701	1	1
395	ERR1:1005680.692779	1	1
398	ERR1:1005760.734794	1	1
399	ERR1:1005780.641098	2	2
402	ERR1:1005860.630696	1	1
403	ERR1:1005880.655489	2	2
404	ERR1:1005930.703096	1	1
406	ERR1:1005970.722918	1	1
409	ERR1:1006070.674419	2	2
413	ERR1:1006220.677592	2	2
415	ERR1:1006260.614972	1	1
416	ERR1:1006310.738319	1	1
418	ERR1:1006370.631639	1	1
423	ERR1:1006530.718269	1	1
427	ERR1:1006590.633197	1	1
429	ERR1:1006600.731788	2	2
431	ERR1:1006670.707487	1	1
433	ERR1:1006710.699031	1	1
437	ERR1:1006810.630693	1	1
438	ERR1:1006830.650901	1	1
442	ERR1:1006880.642020	2	2
443	ERR1:1006890.688395	1	1
445	ERR1:1006940.615166	1	1
446	ERR1:1006970.616904	1	1
448	ERR1:10070.600991	1	1
451	ERR1:1007070.641577	1	1
453	ERR1:100710.657475	1	1
455	ERR1:1007130.685486	1	1
456	ERR1:1007180.727527	1	1
458	ERR1:1007230.714821	1	1
462	ERR1:1007310.697740	1	1
464	ERR1:1007350.724541	1	1
465	ERR1:1007400.676393	2	2
466	ERR1:1007420.709547	1	1
468	ERR1:1007510.611022	1	1
471	ERR1:1007600.633798	2	2
472	ERR1:1007610.665937	1	1
475	ERR1:1007670.603919	1	1
476	ERR1:100770.638331	2	2
477	ERR1:1007740.719198	1	1
478	ERR1:1007790.659654	1	1
479	ERR1:100780.601084	1	1
481	ERR1:1007830.643634	1	1
482	ERR1:1007850.716331	1	1
489	ERR1:1008160.644549	1	1
492	ERR1:1008220.641511	2	2
493	ERR1:1008320.618581	1	1
494	ERR1:1008360.712634	1	1
497	ERR1:1008490.623498	1	1
501	ERR1:1008660.632703	1	1
502	ERR1:1008680.603350	2	2
504	ERR1:1008750.685646	1	1
506	ERR1:1008900.652783	1	1
507	ERR1:1008950.662400	1	1
509	ERR1:1009020.660703	1	1
511	ERR1:1009130.702170	1	1
513	ERR1:1009160.647012	1	1
514	ERR1:1009200.674266	1	1
515	ERR1:1009230.714888	1	1
519	ERR1:1009400.731994	1	1
520	ERR1:1009570.626053	1	1
521	ERR1:100960.688033	2	2
522	ERR1:1009620.623741	1	1
524	ERR1:1009650.731994	1	1
525	ERR1:1009710.662541	1	1
526	ERR1:1009800.731207	1	1
527	ERR1:1009810.700925	1	1
530	ERR1:1009890.616701	1	1
532	ERR1:1009910.685328	1	1
533	ERR1:1009940.609149	1	1
534	ERR1:1009980.703199	1	1
536	ERR1:1010000.641197	2	2
539	ERR1:1010170.687622	1	1
544	ERR1:1010330.618844	1	1
547	ERR1:1010410.743150	1	1
