OTU	ERR0000001	classification
ota;Chordata;Aves;Passeriformes;Nectariniidae;Aethopyga;Aethopyga gouldiae
ERR1:131080.651224	3704	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:290260.674266	3342	Eukaryota;Chordata;Aves;Coraciiformes;Cerylidae;Ceryle;Ceryle rudis
ERR1:362170.652783	2065	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Crossorhombus;Crossorhombus kobensis
ERR1:1142770.660328	2018	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Cryptocentrus;Cryptocentrus strigilliceps
ERR1:1765730.662772	1550	Eukaryota;Chordata;Amphibia;Caudata;Hynobiidae;Hynobius;Hynobius arisanensis
ERR1:649980.631791	1514	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Acrossocheilus;Acrossocheilus barbodon
ERR1:197380.640002	1413	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Orthocladius;Orthocladius fuscimanus
ERR1:203740.665596	1323	Eukaryota;Mollusca;Bivalvia;Unionoida;Unionidae;Lamprotula;Lamprotula gottschei
ERR1:1023080.689829	1316	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinus;Phoxinus phoxinus
ERR1:1440030.690743	1245	Eukaryota;Arthropoda;Arachnida;Araneae;Plectreuridae;Plectreurys;Plectreurys deserta
ERR1:745850.685161	1125	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus salmi
ERR1:1000900.676085	1082	Eukaryota;Chordata;Amphibia;Anura;Sooglossidae;Sooglossus;Sooglossus sechellensis
ERR1:229010.671698	1067	Eukaryota;Chordata;Squamata;Agamidae;Acanthosaura;Acanthosaura armata
ERR1:1128810.700197	930	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR1:1076770.684495	878	Eukaryota;Chordata;Aves;Passeriformes;Sturnidae;Poeoptera;Poeoptera lugubris
ERR1:535800.694996	858	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Fibramia;Fibramia thermalis
ERR1:4940.624483	779	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Palapsalta;Palapsalta circumdata
ERR1:1115000.667224	745	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
