Anguilla anguilla
Anthocoris nemorum
Aporrectodea longa
Asellus aquaticus
Aulodrilus pluriseta
Baetis rhodani
Blepharidopterus angulatus
Bothrioneurum vejdovskyanum
Campyloneura virgula
Canis lupus
Carduelis chloris
Ceraclea dissimilis
Chaetogaster diaphanus
Chaetogaster diastrophus
Chamaedrilus chalupskyi
Chamaedrilus glandulosus
Chironomus anthracinus
Choneiulus palmatus
Columba livia
Columba palumbus
Craspedacusta sowerbyi
Cricotopus bicinctus
Dendrodrilus rubidus
Eiseniella tetraedra
Ephemera vulgata
Ephydatia muelleri
Erpobdella octoculata
Harmonia axyridis
Heptagenia sulphurea
Homo sapiens
Hydrodroma torrenticola
Julus scandinavius
Keratella cochlearis
Lampetra fluviatilis
Lepidochaetus zelinkai
Lepidodermella minus
Lepidostoma hirtum
Leuctra fusca
Limnodrilus claparedeanus
Limnodrilus hoffmeisteri
Lumbricillus rivalis
Lumbriculus variegatus
Micropsectra pallidula
Mideopsis roztoczensis
Motacilla cinerea
Nais alpina
Nais barbata
Nais communis
Nais elinguis
Nais variabilis
Nemurella pictetii
Ophidonais serpentina
Orthocladius fuscimanus
Orthotylus marginalis
Passer montanus
Pentatoma rufipes
Perca fluviatilis
Philodina flaviceps
Philonthus cognatus
Phoxinus phoxinus
Phytocoris dimidiatus
Platichthys flesus
Polyarthra dolichoptera
Prodiamesa olivacea
Prostoma graecense
Psectrocladius octomaculatus
Rheotanytarsus pentapoda
Rhyacophila meridionalis
Ripistes parasita
Rutilus rutilus
Salmo salar
Simulium tuberosum
Slavina appendiculata
Specaria josinae
Stylodrilus heringianus
Tanytarsus eminulus
Tubifex ignotus
Tubifex tubifex
Turdus pilaris
Vejdovskyella comata
Xenochironomus xenolabis
caliginosa L1
denticulata L3
