	ERR1
Ophidonais_serpentina_	42	
Lumbriculus_variegatus_	7	
Choneiulus_palmatus_	7	
Phytocoris_dimidiatus_	3	
Lepidochaetus_zelinkai_	8	
Diptera_	13	
Erpobdella_octoculata_	10	
Psectrocladius_octomaculatus_	8	
Asellus_aquaticus_	5	
Stylodrilus_heringianus_	7	
Ceratophysella_denticulata_L3_	5	
Limnodrilus_claparedeanus_	6	
Anas_	3	
Heptagenia_sulphurea_	58	
Annelida_	29	
Leuctra_fusca_	8	
Hydropsychidae_	127	
Baetis_rhodani_	112	
Chamaedrilus_chalupskyi_	3	
Aporrectodea_caliginosa_L1_	21	
Dendrodrilus_rubidus_	11	
Vejdovskyella_comata_	4	
Naididae_	114	
Chamaedrilus_glandulosus_	3	
Eiseniella_tetraedra_	13	
Prodiamesa_olivacea_	6	
Craspedacusta_sowerbyi_	8	
Hemiptera_	7	
Canis_lupus_	21	
Nais_variabilis_	3	
Rhyacophila_meridionalis_	3	
Cricotopus_bicinctus_	8	
Keratella_cochlearis_	23	
Tanytarsus_eminulus_	24	
Arthropoda_	599	
Rheotanytarsus_pentapoda_	3	
Julus_scandinavius_	3	
Tubifex_ignotus_	3	
Nais_alpina_	307	
Nais_barbata_	52	
Chaetogaster_diastrophus_	188	
Orthocladius_fuscimanus_	1151	
Ceraclea_dissimilis_	3	
Salmo_trutta_	38	
Polyarthra_dolichoptera_	20	
Salmo_salar_	26	
Mideopsis_roztoczensis_	6	
Ephydatia_muelleri_	8	
Bos_	3	
Lampetra_fluviatilis_	8	
Aulodrilus_pluriseta_	19	
Insecta_	1252	
Philonthus_cognatus_	4	
Nais_communis_	68	
Eukaryota_	39348	
Tubifex_tubifex_	53	
Bdelloidea_	5	
Aporrectodea_longa_	5	
Lepidodermella_minus_	5	
Phoxinus_phoxinus_	408	
Simulium_tuberosum_	3	
Prostoma_graecense_	66	
Harmonia_axyridis_	3	
Lumbricillus_rivalis_	24	
Pentatoma_rufipes_	5	
Lepidostoma_hirtum_	4	
Specaria_josinae_	6	
Philodina_flaviceps_	5	
Xenochironomus_xenolabis_	18	
Nais_elinguis_	21	
Orthotylus_marginalis_	3	
Motacilla_cinerea_	5	
Chaetogaster_	12	
Ephemera_vulgata_	4	
Limnodrilus_hoffmeisteri_	15	
