amplicon	ERR0000001	total
ERR1:290260.649791	7	7
ERR1:1047590.671337	5	5
ERR1:1112170.716735	5	5
ERR1:120280.615274	5	5
ERR1:1301910.611017	5	5
ERR1:143460.643927	5	5
ERR1:222100.608628	5	5
ERR1:274230.668734	5	5
ERR1:359500.651330	5	5
ERR1:445480.655701	5	5
ERR1:459250.678521	5	5
ERR1:647180.651086	5	5
ERR1:1020350.676064	4	4
ERR1:116340.627840	4	4
ERR1:1199390.642146	4	4
ERR1:178670.692668	4	4
ERR1:197300.642644	4	4
ERR1:254350.672000	4	4
ERR1:309920.661017	4	4
ERR1:340560.663836	4	4
ERR1:420760.634498	4	4
ERR1:430610.670394	4	4
ERR1:469450.645614	4	4
ERR1:477670.697487	4	4
ERR1:539010.699216	4	4
ERR1:542490.676690	4	4
ERR1:615430.644314	4	4
ERR1:67660.640438	4	4
ERR1:99910.702908	4	4
ERR1:1009520.634696	3	3
ERR1:1026210.666849	3	3
ERR1:1035160.690434	3	3
ERR1:105710.693788	3	3
ERR1:107590.672536	3	3
ERR1:108760.701423	3	3
ERR1:1097980.604321	3	3
ERR1:1100890.670113	3	3
ERR1:1103490.645916	3	3
ERR1:1128810.620312	3	3
ERR1:117830.613730	3	3
ERR1:1243940.670940	3	3
ERR1:1246620.637623	3	3
ERR1:1257200.671394	3	3
ERR1:136560.613807	3	3
ERR1:1370380.644831	3	3
ERR1:1379150.716094	3	3
ERR1:140860.660463	3	3
ERR1:143230.684345	3	3
ERR1:1432840.650659	3	3
ERR1:1440030.632931	3	3
ERR1:1473380.661414	3	3
ERR1:1488590.722554	3	3
ERR1:1502900.676975	3	3
ERR1:153320.675560	3	3
ERR1:1580700.619037	3	3
ERR1:1582350.711882	3	3
ERR1:160260.673828	3	3
ERR1:161040.645938	3	3
ERR1:1618920.702036	3	3
ERR1:172140.620844	3	3
ERR1:1737510.622761	3	3
ERR1:177860.650049	3	3
ERR1:1796270.673217	3	3
ERR1:18270.632514	3	3
ERR1:1843610.617933	3	3
