Aporrectodea longa
Asellus aquaticus
Aulodrilus pluriseta
Baetis rhodani
Canis lupus
Ceraclea dissimilis
Chaetogaster diastrophus
Chamaedrilus chalupskyi
Chamaedrilus glandulosus
Choneiulus palmatus
Craspedacusta sowerbyi
Cricotopus bicinctus
Dendrodrilus rubidus
Eiseniella tetraedra
Ephemera vulgata
Ephydatia muelleri
Erpobdella octoculata
Harmonia axyridis
Heptagenia sulphurea
Julus scandinavius
Keratella cochlearis
Lampetra fluviatilis
Lepidochaetus zelinkai
Lepidodermella minus
Lepidostoma hirtum
Leuctra fusca
Limnodrilus claparedeanus
Limnodrilus hoffmeisteri
Lumbricillus rivalis
Lumbriculus variegatus
Mideopsis roztoczensis
Motacilla cinerea
Nais alpina
Nais barbata
Nais communis
Nais elinguis
Nais variabilis
Ophidonais serpentina
Orthocladius fuscimanus
Orthotylus marginalis
Pentatoma rufipes
Philodina flaviceps
Philonthus cognatus
Phoxinus phoxinus
Phytocoris dimidiatus
Polyarthra dolichoptera
Prodiamesa olivacea
Prostoma graecense
Psectrocladius octomaculatus
Rheotanytarsus pentapoda
Rhyacophila meridionalis
Salmo salar
Salmo trutta
Simulium tuberosum
Specaria josinae
Stylodrilus heringianus
Tanytarsus eminulus
Tubifex ignotus
Tubifex tubifex
Vejdovskyella comata
Xenochironomus xenolabis
caliginosa L1
denticulata L3
